# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=01fff5252d4ada6c89581d544591fb99f5b28a0ac9de248ed257c475ff9b4851
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=3854
# unique_v=8711
# threads=8
r,u,v,numerator,denominator
2,0x00000001,0x0100b00b,-1024,4096
2,0x00000001,0x0100f00f,1024,4096
2,0x00000001,0x03004004,0,4096
2,0x00000001,0x0400b00b,-2048,4096
2,0x00000001,0x0900e00e,1024,4096
2,0x00000001,0x0c00b00b,2048,4096
2,0x00000001,0x0c00c00c,-2048,4096
2,0x00000002,0x06008008,0,4096
2,0x00000002,0x08001001,4096,4096
2,0x00000002,0x08008008,-4096,4096
2,0x00000002,0x0c006006,0,4096
2,0x00000002,0x0d008008,0,4096
2,0x00000003,0x03002002,0,4096
2,0x00000003,0x03003003,0,4096
2,0x00000003,0x0300c00c,0,4096
2,0x00000003,0x0600f00f,1024,4096
2,0x00000003,0x09009009,-1024,4096
2,0x00000003,0x0900d00d,1024,4096
2,0x00000003,0x0b003003,0,4096
2,0x00000003,0x0c002002,2048,4096
2,0x00000004,0x01001001,3072,4096
2,0x00000004,0x04004004,-1024,4096
2,0x00000004,0x05003003,0,4096
2,0x00000004,0x06005005,1024,4096
2,0x00000004,0x09005005,1024,4096
2,0x00000004,0x09009009,1024,4096
2,0x00000004,0x0a00b00b,0,4096
2,0x00000004,0x0d00d00d,0,4096
2,0x00000005,0x0100e00e,0,4096
2,0x00000005,0x06005005,0,4096
2,0x00000005,0x07004004,0,4096
2,0x00000005,0x0c008008,1024,4096
2,0x00000006,0x01001001,-1024,4096
2,0x00000006,0x01003003,-1024,4096
2,0x00000006,0x0300c00c,1024,4096
2,0x00000006,0x04004004,-1024,4096
2,0x00000006,0x0900b00b,-3072,4096
2,0x00000006,0x0b009009,-1024,4096
2,0x00000006,0x0b00e00e,1024,4096
2,0x00000006,0x0d00f00f,0,4096
2,0x00000006,0x0e003003,-1024,4096
2,0x00000006,0x0e004004,1024,4096
2,0x00000006,0x0e00b00b,1024,4096
2,0x00000007,0x03002002,1024,4096
2,0x00000007,0x04001001,-1024,4096
2,0x00000007,0x06003003,0,4096
2,0x00000007,0x0d004004,-3072,4096
2,0x00000007,0x0d009009,-3072,4096
2,0x00000008,0x0100a00a,-1024,4096
2,0x00000008,0x02002002,2048,4096
2,0x00000008,0x0500a00a,0,4096
2,0x00000008,0x0600b00b,1024,4096
2,0x00000008,0x09007007,-1024,4096
2,0x00000008,0x0a001001,-2048,4096
2,0x00000008,0x0b00c00c,-1024,4096
2,0x00000008,0x0c003003,-1024,4096
2,0x00000009,0x04006006,1024,4096
2,0x00000009,0x04009009,1024,4096
2,0x00000009,0x0400d00d,-1024,4096
2,0x00000009,0x06009009,-2048,4096
2,0x00000009,0x09005005,0,4096
2,0x00000009,0x0a00b00b,1024,4096
2,0x00000009,0x0d004004,1024,4096
2,0x00000009,0x0d009009,1024,4096
2,0x0000000a,0x0300e00e,-1024,4096
2,0x0000000a,0x0600b00b,1024,4096
2,0x0000000a,0x0700f00f,0,4096
2,0x0000000a,0x0d006006,0,4096
2,0x0000000a,0x0f002002,0,4096
2,0x0000000b,0x0800b00b,0,4096
2,0x0000000b,0x0b008008,-1024,4096
2,0x0000000b,0x0c00f00f,-1024,4096
2,0x0000000b,0x0e008008,-2048,4096
2,0x0000000c,0x0700a00a,2048,4096
2,0x0000000c,0x0700f00f,-2048,4096
2,0x0000000c,0x0a002002,0,4096
2,0x0000000d,0x0100d00d,-1024,4096
2,0x0000000d,0x02003003,1024,4096
2,0x0000000d,0x06009009,1024,4096
2,0x0000000d,0x0b004004,0,4096
2,0x0000000e,0x0300b00b,2048,4096
2,0x0000000e,0x0a00b00b,0,4096
2,0x0000000e,0x0b003003,2048,4096
2,0x0000000e,0x0f002002,-2048,4096
2,0x0000000f,0x01006006,1024,4096
2,0x0000000f,0x02007007,-1024,4096
2,0x0000000f,0x0300a00a,0,4096
2,0x0000000f,0x06001001,-1024,4096
2,0x0000000f,0x06007007,1024,4096
2,0x0000000f,0x07008008,2048,4096
2,0x0000000f,0x0700d00d,-2048,4096
2,0x00000010,0x15540000,0,4096
2,0x00000010,0x1bba0000,0,4096
2,0x00000010,0x1ffe0000,0,4096
2,0x00000010,0x32210000,1024,4096
2,0x00000010,0x51140000,1024,4096
2,0x00000010,0x6ddb0000,0,4096
2,0x00000010,0xbdd60000,-1024,4096
2,0x00000010,0xc8840000,1024,4096
