# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=f6a973fafa28d7354fb49cd7bd31411142af774bd77ed987b3ce2ea34fd7ccde
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=3379200
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=825
# unique_v=3975
# threads=8
r,u,v,numerator,denominator
2,0x13be08e3,0x0d9cca30,0,4096
2,0x13be08e3,0xe091f333,0,4096
2,0x13be08e3,0x56277d2d,0,4096
2,0x13be08e3,0x27f00bb2,-128,4096
2,0x13be08e3,0x29337eb2,0,4096
2,0x13be08e3,0x8d897c0a,128,4096
2,0x13be08e3,0x3cd91ff8,64,4096
2,0x13be08e3,0x6fbf8b41,-64,4096
2,0x13be08e3,0x68c7ddf7,128,4096
2,0x13be08e3,0x136dbebf,0,4096
2,0x13be08e3,0x9bda0564,0,4096
2,0x13be08e3,0x34f24909,0,4096
2,0x13be08e3,0x758e1780,0,4096
2,0x13be08e3,0xf2fe4067,0,4096
2,0x13be08e3,0x57914a1f,0,4096
2,0x13be08e3,0xab1a7d7b,0,4096
2,0x13be08e3,0xc4e08b4a,0,4096
2,0x13be08e3,0x19145655,0,4096
2,0x13be08e3,0x6c8c508a,0,4096
2,0x13be08e3,0x6e4f951e,0,4096
2,0x13be08e3,0xba3eb0aa,0,4096
2,0x13be08e3,0x1eda1c82,128,4096
2,0x13be08e3,0x9a01b32a,0,4096
2,0x13be08e3,0x6ac5a2f3,128,4096
2,0x13be08e3,0xc6dfe579,0,4096
2,0x13be08e3,0xb5f0196a,0,4096
2,0x13be08e3,0xd1419f1e,0,4096
2,0x13be08e3,0xafc7dcea,0,4096
2,0x13be08e3,0x015ac250,0,4096
2,0x13be08e3,0xe26bea1a,0,4096
2,0x13be08e3,0xf154f0d3,0,4096
2,0x13be08e3,0xad990ecf,0,4096
2,0x13be08e3,0x0d3e16e1,0,4096
2,0x13be08e3,0xa8f25f03,0,4096
2,0x13be08e3,0x49beeead,0,4096
2,0x13be08e3,0xb9bb220b,0,4096
2,0x13be08e3,0x9d3f566a,0,4096
2,0x13be08e3,0x8a7fd0ad,0,4096
2,0x13be08e3,0x96d55aa4,0,4096
2,0x13be08e3,0x7f1282cc,64,4096
2,0x13be08e3,0x8c5258c3,0,4096
2,0x13be08e3,0xbbe69c1b,0,4096
2,0x13be08e3,0x76a0a91d,0,4096
2,0x13be08e3,0x9e0b6c7d,128,4096
2,0x13be08e3,0x5a05754a,0,4096
2,0x13be08e3,0xab84490e,256,4096
2,0x13be08e3,0x33ea2f03,0,4096
2,0x13be08e3,0xe554f3aa,0,4096
2,0x13be08e3,0xd7e85d83,0,4096
2,0x13be08e3,0x089457dc,1024,4096
2,0x13be08e3,0x8f022ef6,0,4096
2,0x13be08e3,0x8a65cc73,0,4096
2,0x13be08e3,0xdc906ae6,0,4096
2,0x13be08e3,0x9e99a095,-64,4096
2,0x13be08e3,0xf2bafcae,0,4096
2,0x13be08e3,0x23348537,0,4096
2,0x13be08e3,0x9f4d0eb7,0,4096
2,0x13be08e3,0x3bececf5,-128,4096
2,0x13be08e3,0x74f0d500,0,4096
2,0x13be08e3,0xf75dc29e,0,4096
2,0x13be08e3,0x7a1b0290,256,4096
2,0x13be08e3,0x5f033c25,-256,4096
2,0x13be08e3,0x0b911bc0,0,4096
2,0x13be08e3,0x452c50ef,0,4096
2,0x13be08e3,0x043f9452,0,4096
2,0x13be08e3,0x0a563232,0,4096
2,0xdbaf7820,0x0d9cca30,0,4096
2,0xdbaf7820,0xe091f333,0,4096
2,0xdbaf7820,0x56277d2d,0,4096
2,0xdbaf7820,0x27f00bb2,0,4096
2,0xdbaf7820,0x29337eb2,0,4096
2,0xdbaf7820,0x8d897c0a,0,4096
2,0xdbaf7820,0x3cd91ff8,0,4096
2,0xdbaf7820,0x6fbf8b41,0,4096
2,0xdbaf7820,0x68c7ddf7,0,4096
2,0xdbaf7820,0x136dbebf,0,4096
2,0xdbaf7820,0x9bda0564,0,4096
2,0xdbaf7820,0x34f24909,0,4096
2,0xdbaf7820,0x758e1780,0,4096
2,0xdbaf7820,0xf2fe4067,0,4096
2,0xdbaf7820,0x57914a1f,0,4096
2,0xdbaf7820,0xab1a7d7b,0,4096
2,0xdbaf7820,0xc4e08b4a,0,4096
2,0xdbaf7820,0x19145655,0,4096
2,0xdbaf7820,0x6c8c508a,0,4096
2,0xdbaf7820,0x6e4f951e,0,4096
2,0xdbaf7820,0xba3eb0aa,0,4096
2,0xdbaf7820,0x1eda1c82,0,4096
2,0xdbaf7820,0x9a01b32a,0,4096
2,0xdbaf7820,0x6ac5a2f3,0,4096
2,0xdbaf7820,0xc6dfe579,0,4096
2,0xdbaf7820,0xb5f0196a,0,4096
2,0xdbaf7820,0xd1419f1e,0,4096
2,0xdbaf7820,0xafc7dcea,0,4096
2,0xdbaf7820,0x015ac250,0,4096
2,0xdbaf7820,0xe26bea1a,0,4096
2,0xdbaf7820,0xf154f0d3,0,4096
2,0xdbaf7820,0xad990ecf,0,4096
2,0xdbaf7820,0x0d3e16e1,0,4096
2,0xdbaf7820,0xa8f25f03,256,4096
2,0xdbaf7820,0x49beeead,0,4096
2,0xdbaf7820,0xb9bb220b,0,4096
2,0xdbaf7820,0x9d3f566a,0,4096
2,0xdbaf7820,0x8a7fd0ad,0,4096
2,0xdbaf7820,0x96d55aa4,0,4096
2,0xdbaf7820,0x7f1282cc,0,4096
2,0xdbaf7820,0x8c5258c3,0,4096
2,0xdbaf7820,0xbbe69c1b,0,4096
2,0xdbaf7820,0x76a0a91d,0,4096
2,0xdbaf7820,0x9e0b6c7d,0,4096
2,0xdbaf7820,0x5a05754a,0,4096
2,0xdbaf7820,0xab84490e,0,4096
2,0xdbaf7820,0x33ea2f03,0,4096
2,0xdbaf7820,0xe554f3aa,0,4096
2,0xdbaf7820,0xd7e85d83,0,4096
2,0xdbaf7820,0x089457dc,0,4096
2,0xdbaf7820,0x8f022ef6,0,4096
2,0xdbaf7820,0x8a65cc73,0,4096
2,0xdbaf7820,0xdc906ae6,0,4096
2,0xdbaf7820,0x9e99a095,0,4096
2,0xdbaf7820,0xf2bafcae,0,4096
2,0xdbaf7820,0x23348537,0,4096
2,0xdbaf7820,0x9f4d0eb7,0,4096
2,0xdbaf7820,0x3bececf5,0,4096
2,0xdbaf7820,0x74f0d500,0,4096
2,0xdbaf7820,0xf75dc29e,0,4096
2,0xdbaf7820,0x7a1b0290,0,4096
2,0xdbaf7820,0x5f033c25,0,4096
2,0xdbaf7820,0x88ced0ab,0,4096
2,0xdbaf7820,0x0bb7ac6f,0,4096
2,0xdbaf7820,0x0fc4cd59,0,4096
2,0xdbaf7820,0x6ed16284,0,4096
2,0x219bbd34,0x0d9cca30,0,4096
2,0x219bbd34,0xe091f333,0,4096
2,0x219bbd34,0x56277d2d,0,4096
2,0x219bbd34,0x27f00bb2,0,4096
2,0x219bbd34,0x29337eb2,0,4096
2,0x219bbd34,0x8d897c0a,0,4096
2,0x219bbd34,0x3cd91ff8,0,4096
2,0x219bbd34,0x6fbf8b41,-64,4096
2,0x219bbd34,0x68c7ddf7,0,4096
2,0x219bbd34,0x136dbebf,0,4096
2,0x219bbd34,0x9bda0564,0,4096
2,0x219bbd34,0x34f24909,0,4096
2,0x219bbd34,0x758e1780,0,4096
2,0x219bbd34,0xf2fe4067,0,4096
2,0x219bbd34,0x57914a1f,-64,4096
2,0x219bbd34,0xab1a7d7b,0,4096
2,0x219bbd34,0xc4e08b4a,0,4096
2,0x219bbd34,0x19145655,0,4096
2,0x219bbd34,0x6c8c508a,0,4096
2,0x219bbd34,0x6e4f951e,0,4096
2,0x219bbd34,0xba3eb0aa,0,4096
2,0x219bbd34,0x1eda1c82,0,4096
2,0x219bbd34,0x9a01b32a,0,4096
2,0x219bbd34,0x6ac5a2f3,0,4096
2,0x219bbd34,0xc6dfe579,0,4096
2,0x219bbd34,0xb5f0196a,64,4096
2,0x219bbd34,0xd1419f1e,0,4096
2,0x219bbd34,0xafc7dcea,0,4096
2,0x219bbd34,0x015ac250,0,4096
2,0x219bbd34,0xe26bea1a,0,4096
2,0x219bbd34,0xf154f0d3,0,4096
2,0x219bbd34,0xad990ecf,-64,4096
2,0x219bbd34,0x0d3e16e1,-64,4096
2,0x219bbd34,0xa8f25f03,0,4096
2,0x219bbd34,0x49beeead,0,4096
2,0x219bbd34,0xb9bb220b,-64,4096
2,0x219bbd34,0x9d3f566a,-64,4096
2,0x219bbd34,0x8a7fd0ad,0,4096
2,0x219bbd34,0x96d55aa4,0,4096
2,0x219bbd34,0x7f1282cc,0,4096
2,0x219bbd34,0x8c5258c3,0,4096
2,0x219bbd34,0xbbe69c1b,64,4096
2,0x219bbd34,0x76a0a91d,-192,4096
2,0x219bbd34,0x9e0b6c7d,0,4096
2,0x219bbd34,0x5a05754a,0,4096
2,0x219bbd34,0xab84490e,0,4096
2,0x219bbd34,0x33ea2f03,0,4096
2,0x219bbd34,0xe554f3aa,0,4096
2,0x219bbd34,0xd7e85d83,0,4096
2,0x219bbd34,0x089457dc,0,4096
2,0x219bbd34,0x8f022ef6,0,4096
2,0x219bbd34,0x8a65cc73,0,4096
2,0x219bbd34,0xdc906ae6,0,4096
2,0x219bbd34,0x9e99a095,0,4096
2,0x219bbd34,0xf2bafcae,0,4096
2,0x219bbd34,0x23348537,0,4096
2,0x219bbd34,0x9f4d0eb7,0,4096
2,0x219bbd34,0x3bececf5,0,4096
2,0x219bbd34,0x74f0d500,0,4096
2,0x219bbd34,0xf75dc29e,0,4096
2,0x219bbd34,0x7a1b0290,-64,4096
2,0x219bbd34,0x0b911bc0,0,4096
2,0x219bbd34,0x5f033c25,-128,4096
2,0x219bbd34,0x452c50ef,0,4096
2,0x219bbd34,0x043f9452,-64,4096
2,0x219bbd34,0x0a563232,64,4096
2,0x71f81f5f,0x0d9cca30,0,4096
2,0x71f81f5f,0xe091f333,0,4096
2,0x71f81f5f,0x56277d2d,0,4096
2,0x71f81f5f,0x27f00bb2,0,4096
2,0x71f81f5f,0x29337eb2,0,4096
2,0x71f81f5f,0x8d897c0a,0,4096
2,0x71f81f5f,0x3cd91ff8,64,4096
2,0x71f81f5f,0x6fbf8b41,128,4096
2,0x71f81f5f,0x68c7ddf7,0,4096
2,0x71f81f5f,0x136dbebf,128,4096
2,0x71f81f5f,0x9bda0564,0,4096
2,0x71f81f5f,0x34f24909,0,4096
2,0x71f81f5f,0x758e1780,0,4096
2,0x71f81f5f,0xf2fe4067,0,4096
2,0x71f81f5f,0x57914a1f,0,4096
2,0x71f81f5f,0xab1a7d7b,0,4096
2,0x71f81f5f,0xc4e08b4a,0,4096
2,0x71f81f5f,0x19145655,0,4096
2,0x71f81f5f,0x6c8c508a,0,4096
2,0x71f81f5f,0x6e4f951e,0,4096
2,0x71f81f5f,0xba3eb0aa,0,4096
2,0x71f81f5f,0x1eda1c82,0,4096
2,0x71f81f5f,0x9a01b32a,-128,4096
2,0x71f81f5f,0x6ac5a2f3,-64,4096
2,0x71f81f5f,0xc6dfe579,0,4096
2,0x71f81f5f,0xb5f0196a,64,4096
2,0x71f81f5f,0xd1419f1e,0,4096
2,0x71f81f5f,0xafc7dcea,64,4096
2,0x71f81f5f,0x015ac250,0,4096
2,0x71f81f5f,0xe26bea1a,-512,4096
2,0x71f81f5f,0xf154f0d3,0,4096
2,0x71f81f5f,0xad990ecf,128,4096
2,0x71f81f5f,0x0d3e16e1,0,4096
2,0x71f81f5f,0xa8f25f03,0,4096
2,0x71f81f5f,0x49beeead,0,4096
2,0x71f81f5f,0xb9bb220b,0,4096
2,0x71f81f5f,0x9d3f566a,0,4096
2,0x71f81f5f,0x8a7fd0ad,0,4096
2,0x71f81f5f,0x96d55aa4,64,4096
2,0x71f81f5f,0x7f1282cc,64,4096
2,0x71f81f5f,0x8c5258c3,0,4096
2,0x71f81f5f,0xbbe69c1b,0,4096
2,0x71f81f5f,0x76a0a91d,0,4096
2,0x71f81f5f,0x9e0b6c7d,0,4096
2,0x71f81f5f,0x5a05754a,0,4096
2,0x71f81f5f,0xab84490e,0,4096
2,0x71f81f5f,0x33ea2f03,0,4096
2,0x71f81f5f,0xe554f3aa,-128,4096
2,0x71f81f5f,0xd7e85d83,0,4096
2,0x71f81f5f,0x089457dc,0,4096
2,0x71f81f5f,0x8f022ef6,-64,4096
2,0x71f81f5f,0x8a65cc73,0,4096
2,0x71f81f5f,0xdc906ae6,-64,4096
2,0x71f81f5f,0x9e99a095,-64,4096
2,0x71f81f5f,0xf2bafcae,0,4096
2,0x71f81f5f,0x23348537,0,4096
2,0x71f81f5f,0x9f4d0eb7,0,4096
2,0x71f81f5f,0x3bececf5,0,4096
2,0x71f81f5f,0x74f0d500,0,4096
2,0xa4d13fcf,0x0d9cca30,0,4096
2,0xa4d13fcf,0xe091f333,0,4096
2,0xa4d13fcf,0x56277d2d,0,4096
2,0xa4d13fcf,0x27f00bb2,0,4096
2,0xa4d13fcf,0x29337eb2,0,4096
2,0xa4d13fcf,0x8d897c0a,0,4096
2,0xa4d13fcf,0x3cd91ff8,0,4096
2,0xa4d13fcf,0x6fbf8b41,0,4096
2,0xa4d13fcf,0x68c7ddf7,0,4096
2,0xa4d13fcf,0x136dbebf,-256,4096
2,0xa4d13fcf,0x9bda0564,0,4096
2,0xa4d13fcf,0x34f24909,0,4096
2,0xa4d13fcf,0x758e1780,0,4096
2,0xa4d13fcf,0xf2fe4067,0,4096
2,0xa4d13fcf,0x57914a1f,0,4096
2,0xa4d13fcf,0xab1a7d7b,0,4096
2,0xa4d13fcf,0xc4e08b4a,0,4096
2,0xa4d13fcf,0x19145655,0,4096
2,0xa4d13fcf,0x6c8c508a,64,4096
2,0xa4d13fcf,0x6e4f951e,0,4096
2,0xa4d13fcf,0xba3eb0aa,0,4096
2,0xa4d13fcf,0x1eda1c82,0,4096
2,0xa4d13fcf,0x9a01b32a,0,4096
2,0xa4d13fcf,0x6ac5a2f3,128,4096
2,0xa4d13fcf,0xc6dfe579,0,4096
2,0xa4d13fcf,0xb5f0196a,0,4096
2,0xa4d13fcf,0xd1419f1e,128,4096
2,0xa4d13fcf,0xafc7dcea,-64,4096
2,0xa4d13fcf,0x015ac250,0,4096
2,0xa4d13fcf,0xe26bea1a,256,4096
2,0xa4d13fcf,0xf154f0d3,0,4096
2,0xa4d13fcf,0xad990ecf,64,4096
2,0xa4d13fcf,0x0d3e16e1,0,4096
2,0xa4d13fcf,0xa8f25f03,0,4096
2,0xa4d13fcf,0x49beeead,0,4096
2,0xa4d13fcf,0xb9bb220b,0,4096
2,0xa4d13fcf,0x9d3f566a,0,4096
2,0xa4d13fcf,0x8a7fd0ad,0,4096
2,0xa4d13fcf,0x96d55aa4,0,4096
2,0xa4d13fcf,0x7f1282cc,0,4096
2,0xa4d13fcf,0x8c5258c3,0,4096
2,0xa4d13fcf,0xbbe69c1b,-256,4096
2,0xa4d13fcf,0x76a0a91d,0,4096
2,0xa4d13fcf,0x9e0b6c7d,0,4096
2,0xa4d13fcf,0x5a05754a,0,4096
2,0xa4d13fcf,0xab84490e,0,4096
2,0xa4d13fcf,0x33ea2f03,0,4096
2,0xa4d13fcf,0xe554f3aa,0,4096
2,0xa4d13fcf,0xd7e85d83,0,4096
2,0xa4d13fcf,0x089457dc,0,4096
2,0xa4d13fcf,0x8f022ef6,-64,4096
2,0xa4d13fcf,0x8a65cc73,0,4096
2,0xa4d13fcf,0x740d793a,0,4096
2,0xa4d13fcf,0x88ced0ab,-256,4096
2,0xa4d13fcf,0xf75dc29e,0,4096
2,0xa4d13fcf,0x0bb7ac6f,0,4096
2,0xa4d13fcf,0xdc906ae6,-64,4096
2,0xa4d13fcf,0x9e99a095,0,4096
