# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=f00030a2a2713be011f4fd43b3a9e2a16f4efce46c9e3769b62cf15a6a10da42
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=16384
# unique_v=16384
# threads=8
r,u,v,numerator,denominator
2,0xf00473e1,0xbb735fd9,0,4096
2,0x95eaa27b,0x4aea03d6,0,4096
2,0xfd751b76,0xb5b18222,0,4096
2,0xe29dda3d,0x3eca6e09,128,4096
2,0xd1334c61,0x83f052da,0,4096
2,0xe74a5301,0x6fb3c853,0,4096
2,0x1813c43b,0xfc07de8e,0,4096
2,0x16de053c,0x7a85d2c9,0,4096
2,0x143c3493,0x5d483bd2,0,4096
2,0x40b92949,0x1767029c,0,4096
2,0xc3073adf,0x9bf18121,0,4096
2,0x989ed0d9,0xcfee3a13,0,4096
2,0xbad90cf8,0xd50cb9e4,0,4096
2,0x6b47c900,0x75b78d6d,0,4096
2,0x97768bf9,0xee1b2674,0,4096
2,0x8f0d08cd,0xff5eb7ff,0,4096
2,0x6ceac0b2,0x576a1270,0,4096
2,0x973334ac,0x527624dd,0,4096
2,0xcf20ac39,0xf60c6a01,0,4096
2,0x640f1869,0xaf2def51,0,4096
2,0xf092326b,0xb1ca0584,0,4096
2,0x9e3fdbed,0xc6a4ab17,0,4096
2,0x391b491c,0x63b053bd,0,4096
2,0xa11c304a,0x3b5fbbe1,0,4096
2,0xa300b33c,0x350df8cb,0,4096
2,0x01868db2,0x28704834,0,4096
2,0xe672a8f3,0x8ce4e97a,0,4096
2,0x6cfe7379,0xe60c5320,0,4096
2,0x22ac1018,0x1c123441,0,4096
2,0xd676d4ec,0xf4fd1bc8,0,4096
2,0x00e52619,0xb4132066,0,4096
2,0xe0c2e405,0xeb26eb65,0,4096
2,0x8e6e9142,0x0a4a550a,0,4096
2,0xe10a601a,0x32f5fced,0,4096
2,0x073c6c2c,0xcb72da3c,0,4096
