# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=200b06d7f933aab799bc2c40b79208c5983e794daf03e51ca92e60609d28f0a6
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=31916032
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=1948
# unique_v=2556
# threads=8
r,u,v,numerator,denominator
2,0x00000001,0x04003003,8192,16384
2,0x00000002,0x0600c00c,0,16384
2,0x00000002,0x0d008008,0,16384
2,0x00000003,0x05005005,4096,16384
2,0x00000004,0x0400e00e,4096,16384
2,0x00000004,0x0f00e00e,0,16384
2,0x00000006,0x03009009,-4096,16384
2,0x00000006,0x0d007007,0,16384
2,0x00000008,0x04006006,4096,16384
2,0x00000008,0x0600c00c,-4096,16384
2,0x00000008,0x0b006006,4096,16384
2,0x0000000a,0x02007007,8192,16384
2,0x0000000b,0x0700e00e,0,16384
2,0x0000000b,0x0b002002,4096,16384
2,0x0000000b,0x0c002002,-4096,16384
2,0x0000000c,0x0c00b00b,0,16384
2,0x0000000e,0x0b00a00a,-8192,16384
2,0x0000000e,0x0c00c00c,0,16384
2,0x00000010,0x15540000,-2048,16384
2,0x00000010,0xdbb60000,0,16384
2,0x00000020,0x588d0000,-2048,16384
2,0x00000030,0x11100000,2048,16384
2,0x00000030,0x67710000,0,16384
2,0x00000030,0x6ff90000,2048,16384
2,0x00000030,0xc22e0000,4096,16384
2,0x00000040,0x65530000,0,16384
2,0x00000040,0xbaa10000,-1024,16384
2,0x00000040,0xd11c0000,-3072,16384
2,0x00000050,0xf55a0000,1024,16384
2,0x00000060,0xe33d0000,0,16384
2,0x00000070,0xbaa10000,-1024,16384
2,0x00000080,0x6ff90000,2048,16384
2,0x00000090,0x699f0000,2048,16384
2,0x000000a0,0x21130000,0,16384
2,0x000000a0,0x67710000,2048,16384
2,0x000000b0,0x2bb90000,6144,16384
2,0x000000b0,0x51140000,-4096,16384
2,0x000000b0,0x6ff90000,-2048,16384
2,0x000000b0,0xb8830000,-2048,16384
2,0x000000c0,0x8ff70000,2048,16384
2,0x000000d0,0x699f0000,-2048,16384
2,0x000000d0,0xa3390000,0,16384
2,0x000000d0,0xd77a0000,3072,16384
2,0x000000e0,0x88800000,2048,16384
2,0x000000f0,0x67710000,0,16384
2,0x000000f0,0x699f0000,2048,16384
2,0x000000f0,0x6ff90000,-2048,16384
2,0x000000f0,0x822a0000,0,16384
2,0x000000f0,0xa8820000,-2048,16384
2,0x00000100,0x0b0bbcc7,4096,16384
2,0x00000500,0x0e0e5eeb,0,16384
2,0x00000700,0x0909d994,8192,16384
2,0x00000a00,0x0707aff5,8192,16384
2,0x00000c00,0x02022331,8192,16384
2,0x00000c00,0x02027aad,-8192,16384
2,0x00000c00,0x0707fff0,0,16384
2,0x00000c00,0x0a0aaff5,0,16384
2,0x00000c00,0x0b0bbbb0,-8192,16384
2,0x00000c00,0x0f0ffff0,-8192,16384
2,0x00000f00,0x07077770,-4096,16384
2,0x00001001,0x0f44b00b,0,16384
2,0x00001002,0x0b44f00f,0,16384
2,0x00001004,0x07cce00e,-4096,16384
2,0x00001008,0x0644f00f,0,16384
2,0x0000100c,0x07443003,0,16384
2,0x0000100d,0x0acc5005,-4096,16384
