# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=7a86ac5ad38782699457ea1275c8a843166b30a578fc5c5eeb13e259d5dd9db1
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=3375104
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=206
# unique_v=994
# threads=8
r,u,v,numerator,denominator
2,0xbc67f402,0xe0b277d6,0,16384
2,0xbc67f402,0x7d27831d,0,16384
2,0xbc67f402,0x8e83761a,0,16384
2,0xbc67f402,0xd9be685d,0,16384
2,0xbc67f402,0xaada9232,0,16384
2,0xbc67f402,0xaa3b15ff,0,16384
2,0xbc67f402,0x4422a450,0,16384
2,0xbc67f402,0xb7cec6e8,0,16384
2,0xbc67f402,0xa4559571,0,16384
2,0xbc67f402,0x1e4f1606,0,16384
2,0xbc67f402,0xa9ab81e9,0,16384
2,0xbc67f402,0x3ab145eb,256,16384
2,0xbc67f402,0xb4291b81,0,16384
2,0xbc67f402,0x7db96b02,0,16384
2,0xbc67f402,0x01c99ca9,0,16384
2,0xbc67f402,0x21e4ae9d,0,16384
2,0xbc67f402,0x5473fa6f,0,16384
2,0xbc67f402,0xbe9f3d17,0,16384
2,0xbc67f402,0x962820cf,0,16384
2,0xbc67f402,0x9654b46d,0,16384
2,0xbc67f402,0x85bbf131,0,16384
2,0xbc67f402,0xceaf6b58,0,16384
2,0xbc67f402,0xfe176c07,0,16384
2,0xbc67f402,0x34deffdd,0,16384
2,0xbc67f402,0xd7615c27,0,16384
2,0xbc67f402,0x7286f317,0,16384
2,0xbc67f402,0xc3158d2c,0,16384
2,0xbc67f402,0xbefa14c8,0,16384
2,0xbc67f402,0xa86bec8f,0,16384
2,0xbc67f402,0xb1cece9a,0,16384
2,0xbc67f402,0xfecb331d,0,16384
2,0xbc67f402,0xe3f52373,-512,16384
2,0xbc67f402,0xd7c7e126,0,16384
2,0xbc67f402,0x54288906,0,16384
2,0xbc67f402,0xba4c6408,0,16384
2,0xbc67f402,0xad7e6b1c,0,16384
2,0xbc67f402,0x169a81ee,0,16384
2,0xbc67f402,0xdd043ba5,0,16384
2,0xbc67f402,0x49c97de1,0,16384
2,0xbc67f402,0xdc1271a5,0,16384
2,0xbc67f402,0xc3157291,0,16384
2,0xbc67f402,0x112b7d0a,0,16384
2,0xbc67f402,0x03b15541,0,16384
2,0xbc67f402,0xaadf8821,0,16384
2,0xbc67f402,0x0041c971,0,16384
2,0xbc67f402,0xee34ee73,0,16384
2,0xbc67f402,0x07d84628,0,16384
2,0xbc67f402,0xf630658e,0,16384
2,0xbc67f402,0xedaa814c,0,16384
2,0xbc67f402,0x5d11e1bb,0,16384
2,0xbc67f402,0x39385b2b,0,16384
2,0xbc67f402,0xa11bb69e,0,16384
2,0xbc67f402,0x3768f872,0,16384
2,0xbc67f402,0x43b445b2,0,16384
2,0xbc67f402,0xdfc81902,0,16384
2,0xbc67f402,0xad25b6a2,0,16384
2,0xbc67f402,0x09f50bfb,0,16384
2,0xbc67f402,0x21ce431e,0,16384
2,0xbc67f402,0x6544733c,0,16384
2,0xbc67f402,0x5ed04488,0,16384
2,0xbc67f402,0x30a24d02,0,16384
2,0xbc67f402,0x4bb86e00,0,16384
2,0xbc67f402,0x339b1a2a,0,16384
2,0xbc67f402,0x30236a58,0,16384
2,0xbc67f402,0xb27d8325,0,16384
2,0xa3795739,0xe0b277d6,256,16384
2,0xa3795739,0x7d27831d,0,16384
2,0xa3795739,0x8e83761a,0,16384
2,0xa3795739,0xd9be685d,0,16384
2,0xa3795739,0xaada9232,0,16384
2,0xa3795739,0xaa3b15ff,0,16384
2,0xa3795739,0x4422a450,-128,16384
2,0xa3795739,0xb7cec6e8,256,16384
2,0xa3795739,0xa4559571,128,16384
2,0xa3795739,0x1e4f1606,0,16384
2,0xa3795739,0xa9ab81e9,0,16384
2,0xa3795739,0x3ab145eb,0,16384
2,0xa3795739,0xb4291b81,0,16384
2,0xa3795739,0x7db96b02,0,16384
2,0xa3795739,0x01c99ca9,0,16384
2,0xa3795739,0x21e4ae9d,0,16384
2,0xa3795739,0x5473fa6f,0,16384
2,0xa3795739,0xbe9f3d17,0,16384
2,0xa3795739,0x962820cf,0,16384
2,0xa3795739,0x9654b46d,0,16384
2,0xa3795739,0x85bbf131,0,16384
2,0xa3795739,0xceaf6b58,128,16384
2,0xa3795739,0xfe176c07,0,16384
2,0xa3795739,0x34deffdd,0,16384
2,0xa3795739,0xd7615c27,256,16384
2,0xa3795739,0x7286f317,128,16384
2,0xa3795739,0xc3158d2c,0,16384
2,0xa3795739,0xbefa14c8,0,16384
2,0xa3795739,0xa86bec8f,0,16384
2,0xa3795739,0xb1cece9a,-512,16384
2,0xa3795739,0xfecb331d,0,16384
2,0xa3795739,0xe3f52373,0,16384
2,0xa3795739,0xd7c7e126,0,16384
2,0xa3795739,0x54288906,0,16384
2,0xa3795739,0xba4c6408,0,16384
2,0xa3795739,0xad7e6b1c,0,16384
2,0xa3795739,0x169a81ee,0,16384
2,0xa3795739,0xdd043ba5,256,16384
2,0xa3795739,0x49c97de1,0,16384
2,0xa3795739,0xdc1271a5,0,16384
2,0xa3795739,0xc3157291,0,16384
2,0xa3795739,0x112b7d0a,0,16384
2,0xa3795739,0x03b15541,256,16384
2,0xa3795739,0xaadf8821,0,16384
2,0xa3795739,0x0041c971,0,16384
2,0xa3795739,0xee34ee73,128,16384
2,0xa3795739,0x07d84628,0,16384
2,0xa3795739,0xf630658e,0,16384
2,0xa3795739,0xedaa814c,0,16384
2,0xa3795739,0x5d11e1bb,0,16384
2,0xa3795739,0x39385b2b,0,16384
2,0xa3795739,0xa11bb69e,0,16384
2,0xa3795739,0x3768f872,0,16384
2,0xa3795739,0x43b445b2,0,16384
2,0xa3795739,0xdfc81902,-128,16384
2,0xa3795739,0xad25b6a2,0,16384
2,0xa3795739,0x09f50bfb,-256,16384
2,0xa3795739,0x20c59c1e,0,16384
2,0x20fc6d73,0xe0b277d6,0,16384
2,0x20fc6d73,0x7d27831d,64,16384
2,0x20fc6d73,0x8e83761a,192,16384
2,0x20fc6d73,0xd9be685d,0,16384
2,0x20fc6d73,0xaada9232,-64,16384
2,0x20fc6d73,0xaa3b15ff,0,16384
