# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=6f734ad08b0da0fbfb443841290b4fc85670446daf0f70df302b8376115a451d
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=4096
# unique_v=4096
# threads=8
r,u,v,numerator,denominator
2,0x86b1a1f5,0x26ef3389,64,16384
2,0x25ccc18d,0xef9499a9,0,16384
2,0xfc5b1329,0x5636b816,0,16384
2,0x1acf97f2,0xd83fcaee,0,16384
2,0x4728e6aa,0xb1c11522,0,16384
2,0x158e4732,0x5783ac77,0,16384
2,0xdcd165b1,0xd4a9677f,0,16384
2,0xadb306ad,0x78683a97,0,16384
2,0x8edb563f,0xe5d2b3fc,0,16384
2,0xe495bd92,0x92824078,0,16384
2,0xcfe56449,0xc45d16a0,192,16384
2,0xcad4fd71,0xff0980a0,128,16384
2,0xd1a92a76,0x3c768d1e,-384,16384
2,0x4ed8b22f,0xeba82a17,0,16384
2,0xc889a370,0x0f69778e,0,16384
2,0x7f8c45dc,0xefc46a1e,0,16384
2,0x5e11df15,0xbd9429b8,0,16384
2,0x1cd9f45b,0x089ac99d,0,16384
2,0xef4ae7ae,0x9b84a0b8,0,16384
2,0xb20ec2d0,0xd718b350,0,16384
2,0xed34c79a,0xca878d25,0,16384
2,0x3f7f6383,0x1c0a1437,0,16384
2,0x48a7a5c1,0xf197e788,0,16384
2,0x5643662b,0x4fb6aaec,0,16384
2,0xec771a17,0xabd0d627,0,16384
2,0x758da74a,0xfcab16b9,0,16384
2,0xad9d7cf0,0x94a125b0,0,16384
2,0xfa3725be,0xe311c252,0,16384
2,0xe85e01fe,0x6db0a11c,0,16384
2,0x294f5381,0x18d22794,0,16384
2,0x057216c9,0xd0b73b70,384,16384
2,0x392d42cf,0x89ce51c1,0,16384
2,0x6b640b2a,0xb823a54b,0,16384
2,0x2d5f73a6,0xbdfda3f6,64,16384
2,0x68649f1f,0x0dc37bca,-64,16384
2,0x70d58ecb,0x1f6cc845,-64,16384
2,0xc675eb6a,0xfb3fe78a,0,16384
2,0x66332392,0x6144b7c2,0,16384
2,0x4aebf640,0x421346ae,0,16384
2,0x87250a18,0x36153c65,0,16384
2,0xdd760c4b,0xd0092f44,0,16384
2,0xda911f51,0xf5792840,0,16384
2,0x6246b8b2,0x7df9643d,0,16384
2,0x1d521cc2,0xebe83243,0,16384
2,0x7ce5e56e,0xa8c8e8d6,0,16384
2,0x6fa915a2,0x0b87c9c6,0,16384
2,0x63c31597,0x2ad90aa5,0,16384
2,0x1f32707f,0x0e1edc13,0,16384
2,0xe91b7ddb,0xa092e21d,0,16384
2,0xdc8a8613,0x873f97aa,0,16384
2,0x3bb016d7,0xe6eda5b5,-128,16384
2,0x15c32d55,0x373066eb,0,16384
2,0xe4f1258b,0x873816a7,0,16384
2,0x2ce40415,0x0edf175f,0,16384
2,0x903aff54,0xd1025c34,64,16384
2,0x3d47dc76,0xc8d6baa2,0,16384
2,0x8d8b05d9,0xacc13785,0,16384
2,0x09c56634,0x3ad4b9cb,0,16384
2,0x2c991d5f,0x83f8db53,0,16384
2,0x7567c77a,0x75fbc4cb,0,16384
2,0xee86076a,0x7be76781,0,16384
2,0x7b425dce,0x13356722,0,16384
2,0x850cc569,0x92dcb238,0,16384
2,0xc4504893,0xe6a8d4cc,0,16384
2,0x7a73baf0,0xa0584945,0,16384
2,0x4404c07b,0x35f4807b,0,16384
2,0x239beaba,0xf2df3c24,-256,16384
2,0xddbefffe,0xec68a2e5,0,16384
2,0x354e98f9,0x5f3cb226,-128,16384
2,0x93194f17,0x9e7f6b43,0,16384
2,0xc523be4b,0x86fca60a,0,16384
2,0xe2971ed2,0x30fd9c97,0,16384
2,0xe8a3b5f5,0x5f650717,0,16384
2,0x038dca72,0x5d0d01b4,0,16384
2,0xad3527c3,0x8210bce6,384,16384
2,0x6c7f3f5c,0x1f7d4d9f,0,16384
2,0xc1eac9fd,0x7d730c5d,-64,16384
2,0xe0a63328,0xde74c082,0,16384
2,0xa8e7b4c6,0x7ff60b3f,0,16384
2,0x2435fbb0,0x10f3d8f8,0,16384
2,0xc76bea87,0xf2baec80,0,16384
2,0xfbadce86,0xeedc63fc,192,16384
2,0x7864c288,0x2f3d4012,0,16384
2,0xe70a9d00,0x6aebf78c,0,16384
2,0x18a37ca0,0x62c25315,0,16384
2,0xf8ea73f9,0xdfedce77,0,16384
2,0xbc5b16cf,0x1e51470d,-256,16384
2,0xc4c6aeef,0x883bdd16,0,16384
2,0xeba8dbf5,0x33dc3277,256,16384
2,0x4a072629,0xb124a086,256,16384
2,0x10974420,0x71c8a0a3,0,16384
2,0xf11d0cfc,0xbc4ca74c,0,16384
2,0x7f8a9497,0xd2e8c8c2,0,16384
2,0xfd594258,0x385548c5,0,16384
2,0x41062b60,0xffd37f62,0,16384
2,0x7bf08a17,0xe2f7ce29,0,16384
2,0xf0426dba,0x36ab65b3,0,16384
2,0x293b9ce6,0xf7369a6a,0,16384
2,0xaef8ad3b,0x68f025fe,0,16384
2,0x04c566f7,0xcbaba454,-64,16384
2,0x03028f06,0xc8f68b3a,0,16384
2,0xc1a5ef2a,0x245c5696,0,16384
2,0xd7ca57c3,0xa27346a5,0,16384
2,0x2fd31203,0x45ff4820,0,16384
2,0x74373c99,0xad37af62,0,16384
2,0x1fc1a134,0x90c3ca72,0,16384
2,0x70f8be4e,0xc9eab16d,0,16384
2,0x380fb7c5,0x77c496d0,0,16384
2,0xbcc1035c,0x6e561b05,0,16384
2,0xa8675143,0x20ca1acc,0,16384
2,0x994e33d7,0x3bb86a73,0,16384
2,0x91cddf76,0x701c8816,0,16384
2,0xec50dd51,0x938904ad,0,16384
2,0x78f8859d,0xb344df57,0,16384
2,0xf4110c96,0x7a10230f,0,16384
2,0xd8c12e29,0x740e6be9,-128,16384
2,0xcbcc9ce0,0xe9f2adba,0,16384
2,0x94ae0ff6,0x047ad9d3,0,16384
2,0x54e978f7,0xcb9daf98,0,16384
2,0x1329cf6a,0x41718659,-64,16384
2,0x7114fc83,0xd91dbd87,0,16384
2,0xd56816c7,0x5f8ecabb,-64,16384
2,0x0f0d768b,0x0b4f02ce,0,16384
2,0xed3e7f33,0xcd7f1505,-128,16384
