# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=da5d5c0c4616673053317abf97c4c04599ffd41a38fba14926578c8fb9120a6d
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=12320768
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=94
# unique_v=438
# threads=8
r,u,v,numerator,denominator
2,0xe0001000,0x01110777,-32768,131072
2,0x30060000,0xd00d0fcc,32768,131072
2,0x00009005,0x07665005,0,131072
2,0x00003008,0x03447007,0,131072
2,0x30060000,0xd00d0744,32768,131072
2,0x0e0000c0,0x00000b0b,65536,131072
2,0xe0001000,0x0eee0777,-32768,131072
2,0x40000a00,0x0f0f2331,0,131072
2,0x5000000e,0x07002557,65536,131072
2,0x0000d004,0x06ff1001,16384,131072
2,0x00e00008,0x0a000fff,65536,131072
2,0x00020090,0xa44e0800,24576,131072
2,0x90a00000,0x0000dff2,-131072,131072
2,0xa0f00000,0x0000588d,-131072,131072
2,0x00020090,0x54410800,8192,131072
2,0xc0d00000,0x0000b00b,-131072,131072
2,0x200080e0,0x70070888,-20480,131072
2,0x2000a600,0x0b2b9118,0,131072
2,0x2b000000,0x8cc40080,-32768,131072
2,0x00e0b000,0x0eeeaaa0,-65536,131072
2,0x7000f000,0x09990ddd,32768,131072
2,0x0e004000,0xb2290b0b,0,131072
2,0x080000c0,0x55500a0a,16384,131072
2,0x070000a0,0xbbb00d0d,0,131072
2,0x00800e00,0x05050000,-32768,131072
2,0x2000a600,0x0f2f955c,-16384,131072
2,0x00e0b000,0x0eee2775,-65536,131072
2,0x00009009,0x00eee00e,32768,131072
2,0x00e00008,0x07005227,0,131072
2,0x7000f000,0x0fff0333,65536,131072
2,0x00009009,0x02666006,16384,131072
2,0x00006010,0xddd00000,20480,131072
2,0xe0001000,0x09990fff,-32768,131072
2,0x00b00000,0x0000f669,-131072,131072
2,0x0e004000,0x2aa80202,16384,131072
2,0x00073000,0x6cca0600,16384,131072
2,0x00006010,0x81190000,-16384,131072
2,0x00e0b000,0x0eee3bb8,65536,131072
2,0x7000f000,0x06660ddd,32768,131072
2,0x04000010,0x00000b0b,32768,131072
2,0x080000c0,0x11100a0a,16384,131072
2,0x00001040,0x50050000,-12288,131072
2,0x70009000,0x0ccc0ddd,32768,131072
2,0x0e004000,0x73340202,-28672,131072
2,0x070000a0,0x00000909,0,131072
2,0x0e004000,0x23310f0f,-28672,131072
2,0x0800b000,0xfcc30202,-20480,131072
2,0x200080e0,0x99900888,-12288,131072
2,0x000600f0,0x7dda0900,8192,131072
2,0x000600f0,0x09990d00,-12288,131072
2,0x0000d004,0x0277d00d,0,131072
2,0x080000c0,0x00000f0f,65536,131072
2,0xb0f00000,0x0000bdd6,131072,131072
2,0xb0f00000,0x00001ffe,-131072,131072
2,0x90a00000,0x00002331,131072,131072
2,0x30060000,0x50050544,-32768,131072
2,0x070000a0,0x00000303,-32768,131072
2,0x7000f000,0x07770ddd,65536,131072
2,0x5000000e,0x0700a55f,-65536,131072
2,0x40400000,0x00005005,-131072,131072
2,0x7000f000,0x0fff0444,-65536,131072
2,0x5000000e,0x0c00c559,0,131072
2,0x0e004000,0xaaa00a0a,16384,131072
2,0x5000000e,0x0f00a55f,-65536,131072
2,0x00e0b000,0x0eeeb338,-65536,131072
2,0x070000a0,0x2aa80d0d,8192,131072
2,0x00c00900,0x0a0a0000,0,131072
2,0x00c00900,0x04044662,0,131072
2,0xe0001000,0x05550fff,32768,131072
2,0x10700000,0x00005005,-131072,131072
2,0x00c00900,0x0404e44a,0,131072
2,0x00e0b000,0x0666aaa0,65536,131072
2,0x40000a00,0x0f0f7334,0,131072
2,0x00003008,0x0ecca00a,-32768,131072
2,0x080000c0,0xc33f0f0f,-8192,131072
2,0x200080e0,0xbbb00888,-20480,131072
2,0x0800b000,0xfcc30a0a,20480,131072
2,0x200080e0,0xbcc70888,20480,131072
2,0x30060000,0x10010144,-32768,131072
2,0x30000c00,0x0303bff4,0,131072
2,0x070000a0,0x55500d0d,24576,131072
2,0x2b000000,0xcee20484,16384,131072
2,0x00b00000,0x00005114,-131072,131072
2,0x00006010,0x2bb90000,-12288,131072
2,0x04000060,0x00000505,32768,131072
2,0x70009000,0x0eee0ccc,65536,131072
2,0xb0f00000,0x0000b992,-131072,131072
2,0xb0f00000,0x00005eeb,131072,131072
2,0x30000c00,0x02022ffd,-65536,131072
2,0xc0e00000,0x0000b883,-131072,131072
2,0x2b000000,0xccc00686,16384,131072
2,0x00007c00,0x0ada7770,0,131072
2,0xb0f00000,0x0000d77a,-131072,131072
2,0x00b00000,0x0000fcc3,-131072,131072
2,0xb0f00000,0x00002446,-131072,131072
2,0x2b000000,0x3ccf0484,32768,131072
2,0x5000000e,0x0200f55a,0,131072
2,0x00006010,0x1ccd0000,-12288,131072
2,0xe0001000,0x05550333,-32768,131072
2,0x200080e0,0x24460888,24576,131072
2,0x70009000,0x0eee0aaa,-65536,131072
2,0x8060000d,0x0b00a77d,0,131072
2,0x0800b000,0x7ccb0a0a,28672,131072
2,0x0800b000,0xacc60f0f,20480,131072
2,0x70f00000,0x0000b883,-131072,131072
2,0x0000d004,0x0e771001,-16384,131072
2,0x00006010,0xa3390000,-12288,131072
2,0x00006010,0x7dda0000,-16384,131072
2,0x5000000e,0x0a00a55f,0,131072
2,0x00009005,0x00ee1001,0,131072
2,0x90a00000,0x0000daa7,131072,131072
2,0x200080e0,0xcbb70888,-16384,131072
2,0xe0001000,0x02220333,32768,131072
2,0x00700d00,0x0b0b0000,-32768,131072
2,0x7000f000,0x0fff0222,65536,131072
2,0xb0f00000,0x0000933a,-131072,131072
2,0x70009000,0x0bbb0ddd,-32768,131072
2,0x00009005,0x0feee00e,0,131072
2,0xb0f00000,0x00006335,-131072,131072
2,0x90a00000,0x0000baa1,-131072,131072
2,0x00007c00,0x0ede3330,0,131072
2,0x5000000e,0x0a00b55e,0,131072
2,0x30000c00,0x07077ee9,0,131072
2,0x30060000,0x900902cc,-32768,131072
2,0x5000000e,0x0f00855d,-65536,131072
2,0x70009000,0x02220ddd,32768,131072
2,0x2b000000,0xecc20484,16384,131072
2,0x00e00008,0x0f00922b,0,131072
2,0x00b00000,0x0000833b,-131072,131072
2,0x000040c0,0xb00b0000,-12288,131072
2,0x0800b000,0xfcc30f0f,-32768,131072
2,0x200080e0,0x21130888,32768,131072
2,0x0800b000,0x844c0808,-32768,131072
2,0x000040d0,0x50050000,-16384,131072
2,0x70009000,0x06660bbb,65536,131072
2,0x0000c0d0,0xb00b0000,12288,131072
2,0x40000a00,0x06064773,0,131072
2,0x0000d004,0x0977b00b,16384,131072
2,0x70009000,0x03330ddd,-32768,131072
2,0xb0f00000,0x0000f11e,131072,131072
2,0x30000c00,0x0b0b3ffc,-65536,131072
2,0x080000c0,0x55500202,-8192,131072
2,0x0000c030,0xb8830000,-12288,131072
2,0x200080e0,0xfee10888,-12288,131072
2,0x7000f000,0x0fff0ddd,-65536,131072
2,0x70009000,0x05550ddd,32768,131072
2,0x09000090,0x00000505,-32768,131072
2,0x40000a00,0x08088bb3,0,131072
2,0x30060000,0xd00d01cc,32768,131072
2,0x90a00000,0x00009ff6,131072,131072
2,0x7000f000,0x0eee0ddd,32768,131072
2,0x070000a0,0xa2280d0d,8192,131072
2,0xe0001000,0x09990bbb,32768,131072
2,0xb0f00000,0x0000e997,131072,131072
2,0xe0001000,0x06660333,32768,131072
2,0x200080e0,0x8dd50888,16384,131072
2,0x0e0000b0,0x00000b0b,0,131072
2,0xb0f00000,0x0000d994,131072,131072
2,0x80400000,0x0000b00b,-131072,131072
2,0x70009000,0x06660444,-65536,131072
2,0x90a00000,0x00007225,-131072,131072
2,0x0e004000,0xf33c0a0a,28672,131072
2,0x0800b000,0xfcc30707,-24576,131072
2,0x90a00000,0x0000b883,-131072,131072
2,0x0000d004,0x02775005,0,131072
2,0x7000f000,0x07770222,-65536,131072
2,0x70400000,0x00005005,-131072,131072
2,0x70009000,0x0aaa0ddd,32768,131072
2,0x00900300,0x0b0b0000,0,131072
2,0x200080e0,0xdff20888,-12288,131072
2,0x0000d004,0x0affd00d,0,131072
2,0x00c00900,0x03039dd4,-32768,131072
2,0x0800b000,0x7ccb0707,-16384,131072
2,0x0000e0f0,0xb00b0000,-12288,131072
2,0x30060000,0x30030944,32768,131072
2,0x00b00000,0x00009dd4,131072,131072
2,0x0e004000,0x32210b0b,24576,131072
2,0xc0c00000,0x0000b00b,-131072,131072
2,0x90a00000,0x0000f11e,131072,131072
2,0x00b00000,0x00003330,131072,131072
2,0x50d00000,0x0000b883,-131072,131072
2,0x200080e0,0x31120888,-28672,131072
2,0xe0001000,0x0aaa0bbb,32768,131072
2,0x00e00008,0x0f00a228,0,131072
2,0x30060000,0xd00d0944,32768,131072
2,0x8060000d,0x04006335,0,131072
2,0xe0001000,0x02220fff,-32768,131072
2,0x00700700,0x05050000,0,131072
2,0x7000f000,0x0aaa0ddd,-32768,131072
2,0x00006010,0x4ffb0000,-24576,131072
2,0x70009000,0x06660333,65536,131072
2,0x70009000,0x06660555,-65536,131072
2,0x080000c0,0x3ccf0f0f,-8192,131072
2,0x90a00000,0x00004aae,-131072,131072
2,0xe0300000,0x0000b00b,-131072,131072
2,0x00009005,0x0aeee00e,16384,131072
2,0x00006010,0x944d0000,12288,131072
2,0x0000d004,0x04ffe00e,-16384,131072
2,0x00003008,0x0b442002,0,131072
2,0x00b00000,0x0000bbb0,-131072,131072
2,0x200080e0,0x2cce0888,16384,131072
2,0x00006010,0xbaa10000,16384,131072
