# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=9e8b51cc95b9c17c2a6907536a21fd914f0a7d05089b49eb7d6b861162c147b5
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=26
# unique_v=124
# threads=8
r,u,v,numerator,denominator
2,0x74b56471,0x0faaeb13,0,131072
2,0xc2792e93,0x84d47d51,0,131072
2,0xffca7838,0xd259e964,-256,131072
2,0xc6e738d8,0x84d47d51,0,131072
2,0x32901407,0xbe3413f9,0,131072
2,0xc16940c0,0x1f58a6e1,0,131072
2,0xe9365439,0x51be9cbd,0,131072
2,0xa1392ebf,0x201ac5fc,0,131072
2,0xffca7838,0x201ac5fc,0,131072
2,0xa1392ebf,0xd259e964,768,131072
2,0xd01bfcb4,0xeaf7aa40,0,131072
2,0xe9365439,0x478975e9,0,131072
2,0xc16940c0,0x6d7bc9b2,0,131072
2,0xe9365439,0x23af4c3f,-512,131072
2,0x89a7b4e8,0x4cb5e815,0,131072
2,0x89c8d694,0x201ac5fc,0,131072
2,0xd01bfcb4,0x84c10b33,0,131072
2,0xe680debe,0xc5a308af,0,131072
2,0x89a7b4e8,0xc4fc53a1,0,131072
2,0xffca7838,0xb8b187a0,-512,131072
2,0xc600f52a,0xeaf7aa40,0,131072
2,0xa1392ebf,0x1aa8ae4e,0,131072
2,0xd01bfcb4,0x775a691a,0,131072
2,0x89a7b4e8,0x1f58a6e1,0,131072
2,0x89a7b4e8,0xccb020cf,0,131072
2,0x89a7b4e8,0x8b330279,0,131072
2,0xd01bfcb4,0x2b045027,0,131072
2,0xe9365439,0x201ac5fc,0,131072
2,0xe9365439,0x940f65e1,0,131072
2,0xe680debe,0x4ffa9e04,0,131072
2,0xd01bfcb4,0xe43299f9,0,131072
2,0xe41bcee8,0x0faaeb13,0,131072
2,0xa1392ebf,0x6cf90269,0,131072
2,0xe9365439,0x9f4357b5,0,131072
2,0xc6e738d8,0xeb6ac971,0,131072
2,0xa1392ebf,0x4355bdf1,0,131072
2,0x333f2e68,0x5f5975ff,256,131072
2,0xc2792e93,0x18e6fc40,0,131072
2,0xc2792e93,0x10c4616a,-256,131072
2,0xc2792e93,0x486184c0,-1024,131072
2,0xe680debe,0x66fc4d0a,0,131072
2,0xd01bfcb4,0x4355bdf1,0,131072
2,0xffca7838,0x3f360509,0,131072
2,0xc16940c0,0xeaf7aa40,0,131072
2,0xe9365439,0x53ecb53a,0,131072
2,0xd01bfcb4,0x51be9cbd,0,131072
2,0xc600f52a,0x0faaeb13,0,131072
2,0xe9365439,0x1245e6d9,0,131072
2,0x32901407,0xeaf7aa40,0,131072
2,0xe9365439,0x96b52931,0,131072
2,0xfcda3be4,0xe2daf077,0,131072
2,0xc2792e93,0xb8b187a0,256,131072
2,0xdac16951,0x6cf90269,0,131072
2,0xdac16951,0x0faaeb13,0,131072
2,0xffca7838,0xeaf7aa40,-1536,131072
2,0x9787bfd2,0xc056de62,0,131072
2,0x89a7b4e8,0x6d7bc9b2,0,131072
2,0x9787bfd2,0x0faaeb13,0,131072
2,0xc16940c0,0xc056de62,0,131072
2,0xffca7838,0x139ccd0f,0,131072
2,0xfcda3be4,0x775a691a,0,131072
2,0xfcda3be4,0x76f1ac4b,0,131072
2,0x1b91a278,0x4cb5e815,0,131072
2,0xd01bfcb4,0x0365b30e,0,131072
2,0x333f2e68,0xa3ab90ed,-512,131072
2,0x89a7b4e8,0x2dde15dd,-512,131072
2,0x333f2e68,0x21efebfa,0,131072
2,0xc2792e93,0x139ccd0f,0,131072
2,0xc2792e93,0x9c6bf0b0,0,131072
2,0xdac16951,0x8d519d9e,0,131072
2,0x74b56471,0x4cb5e815,256,131072
2,0xc2792e93,0xbe3413f9,0,131072
2,0xe680debe,0xc4df68ad,0,131072
2,0xffca7838,0xc4df68ad,0,131072
2,0x6f7e9515,0xe2daf077,0,131072
2,0x333f2e68,0xc056de62,-512,131072
2,0xdac16951,0xa21651f8,0,131072
2,0xc16940c0,0x2dde15dd,0,131072
2,0x89a7b4e8,0x38d981ec,512,131072
2,0xdac16951,0x4cb5e815,0,131072
2,0x20f65dbe,0x23af4c3f,0,131072
2,0xe9365439,0x0faaeb13,0,131072
2,0x89a7b4e8,0xdd9839de,0,131072
2,0x333f2e68,0x5a58021b,0,131072
2,0xa1392ebf,0x4cb5e815,1536,131072
2,0xd01bfcb4,0x21efebfa,0,131072
2,0xe41bcee8,0xa3ab90ed,0,131072
2,0xe9365439,0x96ba29c0,0,131072
2,0xfcda3be4,0x456e6523,0,131072
2,0xd01bfcb4,0x96ba29c0,0,131072
2,0xe9365439,0x10c4616a,256,131072
2,0xd01bfcb4,0x5a58021b,0,131072
2,0x89c8d694,0x4aae0421,0,131072
2,0x88f80740,0xccb020cf,4096,131072
2,0xd01bfcb4,0x0faaeb13,0,131072
2,0x89a7b4e8,0xdb294daa,0,131072
2,0x89c8d694,0xc256b97a,0,131072
2,0xd01bfcb4,0x478975e9,0,131072
2,0xdac16951,0x5d5abfba,0,131072
2,0xdac16951,0x45076d71,-256,131072
2,0x20f65dbe,0xeaf7aa40,2048,131072
2,0x3978ad7d,0x9e2946c1,512,131072
2,0xc2792e93,0xd7354f17,0,131072
2,0xffca7838,0xe65a7026,0,131072
2,0xc16940c0,0xc4fc53a1,0,131072
2,0xe9365439,0x456e6523,0,131072
2,0x1b91a278,0xf532cb71,0,131072
2,0xdac16951,0xb555358d,0,131072
2,0xe9365439,0x775a691a,0,131072
2,0xc600f52a,0xc056de62,0,131072
2,0xc2792e93,0xd259e964,-256,131072
2,0xa1392ebf,0x5dac02e5,0,131072
2,0xdac16951,0xc056de62,-256,131072
2,0x20f65dbe,0x1765a823,-1024,131072
2,0xa1392ebf,0xffb8c20f,0,131072
2,0x8227bb58,0xf72cd70f,0,131072
2,0xc16940c0,0x2c829efb,0,131072
2,0xc16940c0,0xa29de656,0,131072
2,0x333f2e68,0x2b464b2b,0,131072
2,0xd01bfcb4,0x53ecb53a,0,131072
2,0xc6e738d8,0x96ba29c0,0,131072
2,0xfcda3be4,0x07367fdb,0,131072
2,0x333f2e68,0x624fb661,-512,131072
2,0xc2792e93,0xc056de62,0,131072
2,0xffca7838,0xa6029050,0,131072
2,0xd01bfcb4,0xa29de656,0,131072
2,0xfcda3be4,0xa3133ac4,0,131072
2,0xffca7838,0xeb6ac971,0,131072
2,0xc16940c0,0x0faaeb13,0,131072
2,0x9f7f9067,0x0faaeb13,-2048,131072
2,0x333f2e68,0x0faaeb13,0,131072
2,0xd01bfcb4,0x23af4c3f,0,131072
2,0xd01bfcb4,0x79ccd8fd,0,131072
2,0xd01bfcb4,0xa7891863,-1024,131072
2,0xffca7838,0x99fa305a,0,131072
2,0xe9365439,0xc056de62,0,131072
2,0xa1392ebf,0xeaf7aa40,0,131072
2,0xe9365439,0x3f360509,0,131072
2,0x333f2e68,0x1e8d4e8d,0,131072
2,0xd01bfcb4,0x6cf90269,0,131072
2,0xfcda3be4,0xf72cd70f,0,131072
2,0xffca7838,0x0f246b17,-512,131072
2,0x89a7b4e8,0xa21651f8,1024,131072
2,0xd01bfcb4,0x19ec0996,0,131072
2,0xe9365439,0x0f246b17,0,131072
2,0x6f7e9515,0xcbef7c01,0,131072
2,0x74b56471,0x96b52931,0,131072
2,0x32901407,0xd259e964,0,131072
2,0xa1392ebf,0xc5a308af,-512,131072
2,0xa1392ebf,0x4ffa9e04,0,131072
2,0xdac16951,0xe43299f9,0,131072
2,0x89a7b4e8,0x0365b30e,0,131072
2,0x89c8d694,0x4cb5e815,0,131072
2,0x89a7b4e8,0x07367fdb,0,131072
2,0x20f65dbe,0x4cb5e815,0,131072
2,0xffca7838,0xc056de62,1024,131072
2,0xa1392ebf,0xc4df68ad,0,131072
2,0x333f2e68,0x891f9d89,0,131072
2,0xfcda3be4,0x7c41ff4e,0,131072
2,0xc2792e93,0xc256b97a,0,131072
2,0xfcda3be4,0xc056de62,0,131072
2,0xc2792e93,0x2e5d584e,1536,131072
2,0xc6e738d8,0x10c4616a,0,131072
2,0x89a7b4e8,0xc056de62,-1024,131072
2,0x89a7b4e8,0xd1adf9f0,0,131072
2,0x9787bfd2,0x4cb5e815,0,131072
2,0x6f7e9515,0xfdfb6fec,0,131072
2,0xa1392ebf,0x478975e9,0,131072
2,0xa1392ebf,0x2daa612f,0,131072
2,0x89a7b4e8,0x962f3269,0,131072
2,0xd01bfcb4,0x6d7bc9b2,0,131072
2,0xe9365439,0x2e5d584e,0,131072
2,0x89a7b4e8,0xeb990c73,0,131072
2,0x6f7e9515,0xc056de62,0,131072
2,0xfcda3be4,0xa7891863,0,131072
2,0xd01bfcb4,0x9c6bf0b0,0,131072
2,0xd01bfcb4,0x648253a5,0,131072
2,0xffca7838,0xc256b97a,0,131072
2,0xd01bfcb4,0x66fc4d0a,0,131072
2,0x89c8d694,0xeaf7aa40,0,131072
2,0xdac16951,0x1df8cd5b,-1024,131072
2,0x322132ef,0x4cb5e815,0,131072
2,0xe680debe,0xc056de62,0,131072
2,0xfcda3be4,0xd259e964,0,131072
2,0xffca7838,0x25ecaad5,0,131072
2,0xfcda3be4,0xe43299f9,0,131072
2,0xd01bfcb4,0x8d519d9e,0,131072
2,0xe680debe,0x4cb5e815,0,131072
2,0xe9365439,0xcbef7c01,0,131072
2,0xe9365439,0x19ec0996,0,131072
2,0xe9365439,0xe43299f9,0,131072
2,0xd01bfcb4,0x3f360509,0,131072
2,0xffca7838,0xb7bc62f7,0,131072
2,0x88f80740,0x0faaeb13,0,131072
2,0xd01bfcb4,0xdb294daa,0,131072
2,0x333f2e68,0x9e2946c1,0,131072
2,0x89c8d694,0xd7354f17,0,131072
2,0xd01bfcb4,0x9540b62e,0,131072
2,0xc6e738d8,0x4cb5e815,0,131072
2,0xd01bfcb4,0xa62128c2,0,131072
2,0xa1392ebf,0x99fa305a,0,131072
2,0xc2792e93,0xb3bc7234,0,131072
2,0x8227bb58,0x0faaeb13,0,131072
2,0xffca7838,0x96b52931,0,131072
2,0xd01bfcb4,0x04bb81c6,0,131072
2,0xe680debe,0xdb294daa,0,131072
2,0xd01bfcb4,0x5dac02e5,0,131072
2,0x322132ef,0x0faaeb13,0,131072
2,0xa1392ebf,0xffe3d608,0,131072
2,0xd01bfcb4,0x940f65e1,0,131072
2,0xe9365439,0xa62128c2,512,131072
2,0x32901407,0x51be9cbd,0,131072
2,0xc2792e93,0x37e5998c,0,131072
2,0xd01bfcb4,0xa6029050,0,131072
2,0xc2792e93,0x19ec0996,0,131072
2,0x8227bb58,0x7c41ff4e,1024,131072
2,0xffca7838,0x84ade3f5,0,131072
2,0xe9365439,0xa7891863,512,131072
2,0x89c8d694,0x18e6fc40,0,131072
2,0xc2792e93,0xe43299f9,0,131072
2,0xe41bcee8,0x1e8d4e8d,0,131072
2,0x6f7e9515,0xdf30a972,0,131072
2,0xc16940c0,0xd1adf9f0,0,131072
2,0x88f80740,0x5f5975ff,0,131072
2,0x9787bfd2,0x891f9d89,0,131072
2,0x89a7b4e8,0xd259e964,0,131072
2,0xa1392ebf,0x07367fdb,-768,131072
2,0x89a7b4e8,0xeaf7aa40,0,131072
2,0x89a7b4e8,0x2b045027,0,131072
2,0xc6e738d8,0xe43299f9,0,131072
2,0xe41bcee8,0xeaf7aa40,0,131072
2,0xdac16951,0x2daa612f,0,131072
2,0xd01bfcb4,0xa3ab90ed,0,131072
2,0xa1392ebf,0x82c4cb60,0,131072
2,0xd01bfcb4,0x07367fdb,0,131072
2,0xd01bfcb4,0x18e6fc40,0,131072
2,0xd01bfcb4,0xeb990c73,0,131072
2,0xc2792e93,0x33032baf,0,131072
2,0xfcda3be4,0xcbef7c01,0,131072
2,0x1b91a278,0xe43299f9,0,131072
2,0xd01bfcb4,0xc5a308af,0,131072
2,0xfcda3be4,0x38d981ec,0,131072
2,0xe9365439,0x9540b62e,-512,131072
2,0xd01bfcb4,0x45076d71,0,131072
2,0x89a7b4e8,0x45076d71,0,131072
2,0xe680debe,0xe65a7026,0,131072
2,0xe9365439,0xd1adf9f0,0,131072
2,0xe9365439,0x1e8d4e8d,-768,131072
2,0xa1392ebf,0x45076d71,0,131072
2,0x88f80740,0xc056de62,0,131072
2,0xd01bfcb4,0x0f246b17,-512,131072
2,0xc16940c0,0xe43299f9,0,131072
2,0xc16940c0,0x4cb5e815,0,131072
2,0xe680debe,0xe43299f9,0,131072
2,0x32901407,0x0faaeb13,0,131072
2,0xe41bcee8,0x6d3b4824,0,131072
2,0xe680debe,0x53096faf,0,131072
2,0x1b91a278,0xc056de62,-512,131072
2,0x3978ad7d,0x9540b62e,0,131072
2,0x333f2e68,0x478975e9,0,131072
2,0x9f7f9067,0xeaf7aa40,0,131072
2,0xc2792e93,0x51be9cbd,0,131072
2,0xc2792e93,0xeaf7aa40,0,131072
2,0x8227bb58,0x76f1ac4b,0,131072
2,0xc16940c0,0x79ccd8fd,0,131072
2,0x89a7b4e8,0x0faaeb13,0,131072
2,0x333f2e68,0xd259e964,0,131072
2,0xa1392ebf,0xb555358d,0,131072
2,0xd01bfcb4,0x8b330279,0,131072
2,0xa1392ebf,0xab25b58d,0,131072
2,0xfcda3be4,0x96ba29c0,0,131072
2,0x8227bb58,0xc056de62,0,131072
2,0x74b56471,0xc056de62,0,131072
2,0x89a7b4e8,0x2b464b2b,0,131072
2,0x89a7b4e8,0x96b52931,-1024,131072
2,0x20f65dbe,0xa62128c2,0,131072
2,0xa1392ebf,0xe43299f9,0,131072
2,0xe680debe,0x1aa8ae4e,512,131072
2,0xa1392ebf,0xe65a7026,-256,131072
2,0xdac16951,0x946743ef,0,131072
2,0xe9365439,0x45076d71,0,131072
2,0x333f2e68,0x4cb5e815,0,131072
2,0x8227bb58,0x775a691a,0,131072
2,0x89a7b4e8,0x45bd1c8b,-256,131072
2,0xd01bfcb4,0xc056de62,0,131072
2,0xe9365439,0x4cb5e815,0,131072
2,0x333f2e68,0xedfa2ca3,0,131072
2,0xffca7838,0xd1adf9f0,0,131072
2,0x333f2e68,0x9540b62e,-512,131072
2,0xffca7838,0x9c6bf0b0,-256,131072
2,0xa1392ebf,0x3f360509,0,131072
2,0xc6e738d8,0x0faaeb13,0,131072
2,0x8227bb58,0x92c4deca,0,131072
2,0x89a7b4e8,0x21efebfa,0,131072
2,0x9f7f9067,0x4cb5e815,0,131072
2,0x89a7b4e8,0x6f82341a,256,131072
2,0xa1392ebf,0x8d519d9e,0,131072
2,0xd01bfcb4,0xdd9839de,0,131072
2,0xfcda3be4,0x1765a823,0,131072
2,0xc16940c0,0xeb990c73,0,131072
2,0x8227bb58,0x4cb5e815,0,131072
2,0x333f2e68,0x6f82341a,0,131072
2,0xffca7838,0xb3bc7234,768,131072
2,0xfcda3be4,0x0faaeb13,0,131072
2,0x32901407,0xb7bc62f7,0,131072
2,0x89c8d694,0xf58cac84,-256,131072
2,0xffca7838,0x19ec0996,0,131072
2,0xc16940c0,0x25ecaad5,0,131072
2,0x89c8d694,0xe43299f9,0,131072
2,0x89a7b4e8,0x9f4357b5,0,131072
2,0x1b91a278,0x478975e9,0,131072
2,0xe9365439,0x0365b30e,0,131072
2,0xa1392ebf,0x1df8cd5b,0,131072
2,0x89a7b4e8,0x79ccd8fd,0,131072
2,0x88f80740,0xeaf7aa40,0,131072
2,0xd01bfcb4,0xc4fc53a1,-512,131072
2,0xdac16951,0xab25b58d,1024,131072
2,0xe9365439,0xa3ab90ed,512,131072
2,0x89a7b4e8,0xa29de656,0,131072
2,0x89a7b4e8,0x478975e9,0,131072
2,0x89a7b4e8,0x25ecaad5,0,131072
2,0x333f2e68,0x4cba87f2,512,131072
2,0x89a7b4e8,0x648253a5,0,131072
2,0xc2792e93,0x84ade3f5,0,131072
2,0xc2792e93,0x07367fdb,256,131072
2,0x20f65dbe,0x0bf19e5a,0,131072
2,0x3978ad7d,0xc056de62,0,131072
