# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=69d8e1d46e0f4406676931943153e1b427e20c5baa89e2dcc9daac68632258e5
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=512
# unique_v=512
# threads=8
r,u,v,numerator,denominator
2,0x45f02478,0x229883d0,0,131072
2,0x4e361d04,0x51b13a6e,0,131072
2,0xc2ae072a,0x7a894305,0,131072
2,0x8b2fbc76,0x8fba735e,0,131072
2,0x9494b63b,0xd390c165,-1024,131072
2,0x67753136,0xa6a98503,0,131072
2,0xa054b1c4,0xda2dce2f,0,131072
2,0xa0660d47,0x49f6e810,0,131072
2,0x332f33e9,0x6873c5d2,-512,131072
2,0x69cc62a7,0xe9abde8c,-256,131072
2,0x567e25cc,0xd9f31a6c,512,131072
2,0xfd6b2e85,0x56807655,-512,131072
2,0xf20c9d89,0x7959cb38,0,131072
2,0x7b29bcdd,0x116ec0c5,0,131072
2,0x21c9e63f,0xd961ee6c,0,131072
2,0x8dd21d98,0x8a05c883,0,131072
2,0xc7894237,0x6e34f7c8,0,131072
2,0xf021a705,0x20f05671,0,131072
2,0xdbc4c5c5,0x8e9d4882,0,131072
2,0xce363033,0xb03ce84d,0,131072
2,0x61ce84ff,0x65577e19,0,131072
2,0x71e9ba42,0x2e278e75,0,131072
2,0x74472bcb,0xf515fc26,0,131072
2,0x8ae1fe80,0x92263987,0,131072
2,0x73e678fb,0x7af86892,0,131072
2,0xd0e8a5a0,0xb4cec023,0,131072
2,0x31b0e871,0x34a1be85,0,131072
2,0x258a85a3,0xfcbe6430,0,131072
2,0xb10baee9,0xd36ccfa6,512,131072
2,0xcc6aa506,0x00251cfe,0,131072
2,0x222f9410,0x477bc46a,0,131072
2,0x1f9d639a,0x9f0ba0d6,0,131072
2,0xa05bc315,0xb14e645c,256,131072
2,0x73962092,0x79205f99,0,131072
2,0x66893127,0x792f7c87,0,131072
2,0x979842ad,0xdb54c253,512,131072
2,0xe0975775,0x9ea230f7,0,131072
2,0x5adff78a,0x4b453a41,0,131072
2,0x7b404768,0x7e3e1ecf,0,131072
2,0x5411bde5,0x43cf0b5d,0,131072
2,0x1af7edd4,0x9de6999b,0,131072
2,0x61108e08,0x671dabae,-512,131072
2,0x9473f0b8,0xc3aa35ec,0,131072
2,0x563e5bb3,0x643547f2,0,131072
2,0x00089f3d,0x6bf4ca6c,0,131072
2,0x69dccb58,0xf562ac56,0,131072
2,0x52bb98dc,0x25f78c1d,0,131072
2,0x8e48f306,0x9e706b0c,0,131072
2,0x134f7843,0x0a94782a,-512,131072
2,0x5a919539,0x0362762f,0,131072
2,0x53ceb3f2,0x5362f6e0,0,131072
2,0x5bc4d7fd,0xbeda08be,0,131072
2,0xe7ccc616,0x8aa46d31,0,131072
2,0xadd5c9ab,0xca29c1c3,0,131072
2,0xa9da7f92,0x8b9db472,0,131072
2,0x9266d3f4,0x0b42a678,0,131072
2,0xefbbff20,0xd080f816,0,131072
2,0x8d6aa5d6,0x8b338b45,0,131072
2,0x7b01ba41,0xe6e6b8b0,0,131072
2,0xcc318293,0x1ec0dcec,0,131072
2,0xf1dde33a,0x5e843eee,0,131072
2,0xa4eb9871,0xcc63f88b,0,131072
2,0x19a925ca,0xd9d88a93,0,131072
2,0xa33961f2,0xc767525c,0,131072
2,0xfccefe2f,0x90db50bf,-256,131072
2,0x30171e81,0x8addbaa3,0,131072
2,0x5afe85e9,0xf5499735,0,131072
2,0xe34362bf,0xb9100330,0,131072
2,0xf3451d5c,0x808fe22e,0,131072
2,0xfc3ebc3c,0xdebbe23b,0,131072
2,0x91322236,0x4db95b6b,0,131072
2,0x92c6211a,0x687bc399,0,131072
2,0xb8cf6ecb,0xfcf2489e,0,131072
2,0x9bc48eb6,0xf10f9eb8,0,131072
2,0x6e44578e,0x7fef4b9c,0,131072
2,0x350cee7e,0xd082590e,1024,131072
