# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=49b9c1f2d5aef251d4e6780d463e4dbc71c65a20d0aa96ab1d88f0255f47839d
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=20971520
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=20
# unique_v=60
# threads=8
r,u,v,numerator,denominator
2,0x00001090,0xb8830000,131072,1048576
2,0x00005090,0xb8830000,131072,1048576
2,0x000080f0,0x50050000,98304,1048576
2,0x0000a0f0,0x50050000,98304,1048576
2,0x0000c00a,0x0077f00f,0,1048576
2,0x0000c00a,0x00ffa00a,0,1048576
2,0x0000c00a,0x01332002,-262144,1048576
2,0x0000c00a,0x05ffa00a,262144,1048576
2,0x0000c00a,0x0877a00a,0,1048576
2,0x0000c00a,0x09bb2002,262144,1048576
2,0x0000c00a,0x0b77c00c,131072,1048576
2,0x0000c00a,0x0d77f00f,-262144,1048576
2,0x0000d010,0xb00b0000,98304,1048576
2,0x0000e060,0x14450000,98304,1048576
2,0x0000e060,0x1aab0000,-262144,1048576
2,0x0000e060,0x22200000,131072,1048576
2,0x0000e060,0x5aaf0000,262144,1048576
2,0x0000e060,0x6ddb0000,98304,1048576
2,0x0000e060,0xd66b0000,-131072,1048576
2,0x0000e060,0xdaa70000,262144,1048576
2,0x0000e060,0xebb50000,-98304,1048576
2,0x0000e0e0,0xb00b0000,-131072,1048576
2,0x000eb000,0x2eec0200,-131072,1048576
2,0x000eb000,0x36650b00,-98304,1048576
2,0x000eb000,0x3eed0300,-98304,1048576
2,0x000eb000,0xa66c0a00,131072,1048576
2,0x00100e00,0x0b0b0000,-262144,1048576
2,0x00a00007,0x0600977e,0,1048576
2,0x00a00007,0x0d00b229,-786432,1048576
2,0x00d00e00,0x0b0b0000,-262144,1048576
2,0x0b00f000,0x81190808,262144,1048576
2,0x0b00f000,0xc11d0c0c,262144,1048576
2,0x0c003000,0x3ffc0b0b,196608,1048576
2,0x0c003000,0x7ee90a0a,196608,1048576
2,0x0c003000,0xaee40202,196608,1048576
2,0x0c003000,0xaee40f0f,196608,1048576
2,0x0c003000,0xaff50202,-196608,1048576
2,0x0c003000,0xaff50303,196608,1048576
2,0x0c003000,0xbff40b0b,-196608,1048576
2,0x0c003000,0xfee10a0a,196608,1048576
2,0x20600c00,0x0f0f1998,524288,1048576
2,0x20600c00,0x0f0f5dd8,524288,1048576
2,0x30040000,0x100105cc,196608,1048576
2,0x30040000,0x90090dcc,196608,1048576
2,0x30040000,0xb00b02cc,-163840,1048576
2,0x30040000,0xd00d09cc,-196608,1048576
2,0xa000000b,0x0800c22e,0,1048576
2,0xa000000b,0x0800caa6,0,1048576
2,0xc0000010,0x5eeb0333,-163840,1048576
2,0xc0000010,0x5eeb0bbb,-163840,1048576
2,0xc0000010,0x5eeb0fff,163840,1048576
2,0xc0000010,0xe55b0777,163840,1048576
2,0xd0600000,0x0000388b,1048576,1048576
2,0xd0600000,0x0000399a,1048576,1048576
2,0xd0600000,0x00003aa9,1048576,1048576
2,0xd0600000,0x00005eeb,1048576,1048576
2,0xd0600000,0x00009009,-1048576,1048576
2,0xd0600000,0x0000944d,1048576,1048576
2,0xd0600000,0x0000d22f,1048576,1048576
2,0xd0600000,0x0000d33e,1048576,1048576
2,0xf00000c0,0x27750fff,196608,1048576
2,0xf00000c0,0x33300fff,-262144,1048576
2,0xf00000c0,0x7aad0777,-196608,1048576
2,0xf00000c0,0xa77d0777,-196608,1048576
