# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=c30c6436c2f9b147f557386996f4103173fe277f5823feafca2d0bee653a860d
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=8388608
# v_parity_evaluations=16777216
# logical_query_updates=67108864
# unique_u=8
# unique_v=16
# threads=8
r,u,v,numerator,denominator
2,0x000f59b3,0x5f858ed9,0,1048576
2,0x000f59b3,0xaef702f1,0,1048576
2,0x000f59b3,0xb695921e,0,1048576
2,0x000f59b3,0x9452b9fb,0,1048576
2,0x000f59b3,0xb957b194,-512,1048576
2,0x000f59b3,0xc0344107,0,1048576
2,0x000f59b3,0xd9454059,0,1048576
2,0x000f59b3,0x1063c617,0,1048576
2,0x000f59b3,0x8283ff54,0,1048576
2,0x000f59b3,0x4b5f3949,0,1048576
2,0x000f59b3,0x830533bd,512,1048576
2,0x000f59b3,0xb18c64b1,0,1048576
2,0x000f59b3,0x9d615c09,0,1048576
2,0x000f59b3,0x77294ef8,0,1048576
2,0x000f59b3,0x03426ba1,0,1048576
2,0x000f59b3,0x05a3b822,0,1048576
2,0xa3560893,0x5f858ed9,0,1048576
2,0xa3560893,0xaef702f1,0,1048576
2,0xa3560893,0xb695921e,0,1048576
2,0xa3560893,0x9452b9fb,0,1048576
2,0xa3560893,0xb957b194,512,1048576
2,0xa3560893,0xc0344107,0,1048576
2,0xa3560893,0xd9454059,0,1048576
2,0xa3560893,0x1063c617,-1536,1048576
2,0xa3560893,0x8283ff54,0,1048576
2,0xa3560893,0x4b5f3949,0,1048576
2,0xa3560893,0x830533bd,0,1048576
2,0xa3560893,0xb18c64b1,0,1048576
2,0xa3560893,0x9d615c09,0,1048576
2,0xa3560893,0x77294ef8,-512,1048576
2,0xa3560893,0x03426ba1,0,1048576
2,0x323fde79,0x5f858ed9,0,1048576
2,0x323fde79,0xaef702f1,0,1048576
2,0x323fde79,0xb695921e,0,1048576
2,0x323fde79,0x9452b9fb,0,1048576
2,0x323fde79,0xb957b194,512,1048576
2,0x323fde79,0xc0344107,0,1048576
2,0x323fde79,0xd9454059,0,1048576
2,0x323fde79,0x1063c617,0,1048576
2,0x323fde79,0x8283ff54,0,1048576
2,0x323fde79,0x4b5f3949,0,1048576
2,0x323fde79,0x05a3b822,0,1048576
2,0xe1945e13,0x5f858ed9,0,1048576
2,0xe1945e13,0xaef702f1,0,1048576
2,0xe1945e13,0xb695921e,0,1048576
2,0xe1945e13,0x9452b9fb,0,1048576
2,0xe1945e13,0xb957b194,-1024,1048576
2,0xe1945e13,0xc0344107,0,1048576
2,0xe1945e13,0xd9454059,2048,1048576
2,0xe1945e13,0x1063c617,0,1048576
2,0x8221f935,0x5f858ed9,0,1048576
2,0x8221f935,0xaef702f1,0,1048576
2,0x8221f935,0xb695921e,0,1048576
2,0x8221f935,0x9452b9fb,0,1048576
2,0x8221f935,0xb957b194,-3072,1048576
2,0x12a8ecca,0x5f858ed9,0,1048576
2,0x12a8ecca,0xaef702f1,1024,1048576
2,0x12a8ecca,0xb695921e,0,1048576
2,0x12a8ecca,0x830533bd,0,1048576
2,0x883a9397,0x5f858ed9,0,1048576
2,0x883a9397,0xaef702f1,-512,1048576
2,0x883a9397,0xc0344107,0,1048576
2,0x092529c3,0x5f858ed9,0,1048576
2,0x092529c3,0xaef702f1,0,1048576
