# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=ea0a7b608d118bc6f4942193c921e9663925399ef137a8c06b933f7620b612dd
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=64
# unique_v=64
# threads=8
r,u,v,numerator,denominator
2,0xaf07bd72,0x1cf320d7,0,1048576
2,0xc133c400,0xa6cdcc65,0,1048576
2,0xf5757da1,0xbaf7c97c,-1024,1048576
2,0x24bdfb52,0x937a9f47,0,1048576
2,0x31bbaad0,0xfb98498e,0,1048576
2,0xa929cb3e,0xcde84837,0,1048576
2,0x661c42d2,0x07bb4401,0,1048576
2,0xe6797e18,0x9900c3f8,0,1048576
2,0x42f50aa5,0x8e1cb2ac,1536,1048576
2,0x040db3da,0x7a3bee61,1024,1048576
2,0xfc34d4dc,0x4b833402,0,1048576
2,0x1ce952a0,0xc36d1825,0,1048576
2,0x9534db94,0xe92519a7,0,1048576
2,0x1d7ac0ed,0x2e7fdc6f,0,1048576
2,0x853970a9,0xc7b5af6b,0,1048576
2,0xad4da20a,0x6f8ef77d,0,1048576
2,0x4cdf4b13,0xde34d670,0,1048576
2,0xd8540749,0xce2e6c0c,0,1048576
2,0x1c817067,0xb58e4f37,0,1048576
2,0xc2f61bf3,0x1cc4befe,0,1048576
2,0x238c267d,0x349f4656,0,1048576
2,0xd99e6398,0x04bda7d2,0,1048576
2,0x924d7e07,0x6e6a8573,5120,1048576
2,0x12e1d52b,0xf063f432,0,1048576
2,0xab6cb469,0xb19587f5,0,1048576
2,0x12528cff,0x7ddc0e10,-2048,1048576
2,0x38f17d15,0xc46b5989,0,1048576
2,0x7f54edf1,0xc7b3c17d,0,1048576
2,0x10134653,0xaadd001f,0,1048576
2,0x169d098f,0x3afceccc,0,1048576
2,0x8b1dfd9d,0xac90e693,0,1048576
2,0x0480712d,0xee10ea40,0,1048576
2,0xb6cd7c51,0xad9f499e,0,1048576
2,0xcd9731b2,0x17f2ada0,0,1048576
2,0xc1a5ae39,0xd80f569d,0,1048576
2,0x7941dec5,0x4be2b9da,0,1048576
2,0x76ec58f5,0xb45c335b,-512,1048576
2,0x047690e4,0xe4729d94,0,1048576
2,0xf901b528,0x67d8280c,-1024,1048576
2,0xa4918e32,0xfca00e7a,0,1048576
2,0xcf3f21fb,0x253cab46,1024,1048576
2,0xaf2f3eca,0xeb865623,0,1048576
2,0xb5c9d941,0xe4b7761c,0,1048576
2,0xfbb9c907,0xd8420b5d,0,1048576
2,0x725153d1,0xe0e9001c,0,1048576
2,0xce689eef,0x5ddc3c37,0,1048576
2,0x6596d16f,0xaa1f7b62,-7168,1048576
2,0x512a0164,0x69fa0bc2,0,1048576
2,0x40ca2286,0xcbfd2fe2,0,1048576
2,0x0eae05fe,0xae0eef60,0,1048576
2,0x134bc3f1,0x6ac91818,-1024,1048576
2,0xf4b9aaee,0x86e45a42,0,1048576
2,0x7a5b25f8,0xbc3684eb,0,1048576
2,0x4bde505c,0xf9078c85,0,1048576
2,0x24cf1c15,0x629ed6ba,0,1048576
2,0x1c72db4a,0x1b370c28,0,1048576
2,0x6eeda10f,0x4415e2f8,0,1048576
2,0xed22878a,0x6079193d,0,1048576
2,0x8c66e7b1,0x8b302421,0,1048576
2,0xed9320ff,0x3967cc94,0,1048576
2,0xc3c80e89,0x3263cb79,0,1048576
2,0x082c56ce,0x65a47f7b,0,1048576
2,0xc4028b60,0xa4ced12d,8192,1048576
2,0x491eceeb,0x9e7013d8,0,1048576
