# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=87b202c7cc7e3eeab9d03a6a86966b1ba0fa7a11f52f098b80c0c2b7a686f6fa
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=96
# unique_v=9758
# threads=8
r,u,v,numerator,denominator
3,0x00000001,0x10010077,512,4096
3,0x00000001,0x10010088,-256,4096
3,0x00000001,0x100101aa,1024,4096
3,0x00000001,0x100102bb,0,4096
3,0x00000001,0x10010355,0,4096
3,0x00000001,0x10010366,0,4096
3,0x00000001,0x100103bb,512,4096
3,0x00000001,0x100103dd,768,4096
3,0x00000001,0x10010411,0,4096
3,0x00000001,0x10010422,-768,4096
3,0x00000001,0x10010599,256,4096
3,0x00000001,0x100105aa,-1024,4096
3,0x00000001,0x100105ee,0,4096
3,0x00000001,0x10010733,256,4096
3,0x00000001,0x10010744,0,4096
3,0x00000001,0x10010811,0,4096
3,0x00000001,0x10010899,-512,4096
3,0x00000001,0x100108aa,512,4096
3,0x00000001,0x100108dd,0,4096
3,0x00000001,0x10010922,-512,4096
3,0x00000001,0x100109dd,256,4096
3,0x00000001,0x10010a33,0,4096
3,0x00000001,0x10010a99,0,4096
3,0x00000001,0x10010acc,-768,4096
3,0x00000001,0x10010b55,0,4096
3,0x00000001,0x10010b66,0,4096
3,0x00000001,0x10010baa,-1024,4096
3,0x00000001,0x10010bcc,512,4096
3,0x00000001,0x10010c99,0,4096
3,0x00000001,0x10010caa,1536,4096
3,0x00000001,0x10010eaa,512,4096
3,0x00000001,0x10010f22,0,4096
3,0x00000001,0x10010f66,0,4096
3,0x00000001,0x10010fbb,512,4096
3,0x00000001,0x20020077,-256,4096
3,0x00000001,0x200200aa,1024,4096
3,0x00000001,0x200200dd,-256,4096
3,0x00000001,0x20020122,768,4096
3,0x00000001,0x20020133,1024,4096
3,0x00000001,0x200201bb,1024,4096
3,0x00000001,0x200201ee,0,4096
3,0x00000001,0x200202cc,0,4096
3,0x00000001,0x20020311,0,4096
3,0x00000001,0x20020399,512,4096
3,0x00000001,0x200203cc,-256,4096
3,0x00000001,0x20020433,256,4096
3,0x00000001,0x20020477,768,4096
3,0x00000001,0x20020577,-1024,4096
3,0x00000001,0x200205dd,0,4096
3,0x00000001,0x20020699,256,4096
3,0x00000001,0x200206dd,-256,4096
3,0x00000001,0x200207dd,512,4096
3,0x00000001,0x20020877,-256,4096
3,0x00000001,0x200208bb,-1536,4096
3,0x00000001,0x200208ff,0,4096
3,0x00000001,0x20020922,256,4096
3,0x00000001,0x20020933,512,4096
3,0x00000001,0x20020a99,-768,4096
3,0x00000001,0x20020b11,0,4096
3,0x00000001,0x20020b44,0,4096
3,0x00000001,0x20020b99,1024,4096
3,0x00000001,0x20020c66,512,4096
3,0x00000001,0x20020dee,0,4096
3,0x00000001,0x20020dff,0,4096
3,0x00000001,0x20020e11,0,4096
3,0x00000001,0x20020ecc,-1024,4096
3,0x00000001,0x20020fcc,768,4096
3,0x00000001,0x30030033,512,4096
3,0x00000001,0x300300bb,0,4096
3,0x00000001,0x30030155,0,4096
3,0x00000001,0x300301aa,0,4096
3,0x00000001,0x300301ff,0,4096
3,0x00000001,0x30030433,0,4096
3,0x00000001,0x30030488,768,4096
3,0x00000001,0x300304aa,-512,4096
3,0x00000001,0x300304cc,-256,4096
3,0x00000001,0x300304ee,0,4096
3,0x00000001,0x300304ff,0,4096
3,0x00000001,0x30030577,768,4096
3,0x00000001,0x30030599,-768,4096
3,0x00000001,0x300305bb,-512,4096
3,0x00000001,0x300306aa,-1536,4096
3,0x00000001,0x300306dd,0,4096
3,0x00000001,0x30030722,-512,4096
3,0x00000001,0x300307bb,-1536,4096
3,0x00000001,0x300307ee,0,4096
3,0x00000001,0x30030822,256,4096
3,0x00000001,0x300308aa,-1536,4096
3,0x00000001,0x300308bb,1024,4096
3,0x00000001,0x300308cc,768,4096
3,0x00000001,0x30030977,256,4096
3,0x00000001,0x30030a66,-768,4096
3,0x00000001,0x30030acc,256,4096
3,0x00000001,0x30030b99,-768,4096
3,0x00000001,0x30030baa,0,4096
3,0x00000001,0x30030bdd,-256,4096
3,0x00000001,0x30030d22,0,4096
3,0x00000001,0x30030d33,-256,4096
3,0x00000001,0x30030e22,768,4096
3,0x00000001,0x30030ecc,768,4096
3,0x00000001,0x30030f99,-256,4096
3,0x00000001,0x30030faa,1024,4096
3,0x00000001,0x30030fcc,-512,4096
3,0x00000001,0x400400dd,256,4096
3,0x00000001,0x40040122,-256,4096
3,0x00000001,0x40040144,0,4096
3,0x00000001,0x40040155,0,4096
3,0x00000001,0x400401ee,0,4096
3,0x00000001,0x40040244,0,4096
3,0x00000001,0x40040322,-768,4096
3,0x00000001,0x40040355,0,4096
3,0x00000001,0x40040377,-512,4096
3,0x00000001,0x400403aa,1536,4096
3,0x00000001,0x40040422,0,4096
3,0x00000001,0x40040544,0,4096
3,0x00000001,0x40040633,-256,4096
3,0x00000001,0x40040722,256,4096
3,0x00000001,0x400407aa,512,4096
3,0x00000001,0x400407cc,-256,4096
3,0x00000001,0x40040922,-256,4096
3,0x00000001,0x40040944,0,4096
3,0x00000001,0x400409dd,512,4096
3,0x00000001,0x400409ff,0,4096
3,0x00000001,0x40040a44,0,4096
3,0x00000001,0x40040acc,0,4096
3,0x00000001,0x40040b55,0,4096
3,0x00000001,0x40040baa,1536,4096
3,0x00000001,0x40040bff,0,4096
3,0x00000001,0x40040caa,0,4096
3,0x00000001,0x40040cdd,768,4096
3,0x00000001,0x40040d22,-768,4096
3,0x00000001,0x40040d44,0,4096
3,0x00000001,0x40040d99,512,4096
3,0x00000001,0x40040daa,512,4096
3,0x00000001,0x40040eaa,1024,4096
3,0x00000001,0x40040ebb,-512,4096
3,0x00000001,0x40040f22,-256,4096
3,0x00000001,0x50050011,0,4096
3,0x00000001,0x50050088,-256,4096
3,0x00000001,0x50050177,-256,4096
3,0x00000001,0x50050233,-512,4096
3,0x00000001,0x500502dd,-1024,4096
3,0x00000001,0x50050322,512,4096
3,0x00000001,0x500504aa,1536,4096
3,0x00000001,0x50050522,512,4096
3,0x00000001,0x50050599,256,4096
3,0x00000001,0x500505aa,-2048,4096
3,0x00000001,0x500506bb,-1024,4096
3,0x00000001,0x50050733,-256,4096
3,0x00000001,0x500507aa,-1024,4096
3,0x00000001,0x50050833,0,4096
3,0x00000001,0x50050899,-512,4096
3,0x00000001,0x500509aa,0,4096
3,0x00000001,0x500509ff,0,4096
3,0x00000001,0x50050a44,0,4096
3,0x00000001,0x50050a55,0,4096
3,0x00000001,0x50050acc,-256,4096
3,0x00000001,0x50050add,-512,4096
3,0x00000001,0x50050b22,512,4096
3,0x00000001,0x50050baa,-1024,4096
3,0x00000001,0x50050bdd,256,4096
3,0x00000001,0x50050c99,0,4096
3,0x00000001,0x50050cdd,-512,4096
3,0x00000001,0x50050d22,1024,4096
3,0x00000001,0x50050eaa,-512,4096
3,0x00000001,0x50050f66,-512,4096
3,0x00000001,0x50050faa,0,4096
3,0x00000001,0x50050fbb,-512,4096
3,0x00000001,0x60060044,0,4096
3,0x00000001,0x60060277,256,4096
3,0x00000001,0x60060355,0,4096
3,0x00000001,0x60060455,0,4096
3,0x00000001,0x600604bb,-512,4096
3,0x00000001,0x600604cc,0,4096
3,0x00000001,0x60060522,-256,4096
3,0x00000001,0x60060533,-512,4096
3,0x00000001,0x600605aa,-512,4096
3,0x00000001,0x60060622,0,4096
3,0x00000001,0x600606ff,0,4096
3,0x00000001,0x60060722,256,4096
3,0x00000001,0x60060744,0,4096
3,0x00000001,0x600607aa,-1536,4096
3,0x00000001,0x600607bb,1024,4096
3,0x00000001,0x600607ee,0,4096
3,0x00000001,0x600608aa,1024,4096
