row_id,r,u,v
1,3,0x2eedc978,0x5a572809
2,3,0x2eedc978,0xd8ddd9f7
3,3,0x2eedc978,0x32ada74c
4,3,0x2eedc978,0x6eccdf7a
5,3,0x2eedc978,0x48a006cc
6,3,0x2eedc978,0xa4eeadb9
7,3,0x2eedc978,0x4494f049
8,3,0x2eedc978,0x9727a814
9,3,0x2eedc978,0xf9cb5b6f
10,3,0x2eedc978,0x49a79a0b
11,3,0x2eedc978,0xb5aed716
12,3,0x2eedc978,0x78eeb2e5
13,3,0x2eedc978,0xe921a194
14,3,0x2eedc978,0xcfe6ba76
15,3,0x2eedc978,0x6268dc9b
16,3,0x2eedc978,0xe33a1f3c
17,3,0x2eedc978,0xfa8e2ce1
18,3,0x2eedc978,0x5ea80e63
19,3,0x2eedc978,0xe5609549
20,3,0x2eedc978,0x6f57e24d
21,3,0x2eedc978,0x57735c79
22,3,0x2eedc978,0xb775eb4d
23,3,0x2eedc978,0x9da7b7eb
24,3,0x2eedc978,0xeafa3ff2
25,3,0x2eedc978,0x5ff66db7
26,3,0x2eedc978,0xa08d62e5
27,3,0x2eedc978,0x38c2f2fd
28,3,0x2eedc978,0x96e41a2f
29,3,0x2eedc978,0x26f52012
30,3,0x2eedc978,0x13038779
31,3,0x2eedc978,0xba826734
32,3,0x2eedc978,0x08c5809a
33,3,0x2eedc978,0xe9871392
34,3,0x2eedc978,0x0f43816a
35,3,0x2eedc978,0x89ed2fb6
36,3,0x2eedc978,0xae446714
37,3,0x2eedc978,0xd018fced
38,3,0x2eedc978,0x2282d213
39,3,0x2eedc978,0x70ac27cd
40,3,0x2eedc978,0x65bfd05c
41,3,0x2eedc978,0x8973679c
42,3,0x2eedc978,0x1f735fd3
43,3,0x2eedc978,0x9eab505f
44,3,0x2eedc978,0x63b22b48
45,3,0x2eedc978,0x8b0dc9d6
46,3,0x2eedc978,0x417d96d1
47,3,0x2eedc978,0xb89c8835
48,3,0x2eedc978,0x533c89b9
49,3,0x2eedc978,0x519c4fcc
50,3,0x2eedc978,0x0829a5e9
51,3,0x2eedc978,0x139c1e6b
52,3,0x2eedc978,0xc9881482
53,3,0x2eedc978,0x5318990a
54,3,0x2eedc978,0xfb4b6752
55,3,0x2eedc978,0xcb4978d7
56,3,0x2eedc978,0xcebb87a8
