# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=1643611dda87dc4dc839fc07108a9db91df1b92d7cd53ffb70434eb7e3d2dc7e
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=135168
# v_parity_evaluations=21917696
# logical_query_updates=67108864
# unique_u=33
# unique_v=5351
# threads=8
r,u,v,numerator,denominator
3,0x2eedc978,0x5a572809,128,4096
3,0x2eedc978,0xd8ddd9f7,-64,4096
3,0x2eedc978,0x32ada74c,96,4096
3,0x2eedc978,0x6eccdf7a,0,4096
3,0x2eedc978,0x48a006cc,0,4096
3,0x2eedc978,0xa4eeadb9,-64,4096
3,0x2eedc978,0x4494f049,0,4096
3,0x2eedc978,0x9727a814,-16,4096
3,0x2eedc978,0xf9cb5b6f,96,4096
3,0x2eedc978,0x49a79a0b,32,4096
3,0x2eedc978,0xb5aed716,-64,4096
3,0x2eedc978,0x78eeb2e5,64,4096
3,0x2eedc978,0xe921a194,16,4096
3,0x2eedc978,0xcfe6ba76,-144,4096
3,0x2eedc978,0x6268dc9b,32,4096
3,0x2eedc978,0xe33a1f3c,0,4096
3,0x2eedc978,0xfa8e2ce1,96,4096
3,0x2eedc978,0x5ea80e63,32,4096
3,0x2eedc978,0xe5609549,80,4096
3,0x2eedc978,0x6f57e24d,96,4096
3,0x2eedc978,0x57735c79,-16,4096
3,0x2eedc978,0xb775eb4d,-16,4096
3,0x2eedc978,0x9da7b7eb,-64,4096
3,0x2eedc978,0xeafa3ff2,0,4096
3,0x2eedc978,0x5ff66db7,128,4096
3,0x2eedc978,0xa08d62e5,-48,4096
3,0x2eedc978,0x38c2f2fd,16,4096
3,0x2eedc978,0x96e41a2f,-16,4096
3,0x2eedc978,0x26f52012,96,4096
3,0x2eedc978,0x13038779,32,4096
3,0x2eedc978,0xba826734,0,4096
3,0x2eedc978,0x08c5809a,32,4096
3,0x2eedc978,0xe9871392,0,4096
3,0x2eedc978,0x0f43816a,0,4096
3,0x2eedc978,0x89ed2fb6,64,4096
3,0x2eedc978,0xae446714,0,4096
3,0x2eedc978,0xd018fced,16,4096
3,0x2eedc978,0x2282d213,-32,4096
3,0x2eedc978,0x70ac27cd,96,4096
3,0x2eedc978,0x65bfd05c,-32,4096
3,0x2eedc978,0x8973679c,32,4096
3,0x2eedc978,0x1f735fd3,192,4096
3,0x2eedc978,0x9eab505f,0,4096
3,0x2eedc978,0x63b22b48,48,4096
3,0x2eedc978,0x8b0dc9d6,-48,4096
3,0x2eedc978,0x417d96d1,-32,4096
3,0x2eedc978,0xb89c8835,192,4096
3,0x2eedc978,0x533c89b9,96,4096
3,0x2eedc978,0x519c4fcc,0,4096
3,0x2eedc978,0x0829a5e9,160,4096
3,0x2eedc978,0x139c1e6b,32,4096
3,0x2eedc978,0xc9881482,16,4096
3,0x2eedc978,0x5318990a,128,4096
3,0x2eedc978,0xfb4b6752,0,4096
3,0x2eedc978,0xcb4978d7,-32,4096
3,0x2eedc978,0xcebb87a8,80,4096
3,0x2eedc978,0xad7e5c2c,160,4096
3,0x2eedc978,0x1595e66d,-64,4096
3,0x2eedc978,0xee43363d,0,4096
3,0x2eedc978,0x00350b8e,32,4096
3,0x2eedc978,0xd66944e5,-32,4096
3,0x2eedc978,0x9c05f7d6,-64,4096
3,0x2eedc978,0x19214787,0,4096
3,0x2eedc978,0x50441207,48,4096
3,0x2eedc978,0x33225910,-16,4096
3,0x2eedc978,0xf0e864e9,-32,4096
3,0x2eedc978,0xf090276b,64,4096
3,0x2eedc978,0x91c8dc4d,0,4096
3,0x2eedc978,0xc0259b2a,-64,4096
3,0x2eedc978,0x8dd254a6,-48,4096
3,0x2eedc978,0x82328e7e,-128,4096
3,0x2eedc978,0x098d03ae,-160,4096
3,0x2eedc978,0x468923b0,32,4096
3,0x2eedc978,0x48842022,0,4096
3,0x2eedc978,0xfe5b637e,0,4096
3,0x2eedc978,0xeb28416c,16,4096
3,0x2eedc978,0x444036cc,0,4096
3,0x2eedc978,0x9ad24e9f,-64,4096
3,0x2eedc978,0x287b8cf7,0,4096
