# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=128a06649944a30f1908245f73b206e2abad4b37e8fed2dec3f8e9f9b8f82c70
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=16384
# unique_v=16384
# threads=8
r,u,v,numerator,denominator
3,0xd00efd93,0x5cee3122,224,4096
3,0xf51c08bb,0x291bcf1c,-32,4096
3,0x74655d9d,0x642e85e6,-160,4096
3,0x5a372911,0x985498c5,-64,4096
3,0x04ff7e0e,0xd2d8aafc,-64,4096
3,0x6ca6978b,0x884ff67c,-32,4096
3,0x4d932605,0x39b25077,64,4096
3,0x16838693,0xd66590ae,-16,4096
3,0xd0a6d4bc,0xef094cfd,192,4096
3,0xa414c536,0x8a045bf1,-96,4096
3,0x83f2a1dd,0xd9719684,32,4096
3,0xe8da9b83,0x82bad736,0,4096
3,0x59c43b77,0x6313f168,-64,4096
3,0x44e95cb4,0x86cf1729,16,4096
3,0x90972240,0x85c32c2e,32,4096
3,0x4e898114,0x5ede1fcd,-64,4096
3,0xcadbfcc1,0xaddc3498,64,4096
3,0x27862cf6,0xf51e3da2,0,4096
3,0x9cd41457,0x0e97746a,96,4096
3,0x13a84cc7,0x2ff0f107,-64,4096
3,0x9dfa6d9e,0x7eab077a,-96,4096
3,0xb7fc3283,0x9800baf3,32,4096
3,0x22214bf2,0x0e88daf7,-32,4096
3,0x5f31628f,0x617dab93,0,4096
3,0x0f2d82ec,0xf1b4fe4d,64,4096
3,0x0bbc7c04,0x9a335c47,-32,4096
3,0xf4efe139,0xc275d844,0,4096
3,0x61896ad8,0x4382c348,32,4096
3,0x020246a1,0xadca767a,-128,4096
3,0xc7db8eb2,0xac19fc5a,-64,4096
3,0x6b293a24,0x4a7801db,-64,4096
3,0x64f6b63d,0xe7273ca8,16,4096
3,0x8bb2052c,0x3a3bc31e,-32,4096
3,0x18937336,0x43a2a1db,0,4096
3,0x2cd33ada,0xe61868f4,0,4096
3,0x95589d8e,0x7eea6ff8,-64,4096
3,0xc2335c2e,0x2bf5b9d2,-128,4096
3,0xfea5db35,0xaf9d20fe,-64,4096
3,0x31ec596f,0xb8dbf159,-64,4096
3,0xd7ed7c5c,0x41f1a718,-96,4096
3,0x23fee01a,0x95f5c9e0,48,4096
3,0x5e66fabc,0xbb7140ad,0,4096
3,0x8db13124,0x145b7047,-64,4096
3,0xc4beec8b,0xad72a169,-96,4096
3,0x55bfd2e9,0xecff8cf4,0,4096
3,0x4f7eaa0b,0xa1dbf490,-32,4096
3,0x8546bd6b,0x40f2cef0,0,4096
3,0xe956a651,0xefa3ad8e,0,4096
3,0xdb87a28a,0x84e1e43b,-64,4096
3,0x53cec4d9,0x214a35c3,64,4096
3,0x59d70000,0x700b8a3b,0,4096
3,0xae4ee6b1,0x9842e05d,-32,4096
3,0xb803c296,0xa6d7a46e,-32,4096
3,0x7d6c4602,0x2867a2b4,64,4096
3,0x30a5fa5b,0x17e2d132,0,4096
3,0x6630dd0c,0xcc0c9692,0,4096
3,0xa302190c,0x212a547c,-32,4096
3,0x211838dc,0xa2733138,-96,4096
3,0x1e4bdca4,0x9c90e7e0,-32,4096
3,0x7e04e83e,0x15d2fd4c,32,4096
3,0x7dc81061,0x43b9123b,-64,4096
3,0x154d6353,0xfd55a50d,96,4096
3,0x4cc6fdba,0x07de777b,-96,4096
3,0x7f7b0efe,0x36ed380b,0,4096
3,0x4436191d,0x044bde0d,-48,4096
3,0xc454f6eb,0xad7c74d7,0,4096
3,0xa8d754b2,0x2390a235,64,4096
3,0x85484009,0x16257620,64,4096
3,0x3b659ccd,0xed5168a1,32,4096
3,0x6d0791c4,0x6eb6f0c5,0,4096
3,0x31c8cff7,0xf9459e1f,-96,4096
3,0x2017208c,0xd9656c2a,64,4096
3,0xd7b7f153,0xd3187d67,0,4096
3,0x2920e6fe,0xe1b19b39,64,4096
3,0x78ae0568,0x7d235901,-64,4096
3,0xc61bf70a,0x4b319dfa,0,4096
3,0x7d39d5c0,0xc4b62313,-96,4096
3,0xfd302c19,0x38469852,96,4096
3,0xe554d60a,0x70b4a963,-48,4096
3,0x012bb425,0x14f22682,-96,4096
3,0x5d6ffb7b,0x0fcdb795,-160,4096
3,0x43e8fd85,0x9841665e,0,4096
3,0x6413e272,0x5c920fea,64,4096
3,0x4a960a56,0x2e6389d0,-32,4096
3,0x9a1efbab,0x1ba698a3,96,4096
3,0xced0dd24,0x14fb3289,-16,4096
3,0xceb70304,0xf14ce7e0,-80,4096
3,0x131d92c5,0xec9eaf68,-32,4096
3,0xcf36fc33,0x1650b8f7,0,4096
3,0xe9c238cd,0x710b1882,-32,4096
3,0xc6e38212,0xfd91439d,-32,4096
3,0x51951b13,0x44d6d0f4,-64,4096
3,0xfd078eee,0xe35dbd98,-128,4096
3,0x4c27e8d5,0x66de0cee,-32,4096
3,0x51dd5e03,0x42cbc674,-32,4096
3,0xce9d8834,0xcc431579,-112,4096
3,0x64183b4d,0xa44abebc,-64,4096
3,0x98e01b60,0xb888d153,128,4096
3,0x3d37f602,0x86069b25,-64,4096
3,0x4bf34f17,0x0bdc6c09,32,4096
3,0x7c083af6,0x4adc14d0,-32,4096
3,0xdc48516f,0xa0399b51,64,4096
3,0x948e7f99,0x17a57077,0,4096
3,0x7c335492,0x5dfddf5d,32,4096
3,0xb205054e,0xf60a9f2c,-32,4096
3,0x4efa6c77,0xed1fc2fd,0,4096
