# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=a2d0f0a0a3a765aba6a5f61e8cef2053c30eadc0fa9fb01073d7f29791701d96
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=1474560
# v_parity_evaluations=56033280
# logical_query_updates=67108864
# unique_u=90
# unique_v=3420
# threads=8
r,u,v,numerator,denominator
3,0x00000001,0x100101aa,1536,16384
3,0x00000001,0x10010366,768,16384
3,0x00000001,0x100103aa,-1536,16384
3,0x00000001,0x10010411,0,16384
3,0x00000001,0x100105aa,1536,16384
3,0x00000001,0x10010733,2560,16384
3,0x00000001,0x10010922,-768,16384
3,0x00000001,0x10010acc,-1024,16384
3,0x00000001,0x10010b55,0,16384
3,0x00000001,0x10010bcc,-256,16384
3,0x00000001,0x10010c11,0,16384
3,0x00000001,0x10010caa,2048,16384
3,0x00000001,0x10010f44,0,16384
3,0x00000001,0x10010f66,-768,16384
3,0x00000001,0x20020088,1536,16384
3,0x00000001,0x20020099,-256,16384
3,0x00000001,0x200200dd,768,16384
3,0x00000001,0x200201bb,-1024,16384
3,0x00000001,0x20020477,2816,16384
3,0x00000001,0x20020699,768,16384
3,0x00000001,0x200207dd,-512,16384
3,0x00000001,0x20020822,512,16384
3,0x00000001,0x200208ff,0,16384
3,0x00000001,0x20020dff,0,16384
3,0x00000001,0x20020faa,1536,16384
3,0x00000001,0x30030033,-256,16384
3,0x00000001,0x300300bb,-2560,16384
3,0x00000001,0x300303ff,0,16384
3,0x00000001,0x30030544,0,16384
3,0x00000001,0x300306aa,0,16384
3,0x00000001,0x300306dd,-1280,16384
3,0x00000001,0x30030722,-1280,16384
3,0x00000001,0x30030799,0,16384
3,0x00000001,0x30030944,0,16384
3,0x00000001,0x30030cbb,4608,16384
3,0x00000001,0x30030d22,-768,16384
3,0x00000001,0x30030fcc,256,16384
3,0x00000001,0x40040155,0,16384
3,0x00000001,0x400401ee,0,16384
3,0x00000001,0x400402bb,5632,16384
3,0x00000001,0x400403dd,-1024,16384
3,0x00000001,0x400404dd,2816,16384
3,0x00000001,0x40040633,-1792,16384
3,0x00000001,0x40040655,0,16384
3,0x00000001,0x40040b44,0,16384
3,0x00000001,0x40040d44,0,16384
3,0x00000001,0x500501aa,2560,16384
3,0x00000001,0x50050522,768,16384
3,0x00000001,0x50050899,256,16384
3,0x00000001,0x500509dd,-2048,16384
3,0x00000001,0x50050c99,-2304,16384
3,0x00000001,0x50050cdd,256,16384
3,0x00000001,0x50050e33,-2304,16384
3,0x00000001,0x60060277,256,16384
3,0x00000001,0x60060599,-512,16384
3,0x00000001,0x600606ff,0,16384
3,0x00000001,0x600607bb,-1024,16384
3,0x00000001,0x60060d22,2816,16384
3,0x00000001,0x60060e22,512,16384
3,0x00000001,0x60060eaa,-2048,16384
3,0x00000001,0x60060f99,-2048,16384
3,0x00000001,0x70070088,-1024,16384
3,0x00000001,0x700703cc,-256,16384
3,0x00000001,0x70070611,0,16384
3,0x00000001,0x700706bb,512,16384
3,0x00000001,0x700707dd,0,16384
3,0x00000001,0x70070b44,0,16384
3,0x00000001,0x70070d22,-256,16384
3,0x00000001,0x70070d77,0,16384
3,0x00000001,0x80080688,-512,16384
3,0x00000001,0x800806aa,-4096,16384
3,0x00000001,0x800806bb,-2560,16384
3,0x00000001,0x80080e22,2048,16384
3,0x00000001,0x90090088,-1536,16384
3,0x00000001,0x900900dd,-2304,16384
3,0x00000001,0x90090411,0,16384
3,0x00000001,0x90090522,1280,16384
3,0x00000001,0x90090599,-1536,16384
3,0x00000001,0x90090922,-256,16384
3,0x00000001,0x900909ff,0,16384
3,0x00000001,0x90090abb,1536,16384
3,0x00000001,0x90090edd,256,16384
3,0x00000001,0x90090faa,-5632,16384
3,0x00000001,0xa00a0022,-1536,16384
3,0x00000001,0xa00a00cc,2048,16384
3,0x00000001,0xa00a0133,1536,16384
3,0x00000001,0xa00a05dd,1024,16384
3,0x00000001,0xa00a0699,-1792,16384
3,0x00000001,0xa00a06dd,1280,16384
3,0x00000001,0xa00a0b11,0,16384
3,0x00000001,0xa00a0daa,-5632,16384
3,0x00000001,0xa00a0dee,0,16384
3,0x00000001,0xa00a0faa,-3584,16384
3,0x00000001,0xa00a0fdd,1536,16384
3,0x00000001,0xb00b00dd,-768,16384
3,0x00000001,0xb00b0299,2304,16384
3,0x00000001,0xb00b0844,0,16384
3,0x00000001,0xb00b08cc,1024,16384
3,0x00000001,0xb00b09aa,2560,16384
3,0x00000001,0xb00b0b22,-1280,16384
3,0x00000001,0xb00b0dee,0,16384
3,0x00000001,0xc00c0399,-2560,16384
3,0x00000001,0xc00c0499,2304,16384
3,0x00000001,0xc00c0899,-768,16384
3,0x00000001,0xc00c0922,256,16384
3,0x00000001,0xc00c0caa,2048,16384
3,0x00000001,0xd00d0011,0,16384
3,0x00000001,0xd00d0044,0,16384
3,0x00000001,0xd00d0411,0,16384
3,0x00000001,0xd00d0499,256,16384
3,0x00000001,0xd00d04dd,-2816,16384
3,0x00000001,0xd00d05ee,0,16384
3,0x00000001,0xd00d0699,768,16384
3,0x00000001,0xd00d09dd,2560,16384
3,0x00000001,0xd00d0a55,0,16384
3,0x00000001,0xd00d0b22,2816,16384
3,0x00000001,0xd00d0d44,0,16384
3,0x00000001,0xd00d0eaa,5120,16384
3,0x00000001,0xe00e0022,1024,16384
3,0x00000001,0xe00e0044,0,16384
3,0x00000001,0xe00e00dd,1792,16384
3,0x00000001,0xe00e0144,0,16384
3,0x00000001,0xe00e0433,256,16384
3,0x00000001,0xe00e0799,3072,16384
3,0x00000001,0xe00e0855,0,16384
3,0x00000001,0xe00e0c22,-3072,16384
3,0x00000001,0xe00e0cbb,512,16384
3,0x00000001,0xe00e0ecc,1024,16384
3,0x00000001,0xf00f0122,1792,16384
3,0x00000001,0xf00f0522,-1792,16384
3,0x00000001,0xf00f05aa,5632,16384
3,0x00000001,0xf00f05dd,-1536,16384
3,0x00000001,0xf00f0877,-2816,16384
3,0x00000001,0xf00f09ee,0,16384
3,0x00000001,0xf00f0a44,0,16384
3,0x00000001,0xf00f0b99,-1024,16384
3,0x00000001,0xf00f0c33,2816,16384
3,0x00000001,0xf00f0eaa,1024,16384
3,0x00000001,0xf00f0faa,-512,16384
3,0x00000002,0x10010344,-512,16384
3,0x00000002,0x10010855,1280,16384
3,0x00000002,0x100108ee,-2048,16384
3,0x00000002,0x100108ff,-256,16384
3,0x00000002,0x10010a77,1280,16384
3,0x00000002,0x10010caa,0,16384
3,0x00000002,0x10010e77,-768,16384
3,0x00000002,0x10010fcc,0,16384
3,0x00000002,0x20020244,-5120,16384
3,0x00000002,0x20020566,0,16384
3,0x00000002,0x20020922,0,16384
3,0x00000002,0x20020a99,2816,16384
3,0x00000002,0x20020cff,2816,16384
3,0x00000002,0x20020d66,0,16384
3,0x00000002,0x30030311,3072,16384
3,0x00000002,0x30030355,512,16384
3,0x00000002,0x30030455,-256,16384
3,0x00000002,0x300305ff,2048,16384
3,0x00000002,0x30030822,0,16384
3,0x00000002,0x30030abb,-256,16384
3,0x00000002,0x30030c44,0,16384
3,0x00000002,0x30030c66,0,16384
3,0x00000002,0x30030dcc,0,16384
3,0x00000002,0x400400dd,-768,16384
3,0x00000002,0x40040244,1024,16384
3,0x00000002,0x400402cc,0,16384
3,0x00000002,0x40040366,0,16384
3,0x00000002,0x40040866,0,16384
3,0x00000002,0x40040aee,2048,16384
3,0x00000002,0x40040bcc,0,16384
3,0x00000002,0x40040bee,3584,16384
3,0x00000002,0x40040d99,1024,16384
3,0x00000002,0x40040fcc,0,16384
3,0x00000002,0x50050099,256,16384
3,0x00000002,0x50050155,-2048,16384
3,0x00000002,0x50050244,3072,16384
3,0x00000002,0x50050499,2304,16384
3,0x00000002,0x50050755,0,16384
3,0x00000002,0x50050833,1280,16384
3,0x00000002,0x50050b55,512,16384
3,0x00000002,0x50050dcc,0,16384
3,0x00000002,0x50050fee,-512,16384
3,0x00000002,0x60060244,4096,16384
3,0x00000002,0x60060322,0,16384
3,0x00000002,0x60060366,0,16384
3,0x00000002,0x600603ee,3584,16384
3,0x00000002,0x60060655,256,16384
3,0x00000002,0x60060755,2560,16384
3,0x00000002,0x60060811,-256,16384
3,0x00000002,0x60060855,-1792,16384
3,0x00000002,0x60060944,3584,16384
3,0x00000002,0x60060c44,-1024,16384
3,0x00000002,0x60060fee,-2560,16384
3,0x00000002,0x70070266,0,16384
3,0x00000002,0x70070544,-1536,16384
3,0x00000002,0x70070733,0,16384
3,0x00000002,0x700707aa,0,16384
3,0x00000002,0x70070b66,0,16384
3,0x00000002,0x70070c44,-2048,16384
3,0x00000002,0x80080244,1024,16384
3,0x00000002,0x80080255,256,16384
3,0x00000002,0x80080644,-2048,16384
3,0x00000002,0x80080655,1792,16384
3,0x00000002,0x80080755,1024,16384
3,0x00000002,0x90090155,1024,16384
3,0x00000002,0x900901cc,0,16384
3,0x00000002,0x90090a33,768,16384
3,0x00000002,0x90090aff,2816,16384
3,0x00000002,0x90090b55,-2048,16384
3,0x00000002,0x90090bcc,0,16384
3,0x00000002,0x90090c22,0,16384
3,0x00000002,0x90090d44,-1536,16384
3,0x00000002,0x90090eff,-768,16384
3,0x00000002,0x90090f99,512,16384
3,0x00000002,0x90090fcc,0,16384
3,0x00000002,0x90090fee,-1536,16384
3,0x00000002,0xa00a00cc,0,16384
3,0x00000002,0xa00a01aa,0,16384
3,0x00000002,0xa00a04ee,-4096,16384
3,0x00000002,0xa00a0566,0,16384
3,0x00000002,0xa00a05ee,-2560,16384
3,0x00000002,0xa00a06cc,0,16384
