# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=28a27e973e1eb2d620cdbe848bf7b1f9f84bbc0e1dc3e39224c106bc8c1d48f6
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=8
# unique_v=1338
# threads=8
r,u,v,numerator,denominator
3,0x1ee468f7,0x812ad9dc,96,16384
3,0x1ee468f7,0x53114eda,16,16384
3,0x1ee468f7,0x5caa6562,-80,16384
3,0x1ee468f7,0x917ce5c2,32,16384
3,0x1ee468f7,0x95e7e626,-32,16384
3,0x1ee468f7,0x4da261e4,-32,16384
3,0x1ee468f7,0xd6c49441,-32,16384
3,0x1ee468f7,0x9c1622b6,96,16384
3,0x1ee468f7,0x3b48537c,192,16384
3,0x1ee468f7,0x76916162,-256,16384
3,0x1ee468f7,0x805a59fe,96,16384
3,0x1ee468f7,0x0212ad28,32,16384
3,0x1ee468f7,0xc9bb54c4,224,16384
3,0x1ee468f7,0x820c7c5c,-112,16384
3,0x1ee468f7,0xe35aec8f,128,16384
3,0x1ee468f7,0x77b342bc,-144,16384
3,0x1ee468f7,0x933e083b,-128,16384
3,0x1ee468f7,0x63ea2f2b,-320,16384
3,0x1ee468f7,0x6f2fa81b,-224,16384
3,0x1ee468f7,0x88ccd64d,-96,16384
3,0x1ee468f7,0x1a59a83d,-64,16384
3,0x1ee468f7,0xf18ed96f,0,16384
3,0x1ee468f7,0x2994d207,0,16384
3,0x1ee468f7,0xe39c6a01,0,16384
3,0x1ee468f7,0x84f9c2ad,-144,16384
3,0x1ee468f7,0x7ddd6580,-160,16384
3,0x1ee468f7,0xc8ab67b9,-384,16384
3,0x1ee468f7,0x67f1e8a1,-64,16384
3,0x1ee468f7,0x70b15953,0,16384
3,0x1ee468f7,0xd5b5f68f,-96,16384
3,0x1ee468f7,0x1af095af,64,16384
3,0x1ee468f7,0x280e6d75,-160,16384
3,0x1ee468f7,0x8c991f0a,-80,16384
3,0x1ee468f7,0x4010445e,128,16384
3,0x1ee468f7,0xdf73b9c6,112,16384
3,0x1ee468f7,0x3652eadb,0,16384
3,0x1ee468f7,0x9b65f65f,-128,16384
3,0x1ee468f7,0x5b17359a,0,16384
3,0x1ee468f7,0xc7783008,80,16384
3,0x1ee468f7,0xaa3ac7ed,-128,16384
3,0x1ee468f7,0xd21e51f9,-144,16384
3,0x1ee468f7,0x4a4a3bee,64,16384
3,0x1ee468f7,0x9047607b,16,16384
3,0x1ee468f7,0xc998980f,224,16384
3,0x1ee468f7,0xee89e0c1,-128,16384
3,0x1ee468f7,0x6fb75a21,-320,16384
3,0x1ee468f7,0xf1b4a3ba,64,16384
3,0x1ee468f7,0xcd0b1083,32,16384
3,0x1ee468f7,0x0b6f78b7,-224,16384
3,0x1ee468f7,0xffac9df8,-128,16384
3,0x1ee468f7,0x3733827c,-224,16384
3,0x1ee468f7,0xef326529,64,16384
3,0x1ee468f7,0x4987b50a,-80,16384
3,0x1ee468f7,0xeb4cef54,160,16384
3,0x1ee468f7,0x67310010,0,16384
3,0x1ee468f7,0xda3b9578,128,16384
3,0x1ee468f7,0x5f5c80fe,64,16384
3,0x1ee468f7,0xcda2c7a1,96,16384
3,0x1ee468f7,0xfe67216c,192,16384
3,0x1ee468f7,0x1c7d47a9,-256,16384
3,0x1ee468f7,0xdca814c8,160,16384
3,0x1ee468f7,0x2e34e48a,0,16384
3,0x1ee468f7,0x3c7d1ac9,160,16384
3,0x1ee468f7,0x5cc82583,0,16384
3,0x1ee468f7,0xeac96f7d,-32,16384
3,0x1ee468f7,0x41a4628e,-128,16384
3,0x1ee468f7,0x1364314b,-48,16384
3,0x1ee468f7,0x37b29923,192,16384
3,0x1ee468f7,0xa0f821a8,128,16384
3,0x1ee468f7,0x184e65b3,336,16384
3,0x1ee468f7,0x599a812b,-288,16384
3,0x1ee468f7,0x3ec2a238,64,16384
3,0x1ee468f7,0x2013e9cf,144,16384
3,0x1ee468f7,0x5be3453f,-64,16384
3,0x1ee468f7,0x9ac3cfe8,64,16384
3,0x1ee468f7,0xa2fe4bdf,64,16384
3,0x1ee468f7,0x9abd1b7e,-32,16384
