row_id,r,u,v
1,3,0xa948e9f8,0x211c40a2
2,3,0xe5d34753,0xb5a7608e
3,3,0x21abd2cf,0xd8bbfc9f
4,3,0xc6d508f2,0xac789709
5,3,0x93233e53,0xf2938e3a
6,3,0xb609a475,0x38f8a2ee
7,3,0xa93ce99c,0x71c76113
8,3,0x20c70918,0x2caf18d6
9,3,0x330176f8,0x62716f71
10,3,0x9d8ebf74,0x91ae3a85
11,3,0x9cac98db,0x6c386211
12,3,0xa5596222,0x8297ff5b
13,3,0xc08bb1e4,0x8c02e002
14,3,0x4befdedb,0xba154d52
15,3,0x635b02ae,0xb41db314
16,3,0xce9c165d,0x3e0c77a1
17,3,0x9176eafe,0x2e85140e
18,3,0x5c790152,0x38b85e3d
19,3,0xc30e9e5c,0x4b73cc7d
20,3,0x9b8602c2,0xf340f529
21,3,0xbb4de310,0xcb6f3d47
22,3,0x72c7f10c,0xf9fd3d9e
23,3,0xde23fea9,0xa6536d27
24,3,0x4350a044,0xa804ac69
25,3,0xa3a89cb4,0x06ad95b1
26,3,0x9db40943,0xc15f8f1d
27,3,0x05b0ba3e,0x69561793
28,3,0xce172256,0x920576b6
29,3,0x91bed624,0x2ec7648d
30,3,0x9aea09ad,0xe8ade112
31,3,0x8a892169,0x189f7b43
32,3,0x61f05583,0xda90c61d
33,3,0xf4df3b61,0xe4c4cd35
34,3,0xd95e19ff,0xf96ee99c
35,3,0xa164f75f,0x24f6d585
36,3,0x42a714d0,0xcecaaa9f
37,3,0x92fea38e,0xc49607f9
38,3,0x676ed488,0x795bdc88
39,3,0x7beb1509,0xe44356e5
40,3,0x21e1f18a,0xb876be87
41,3,0x946e87a3,0x53e17d6b
42,3,0x78205349,0xebf689fd
43,3,0x184fad15,0xf5c382ac
44,3,0x9a671e7a,0x560580de
45,3,0xbd1761d2,0xa52e896e
46,3,0x6c6fe074,0xf0677762
47,3,0x3f8aca53,0xf9836e23
48,3,0xcccec7f4,0x7bcb811a
49,3,0xa988de63,0x64371036
50,3,0xd091dbd9,0x1837c5a0
51,3,0x7319ba05,0xb7cf03d9
52,3,0xa7196eb7,0x7160e8f1
53,3,0x99bb6d22,0x0e7e06a2
54,3,0x640d7c47,0xc54ace22
55,3,0xd5ecaa05,0xa547e4ce
56,3,0x20efa7b9,0xb8eca036
57,3,0x057b136a,0x8b9810d9
58,3,0x10cd2b28,0xad35f27b
59,3,0xf75920c7,0x036cece2
60,3,0x3364ef0a,0x2dc88a96
61,3,0xd839dede,0x16625974
62,3,0xfac7654c,0x5a7c7e53
63,3,0xfb85b920,0xd8846d1b
64,3,0x605f088c,0xbe91a892
65,3,0xb5553910,0x19424195
66,3,0xfae28d27,0x2a58487a
67,3,0xdefb106f,0xce4ed4f8
68,3,0xc1752d4f,0x4247d357
69,3,0xe68d0ab4,0x774cdaa9
