# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=b4f654710200e8a223cf04496002628d65bc9f250d78b6f0e13dd3c092831a1e
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=4096
# unique_v=4096
# threads=8
r,u,v,numerator,denominator
3,0xa948e9f8,0x211c40a2,128,16384
3,0xe5d34753,0xb5a7608e,-128,16384
3,0x21abd2cf,0xd8bbfc9f,-80,16384
3,0xc6d508f2,0xac789709,64,16384
3,0x93233e53,0xf2938e3a,128,16384
3,0xb609a475,0x38f8a2ee,32,16384
3,0xa93ce99c,0x71c76113,-96,16384
3,0x20c70918,0x2caf18d6,0,16384
3,0x330176f8,0x62716f71,176,16384
3,0x9d8ebf74,0x91ae3a85,-48,16384
3,0x9cac98db,0x6c386211,64,16384
3,0xa5596222,0x8297ff5b,-64,16384
3,0xc08bb1e4,0x8c02e002,-240,16384
3,0x4befdedb,0xba154d52,224,16384
3,0x635b02ae,0xb41db314,64,16384
3,0xce9c165d,0x3e0c77a1,0,16384
3,0x9176eafe,0x2e85140e,-224,16384
3,0x5c790152,0x38b85e3d,0,16384
3,0xc30e9e5c,0x4b73cc7d,128,16384
3,0x9b8602c2,0xf340f529,64,16384
3,0xbb4de310,0xcb6f3d47,64,16384
3,0x72c7f10c,0xf9fd3d9e,160,16384
3,0xde23fea9,0xa6536d27,336,16384
3,0x4350a044,0xa804ac69,96,16384
3,0xa3a89cb4,0x06ad95b1,320,16384
3,0x9db40943,0xc15f8f1d,32,16384
3,0x05b0ba3e,0x69561793,64,16384
3,0xce172256,0x920576b6,0,16384
3,0x91bed624,0x2ec7648d,-320,16384
3,0x9aea09ad,0xe8ade112,-192,16384
3,0x8a892169,0x189f7b43,-288,16384
3,0x61f05583,0xda90c61d,-16,16384
3,0xf4df3b61,0xe4c4cd35,-128,16384
3,0xd95e19ff,0xf96ee99c,32,16384
3,0xa164f75f,0x24f6d585,224,16384
3,0x42a714d0,0xcecaaa9f,-32,16384
3,0x92fea38e,0xc49607f9,-64,16384
3,0x676ed488,0x795bdc88,160,16384
3,0x7beb1509,0xe44356e5,0,16384
3,0x21e1f18a,0xb876be87,0,16384
3,0x946e87a3,0x53e17d6b,-16,16384
3,0x78205349,0xebf689fd,112,16384
3,0x184fad15,0xf5c382ac,16,16384
3,0x9a671e7a,0x560580de,96,16384
3,0xbd1761d2,0xa52e896e,112,16384
3,0x6c6fe074,0xf0677762,-96,16384
3,0x3f8aca53,0xf9836e23,32,16384
3,0xcccec7f4,0x7bcb811a,0,16384
3,0xa988de63,0x64371036,160,16384
3,0xd091dbd9,0x1837c5a0,176,16384
3,0x7319ba05,0xb7cf03d9,32,16384
3,0xa7196eb7,0x7160e8f1,-16,16384
3,0x99bb6d22,0x0e7e06a2,0,16384
3,0x640d7c47,0xc54ace22,-128,16384
3,0xd5ecaa05,0xa547e4ce,128,16384
3,0x20efa7b9,0xb8eca036,-256,16384
3,0x057b136a,0x8b9810d9,96,16384
3,0x10cd2b28,0xad35f27b,-288,16384
3,0xf75920c7,0x036cece2,96,16384
3,0x3364ef0a,0x2dc88a96,-80,16384
3,0xd839dede,0x16625974,-128,16384
3,0xfac7654c,0x5a7c7e53,-128,16384
3,0xfb85b920,0xd8846d1b,-128,16384
3,0x605f088c,0xbe91a892,-192,16384
3,0xb5553910,0x19424195,96,16384
3,0xfae28d27,0x2a58487a,0,16384
3,0xdefb106f,0xce4ed4f8,-32,16384
3,0xc1752d4f,0x4247d357,-96,16384
3,0xe68d0ab4,0x774cdaa9,-128,16384
3,0x70e100da,0x74156263,64,16384
3,0x4c073d89,0x92319f7c,-32,16384
3,0x61959638,0x936aac74,192,16384
3,0x01f541c9,0xf9dde3f2,32,16384
3,0x0d953824,0xd90f8668,-64,16384
3,0x965c6a23,0x858e4231,-32,16384
3,0x358cbd76,0xe72e8fd1,0,16384
3,0x672e7b4e,0xffad97f3,0,16384
3,0xc273e5de,0xeba0e507,0,16384
3,0x15a1f870,0x955e1fe4,160,16384
3,0x866f8bef,0xf7a819d9,32,16384
3,0xabbe3424,0x248fbd5c,-112,16384
3,0x76c883d1,0x7b829b3f,-64,16384
3,0xa8c6083f,0xecf1dcb1,32,16384
3,0xd1b3a09c,0x9711c805,288,16384
3,0x8822e524,0xfd5d9dae,-112,16384
3,0x30b9cfad,0xc26d3f39,-160,16384
3,0x4f64ba81,0x96fe1093,-16,16384
3,0x6c06f961,0x2d434983,32,16384
3,0x2d47a725,0x936bb7ee,-96,16384
3,0xfd437fa2,0xde22f6c0,-32,16384
3,0x796ac215,0x0e06bb1b,-160,16384
3,0xe3bb6c47,0xaafea5a5,-224,16384
3,0x9bd7df8d,0x75a7a0ea,-32,16384
3,0x592bc79c,0x9facac1f,32,16384
3,0xe3117380,0x1d340b27,-96,16384
3,0xc8c2adc3,0xd19a0613,112,16384
3,0x9b5d74c7,0x9519659c,-224,16384
3,0xe66de5c3,0x23d13970,64,16384
3,0xdbb2ddbb,0x9082f7b3,32,16384
3,0xb162fbb4,0x5ee7fa7a,128,16384
3,0xd7e6335d,0xee7664bb,32,16384
3,0x3de56f13,0xb851ffc2,-112,16384
3,0xd4cbd308,0xe167a63f,-128,16384
3,0x6420a3f3,0xcd17aa1e,-32,16384
3,0x163bafd3,0x411150c5,-32,16384
3,0x71d76e8b,0xf0af8bfd,-64,16384
3,0x8ab8ed67,0x5c83f154,-80,16384
3,0x14015082,0x699755c8,0,16384
3,0x747fdb7e,0xf3e72625,-192,16384
3,0x4bb7030f,0x3e42df01,-208,16384
3,0xd1e437cd,0xe72b0ca7,-96,16384
3,0xba66c9ae,0x4476972f,-288,16384
3,0x58a4bc40,0x811909ba,0,16384
3,0x5e880fbe,0x92666ee1,176,16384
3,0x9a26f8b2,0x0d490da2,0,16384
3,0x9b4e92c1,0x77535c15,-32,16384
3,0x2f0c0e9b,0xb470f7d6,112,16384
3,0xef6434ac,0x626aa618,160,16384
3,0xdea9b372,0xff9e054e,0,16384
3,0xf5de68ac,0xe12cbdd1,-32,16384
3,0xdff7af67,0x5fb46b6a,-128,16384
3,0x2131c1d7,0x6e9db84c,256,16384
3,0xac45ec1c,0xb9b4d90c,0,16384
3,0x0eae9568,0xe5ca44de,-96,16384
3,0x77c2725d,0x035d5283,-160,16384
3,0x3625d714,0x2ec828fc,96,16384
3,0x44bede26,0xa0736ed8,32,16384
3,0x758ed11d,0x5553b90a,112,16384
3,0xfe07c49e,0x80710e7b,-48,16384
3,0xc9461912,0x7829a99c,-192,16384
3,0x9182e2e8,0x744aa12d,-448,16384
3,0xd4ea195b,0xf23d9961,0,16384
3,0x12d727f0,0x12ff3571,-32,16384
3,0x74d76cef,0x21af873f,128,16384
3,0x661b34ca,0x9c2d2a9c,160,16384
3,0x7618d5c9,0x41877547,208,16384
3,0x0076215e,0x993340ab,0,16384
3,0xd94b4d27,0xa45ed3e0,0,16384
3,0xf21873ac,0xac547454,-64,16384
3,0x20d7410b,0x0589e749,-224,16384
3,0x5b23a4d5,0x1b268f94,-128,16384
3,0xe7e69330,0xe16be42a,0,16384
3,0xba45a172,0xade43cb5,0,16384
3,0x9f73c4b4,0xa2417c8d,-96,16384
3,0x4619447a,0x5f6ce73d,112,16384
3,0x5feea578,0xda7c571a,-160,16384
3,0x34a900f1,0xaa89e6d5,160,16384
3,0x641a45c6,0x511bee64,-240,16384
3,0xb4f38d2b,0xa7412207,-96,16384
3,0xbd5baca5,0x0913fbf9,0,16384
3,0x549e8274,0x0d1302df,-256,16384
3,0xf9a7b099,0x789e474e,128,16384
3,0x632749da,0xc3e3f98b,-32,16384
3,0xed95b08c,0xbd6f8944,-128,16384
3,0x6b587e5f,0xc21baa5b,32,16384
3,0xf303ba91,0x2132953b,-16,16384
3,0x8f07a201,0x2c5a4486,-32,16384
3,0xfd220716,0x1883e4d8,128,16384
