row_id,r,u,v
128376,3,0x00c00000,0x0333040d
127795,3,0x00900000,0x9aa30b0a
132552,3,0x60000000,0x6cca0c0c
103413,3,0x00000080,0x000b0222
127588,3,0x00900000,0x07770507
136143,3,0xc0000000,0x6cca0b0b
94701,3,0x00000006,0x80080188
114384,3,0x0000f000,0x0e0ebcc7
108414,3,0x00005000,0x0f0f7ff8
110857,3,0x00009000,0x0c0c3eed
129698,3,0x10000000,0x877f0c0c
91708,3,0x00000002,0x70070eff
110875,3,0x00009000,0x0d0d4115
94590,3,0x00000006,0x600601aa
118710,3,0x00060000,0x0a668008
91509,3,0x00000002,0x40040244
94572,3,0x00000006,0x50050a88
94474,3,0x00000006,0x30030522
133663,3,0x70000000,0xcee20707
110793,3,0x00009000,0x0a0a3221
137607,3,0xe0000000,0xd9940909
98923,3,0x0000000b,0xe00e0a66
101026,3,0x0000000f,0x10010099
135784,3,0xb0000000,0xbaa10a0a
118647,3,0x00060000,0x08cc4004
98785,3,0x0000000b,0xc00c00ee
132440,3,0x60000000,0x37740808
97664,3,0x0000000a,0x50050e44
98523,3,0x0000000b,0x60060d99
98434,3,0x0000000b,0x50050366
94893,3,0x00000006,0xc00c09ee
133339,3,0x70000000,0x72250202
104900,3,0x000000d0,0x06084cc8
95375,3,0x00000007,0x70070dff
129857,3,0x10000000,0xddd00909
101074,3,0x0000000f,0x20020122
91599,3,0x00000002,0x500507ee
128714,3,0x00d00000,0x09990409
132971,3,0x60000000,0xddd00909
101301,3,0x0000000f,0x60060499
127640,3,0x00900000,0x1bba0403
131437,3,0x40000000,0x99900d0d
91363,3,0x00000002,0x10010055
135303,3,0xa0000000,0xddd00909
100074,3,0x0000000d,0xb00b01bb
98276,3,0x0000000b,0x200208ff
130924,3,0x30000000,0xddd00909
110502,3,0x00009000,0x02029dd4
97778,3,0x0000000a,0x800805ff
121200,3,0x00090000,0x0daa9009
136372,3,0xc0000000,0xccc00d0d
105971,3,0x00001000,0x0f0f2aa8
107957,3,0x00005000,0x05058880
101243,3,0x0000000f,0x50050499
105708,3,0x00001000,0x06067661
118408,3,0x00060000,0x02ee2002
114305,3,0x0000f000,0x0c0cc66a
137003,3,0xd0000000,0xd9940909
120622,3,0x00090000,0x01aac00c
94627,3,0x00000006,0x60060add
105527,3,0x00001000,0x01015663
138016,3,0xf0000000,0x7ff80707
94500,3,0x00000006,0x30030baa
107615,3,0x00004000,0x0b0bbbb0
111508,3,0x0000b000,0x01015114
103476,3,0x00000080,0x0407922b
97677,3,0x0000000a,0x600601ff
133061,3,0x60000000,0xfcc30707
129621,3,0x10000000,0x688e0808
133483,3,0x70000000,0x933a0606
120737,3,0x00090000,0x0433e00e
91459,3,0x00000002,0x30030355
133015,3,0x60000000,0xeee00c0c
99780,3,0x0000000d,0x500509cc
95485,3,0x00000007,0x90090c99
137484,3,0xe0000000,0xbbb00b0b
129442,3,0x10000000,0x17760404
101752,3,0x0000000f,0xe00e0733
120748,3,0x00090000,0x04886006
113799,3,0x0000f000,0x01011ffe
110456,3,0x00009000,0x01011110
133526,3,0x70000000,0xa8820707
101411,3,0x0000000f,0x80080466
98684,3,0x0000000b,0xa00a00ff
127374,3,0x00800000,0x0bbb0d0b
136239,3,0xc0000000,0xabb10505
132844,3,0x60000000,0xbbb00b0b
91683,3,0x00000002,0x700702cc
98709,3,0x0000000b,0xa00a0c66
114428,3,0x0000f000,0x0f0ff11e
127798,3,0x00900000,0x9aa30d0a
114032,3,0x0000f000,0x06061ffe
132385,3,0x60000000,0x23310e0e
94371,3,0x00000006,0x100100aa
136181,3,0xc0000000,0x99900d0d
104573,3,0x000000c0,0x0509edd3
100664,3,0x0000000e,0x90090099
134261,3,0x80000000,0xddd00909
132703,3,0x60000000,0x8ee60b0b
107760,3,0x00004040,0x0800a00a
101222,3,0x0000000f,0x40040edd
99950,3,0x0000000d,0x80080c44
136094,3,0xc0000000,0x5cc90b0b
127377,3,0x00800000,0x0ccc000b
127344,3,0x00800000,0x0aaa0002
129687,3,0x10000000,0x7ff80707
108287,3,0x00005000,0x0d0d5dd8
135630,3,0xb0000000,0x66600f0f
107767,3,0x00004040,0x0a008008
130804,3,0x30000000,0x99900d0d
99574,3,0x0000000d,0x100100ff
121160,3,0x00090000,0x0cdd4004
128575,3,0x00c00000,0xb55e0105
129491,3,0x10000000,0x33300a0a
125855,3,0x00100000,0x2eec0004
120846,3,0x00090000,0x05eec00c
101492,3,0x0000000f,0x90090a44
98608,3,0x0000000b,0x80080988
133608,3,0x70000000,0xc66a0707
91406,3,0x00000002,0x10010bee
95603,3,0x00000007,0xb00b0b55
109053,3,0x00006000,0x0d0d9990
101588,3,0x0000000f,0xb00b07cc
97988,3,0x0000000a,0xc00c0466
127288,3,0x00800000,0x01110005
128866,3,0x00d00000,0x6ff90c0f
95248,3,0x00000007,0x50050455
120805,3,0x00090000,0x05333003
110678,3,0x00009000,0x06069990
110605,3,0x00009000,0x0404bbb0
120922,3,0x00090000,0x07bb8008
132960,3,0x60000000,0xd9940909
137968,3,0xf0000000,0x6aac0606
99687,3,0x0000000d,0x300305ff
128623,3,0x00c00000,0xe997010d
94887,3,0x00000006,0xc00c0755
97863,3,0x0000000a,0xa00a0144
94513,3,0x00000006,0x30030ecc
107758,3,0x00004040,0x08002002
94392,3,0x00000006,0x100109cc
104936,3,0x000000d0,0x080f0222
97426,3,0x0000000a,0x10010611
136076,3,0xc0000000,0x56630101
97435,3,0x0000000a,0x10010833
118517,3,0x00060000,0x05cc2002
98217,3,0x0000000b,0x100106bb
138265,3,0xf0000000,0xe22c0a0a
95605,3,0x00000007,0xb00b0b77
95427,3,0x00000007,0x80080acc
108459,3,0x00005000,0x0f0ff887
94752,3,0x00000006,0x90090099
91626,3,0x00000002,0x50050fee
105318,3,0x000000e0,0x0f0ebee5
94968,3,0x00000006,0xe00e08cc
102852,3,0x00000050,0x080eaee4
99892,3,0x0000000d,0x70070933
104685,3,0x000000c0,0x0c050999
98812,3,0x0000000b,0xc00c0c44
120727,3,0x00090000,0x03ffb00b
92001,3,0x00000002,0xe00e0cdd
127653,3,0x00900000,0x2aa8070f
94604,3,0x00000006,0x60060511
105123,3,0x000000e0,0x04058dd5
118311,3,0x00060000,0x00aa9009
97982,3,0x0000000a,0xc00c0255
101844,3,0x00000010,0x00020333
101790,3,0x0000000f,0xf00f0144
105332,3,0x000000f0,0x00070777
137267,3,0xe0000000,0x55500505
99900,3,0x0000000d,0x70070bcc
137963,3,0xf0000000,0x688e0c0c
127713,3,0x00900000,0x7225050a
133479,3,0x70000000,0x91180909
98061,3,0x0000000a,0xd00d0aee
95558,3,0x00000007,0xb00b0233
99989,3,0x0000000d,0x90090799
133442,3,0x70000000,0x8aa20808
98727,3,0x0000000b,0xb00b0322
97813,3,0x0000000a,0x900903aa
95200,3,0x00000007,0x40040166
91584,3,0x00000002,0x50050266
132719,3,0x60000000,0x944d0606
129672,3,0x10000000,0x788f0808
97771,3,0x0000000a,0x80080255
105945,3,0x00001000,0x0d0d9990
133738,3,0x70000000,0xecc20707
98000,3,0x0000000a,0xc00c08bb
137871,3,0xf0000000,0x51140e0e
103429,3,0x00000080,0x01020222
132734,3,0x60000000,0x9dd40909
128520,3,0x00c00000,0x855d0401
138048,3,0xf0000000,0x8ff70a0a
94413,3,0x00000006,0x200202ee
132586,3,0x60000000,0x77700c0c
129567,3,0x10000000,0x55500505
125813,3,0x00100000,0x0bbb000a
127537,3,0x00800000,0xfcc30408
118305,3,0x00060000,0x0088e00e
132796,3,0x60000000,0xaff50202
101148,3,0x0000000f,0x30030799
133307,3,0x70000000,0x66600f0f
101935,3,0x00000010,0x0604e668
135431,3,0xb0000000,0x1ddc0505
102756,3,0x00000040,0x0f084cc8
95473,3,0x00000007,0x90090877
129552,3,0x10000000,0x4ffb0101
116205,3,0x00030000,0x0499d00d
95332,3,0x00000007,0x60060fbb
133282,3,0x70000000,0x55500505
133194,3,0x70000000,0x2cce0f0f
101628,3,0x0000000f,0xc00c02aa
132839,3,0x60000000,0xbbb00202
133415,3,0x70000000,0x866e0b0b
110985,3,0x0000a000,0x01015114
102656,3,0x00000040,0x0608488c
98758,3,0x0000000b,0xb00b0add
98644,3,0x0000000b,0x900906cc
112381,3,0x0000c000,0x0b0bbbb0
138259,3,0xf0000000,0xe11f0101
132525,3,0x60000000,0x67710606
105525,3,0x00001000,0x01015114
108015,3,0x00005000,0x06068aa2
102772,3,0x00000050,0x000f0222
107763,3,0x00004040,0x0a001001
98238,3,0x0000000b,0x10010c77
103609,3,0x00000080,0x0d095dd8
127610,3,0x00900000,0x12230407
111938,3,0x0000b000,0x0d0dddd0
104602,3,0x000000c0,0x08010ddd
105009,3,0x000000d0,0x0d075ffa
118394,3,0x00060000,0x0288d00d
105380,3,0x000000f0,0x03050555
135861,3,0xb0000000,0xeee00707
120893,3,0x00090000,0x07111001
105237,3,0x000000e0,0x0b050333
135795,3,0xb0000000,0xc33f0202
121105,3,0x00090000,0x0baa6006
120849,3,0x00090000,0x05ff5005
104507,3,0x000000c0,0x010de997
94940,3,0x00000006,0xd00d0ecc
110466,3,0x00009000,0x01015114
91687,3,0x00000002,0x700703dd
121083,3,0x00090000,0x0affe00e
95361,3,0x00000007,0x70070877
129913,3,0x10000000,0xfff00202
99862,3,0x0000000d,0x60060fcc
133804,3,0x70000000,0xfff00e0e
135041,3,0xa0000000,0x55500505
91419,3,0x00000002,0x10010fee
113849,3,0x0000f000,0x0101ccc0
104653,3,0x000000c0,0x0a0b8ee6
114062,3,0x0000f000,0x0606b11a
101878,3,0x00000010,0x010a0222
135836,3,0xb0000000,0xd9940909
135801,3,0xb0000000,0xc8840c0c
128683,3,0x00d00000,0x02220d0f
118901,3,0x00060000,0x0f226006
98118,3,0x0000000a,0xe00e0add
136671,3,0xd0000000,0x55500505
95775,3,0x00000007,0xe00e0bcc
100101,3,0x0000000d,0xb00b0a77
114244,3,0x0000f000,0x0b0bb229
118651,3,0x00060000,0x08cce00e
135593,3,0xb0000000,0x599c0606
105899,3,0x00001000,0x0b0bbbb0
91379,3,0x00000002,0x10010422
118362,3,0x00060000,0x01dd8008
105506,3,0x000000f0,0x0f060999
136063,3,0xc0000000,0x52270a0a
102805,3,0x00000050,0x030e2113
125154,3,0x000f0000,0x0499d00d
128587,3,0x00c00000,0xc5590401
98888,3,0x0000000b,0xe00e0088
138015,3,0xf0000000,0x7ff80505
102606,3,0x00000040,0x020a5227
121134,3,0x00090000,0x0c559009
132928,3,0x60000000,0xccc00a0a
133230,3,0x70000000,0x388b0808
101201,3,0x0000000f,0x400407cc
104756,3,0x000000c0,0x0f0e5441
135545,3,0xb0000000,0x45510606
103400,3,0x00000080,0x00070222
101496,3,0x0000000f,0x90090b55
118482,3,0x00060000,0x04eec00c
98988,3,0x0000000b,0xf00f0bdd
118735,3,0x00060000,0x0add6006
136486,3,0xc0000000,0xf11e0505
134118,3,0x80000000,0x99900d0d
105677,3,0x00001000,0x0505d66b
133233,3,0x70000000,0x388b0c0c
99875,3,0x0000000d,0x70070422
101434,3,0x0000000f,0x800809ee
127691,3,0x00900000,0x5bbe0002
99967,3,0x0000000d,0x90090099
91997,3,0x00000002,0xe00e0baa
128676,3,0x00d00000,0x02220802
91702,3,0x00000002,0x70070a77
95725,3,0x00000007,0xd00d0e55
100069,3,0x0000000d,0xa00a0fcc
133429,3,0x70000000,0x88800202
105169,3,0x000000e0,0x07060111
136101,3,0xc0000000,0x5eeb0e0e
118881,3,0x00060000,0x0e88b00b
91957,3,0x00000002,0xe00e01cc
100229,3,0x0000000d,0xe00e0166
95140,3,0x00000007,0x300300bb
133560,3,0x70000000,0xb77c0808
132809,3,0x60000000,0xb3380707
98098,3,0x0000000a,0xe00e0611
104594,3,0x000000c0,0x0709edd3
135168,3,0xa0000000,0x99900d0d
110927,3,0x00009000,0x0e0eeff1
112013,3,0x0000c000,0x01015114
120592,3,0x00090000,0x00eec00c
96238,3,0x00000008,0x90090099
105857,3,0x00001000,0x0a0a3bb8
101926,3,0x00000010,0x05075772
136109,3,0xc0000000,0x62240c0c
135642,3,0xb0000000,0x6ddb0101
135547,3,0xb0000000,0x46620101
105557,3,0x00001000,0x02023bb8
105290,3,0x000000e0,0x0e04c448
134676,3,0x90000000,0x99900d0d
100138,3,0x0000000d,0xc00c04ff
118472,3,0x00060000,0x04aa6006
98040,3,0x0000000a,0xd00d04ff
135895,3,0xb0000000,0xfaa50f0f
130918,3,0x30000000,0xd9940909
104738,3,0x000000c0,0x0f014115
121230,3,0x00090000,0x0e226006
132639,3,0x60000000,0x833b0707
110895,3,0x00009000,0x0d0d9990
129860,3,0x10000000,0xdff20f0f
133650,3,0x70000000,0xcbb70c0c
98277,3,0x0000000b,0x20020977
107826,3,0x00005000,0x01018991
128392,3,0x00c00000,0x05550001
100196,3,0x0000000d,0xd00d05aa
136288,3,0xc0000000,0xbbb00b0b
101273,3,0x0000000f,0x50050cbb
102653,3,0x00000040,0x050fd885
133345,3,0x70000000,0x73340808
136416,3,0xc0000000,0xdbb60c0c
102801,3,0x00000050,0x030b5bbe
133546,3,0x70000000,0xaee40a0a
91880,3,0x00000002,0xc00c0755
132633,3,0x60000000,0x822a0c0c
107664,3,0x00004000,0x0d0d9990
113700,3,0x0000e000,0x0d0d9990
94857,3,0x00000006,0xb00b0d44
110880,3,0x00009000,0x0d0d5114
128411,3,0x00c00000,0x09990c0d
104525,3,0x000000c0,0x030de55b
120983,3,0x00090000,0x08eee00e
91586,3,0x00000002,0x500502ff
97874,3,0x0000000a,0xa00a0533
133578,3,0x70000000,0xbbb00e0e
120756,3,0x00090000,0x0499d00d
135790,3,0xb0000000,0xbbb00b0b
128557,3,0x00c00000,0x9990010d
114364,3,0x0000f000,0x0e0e5114
133303,3,0x70000000,0x66600202
97438,3,0x0000000a,0x100109aa
100075,3,0x0000000d,0xb00b0277
130872,3,0x30000000,0xbbb00b0b
121074,3,0x00090000,0x0accd00d
99971,3,0x0000000d,0x900901cc
127686,3,0x00900000,0x5aaf010b
94383,3,0x00000006,0x10010622
114102,3,0x0000f000,0x0707a77d
132558,3,0x60000000,0x6ee80707
129539,3,0x10000000,0x47730909
91906,3,0x00000002,0xd00d0299
132567,3,0x60000000,0x72250808
118919,3,0x00060000,0x0f886006
107752,3,0x00004040,0x06006006
97767,3,0x0000000a,0x70070f11
98788,3,0x0000000b,0xc00c02dd
118350,3,0x00060000,0x01aab00b
101988,3,0x00000010,0x090f7ff8
107742,3,0x00004040,0x02003003
103459,3,0x00000080,0x030de997
110492,3,0x00009000,0x02023330
137742,3,0xf0000000,0x19980909
98710,3,0x0000000b,0xa00a0cbb
95317,3,0x00000007,0x60060abb
114348,3,0x0000f000,0x0d0dddd0
95428,3,0x00000007,0x80080aff
105995,3,0x00001000,0x0f0f944d
129830,3,0x10000000,0xd11c0505
121258,3,0x00090000,0x0eccb00b
132665,3,0x60000000,0x88800b0b
107676,3,0x00004000,0x0d0dddd0
129608,3,0x10000000,0x66600303
95128,3,0x00000007,0x20020c77
105548,3,0x00001000,0x02022220
95728,3,0x00000007,0xd00d0f44
102827,3,0x00000050,0x050a0777
128627,3,0x00c00000,0xe997090d
105852,3,0x00001000,0x0a0a2bb9
128395,3,0x00c00000,0x05550006
118404,3,0x00060000,0x02ccc00c
98364,3,0x0000000b,0x40040177
125943,3,0x00100000,0xe44a0406
127315,3,0x00800000,0x0333080a
120857,3,0x00090000,0x06331001
95674,3,0x00000007,0xc00c0cee
95804,3,0x00000007,0xf00f02ee
95298,3,0x00000007,0x60060511
133537,3,0x70000000,0xacc60202
118672,3,0x00060000,0x09887007
104629,3,0x000000c0,0x0904eee0
125889,3,0x00100000,0xa44e0b04
91451,3,0x00000002,0x30030044
127816,3,0x00900000,0xbff40e02
102787,3,0x00000050,0x02052557
110907,3,0x00009000,0x0d0dddd0
94591,3,0x00000006,0x60060244
127826,3,0x00900000,0xc77b060a
131582,3,0x40000000,0xddd00909
95278,3,0x00000007,0x50050f99
108403,3,0x00005000,0x0f0f5eeb
100041,3,0x0000000d,0xa00a06dd
120581,3,0x00090000,0x00dd2002
94766,3,0x00000006,0x900908cc
91380,3,0x00000002,0x10010477
97792,3,0x0000000a,0x80080d33
98356,3,0x0000000b,0x30030f11
137761,3,0xf0000000,0x1eef0101
109066,3,0x00006000,0x0d0dddd0
94601,3,0x00000006,0x60060499
134756,3,0x90000000,0xbbb00b0b
128871,3,0x00d00000,0x844c0704
125911,3,0x00100000,0xbaa1030a
120795,3,0x00090000,0x05115005
131571,3,0x40000000,0xd9940909
132699,3,0x60000000,0x8ee60303
127660,3,0x00900000,0x3aa90c07
120809,3,0x00090000,0x05441001
113106,3,0x0000d000,0x0d0dddd0
128402,3,0x00c00000,0x06660305
108456,3,0x00005000,0x0f0ff55a
113993,3,0x0000f000,0x05057770
101498,3,0x0000000f,0x90090b99
128896,3,0x00d00000,0x9ff60407
118817,3,0x00060000,0x0d222002
118936,3,0x00060000,0x0fcc5005
100300,3,0x0000000d,0xf00f0a99
108412,3,0x00005000,0x0f0f7770
118933,3,0x00060000,0x0faad00d
132601,3,0x60000000,0x7aad0a0a
104853,3,0x000000d0,0x040bd33e
100002,3,0x0000000d,0x90090b77
98130,3,0x0000000a,0xe00e0dee
123069,3,0x000c0000,0x0499d00d
101179,3,0x0000000f,0x30030fdd
101774,3,0x0000000f,0xe00e0d55
104480,3,0x000000c0,0x0009499d
101260,3,0x0000000f,0x50050a44
105421,3,0x000000f0,0x060e0888
95446,3,0x00000007,0x90090099
94987,3,0x00000006,0xf00f0022
97542,3,0x0000000a,0x30030822
101462,3,0x0000000f,0x90090099
94687,3,0x00000006,0x70070d22
112497,3,0x0000c000,0x0d0d9990
99714,3,0x0000000d,0x30030d66
128515,3,0x00c00000,0x81190c09
125918,3,0x00100000,0xc22e030f
97912,3,0x0000000a,0xb00b00cc
97822,3,0x0000000a,0x90090633
118589,3,0x00060000,0x07449009
111883,3,0x0000b000,0x0b0bbbb0
137847,3,0xf0000000,0x44400606
104919,3,0x000000d0,0x0804844c
113809,3,0x0000f000,0x01015114
91848,3,0x00000002,0xb00b0a11
101875,3,0x00000010,0x0106c66a
98650,3,0x0000000b,0x90090899
133055,3,0x60000000,0xfbb40606
110292,3,0x00008000,0x0b0bbbb0
100119,3,0x0000000d,0xb00b0f99
99741,3,0x0000000d,0x400408ee
136264,3,0xc0000000,0xb55e0202
92014,3,0x00000002,0xf00f00ee
108259,3,0x00005000,0x0b0beee0
105668,3,0x00001000,0x05056ddb
91473,3,0x00000002,0x30030766
133651,3,0x70000000,0xcbb70e0e
107843,3,0x00005000,0x0101dff2
120686,3,0x00090000,0x02ffd00d
105624,3,0x00001000,0x04046442
98511,3,0x0000000b,0x60060aff
135453,3,0xb0000000,0x288a0f0f
119981,3,0x00080000,0x0499d00d
138237,3,0xf0000000,0xd5580d0d
110849,3,0x00009000,0x0b0bbbb0
101313,3,0x0000000f,0x60060722
101764,3,0x0000000f,0xe00e0a77
101533,3,0x0000000f,0xa00a0788
102596,3,0x00000040,0x01084cc8
95310,3,0x00000007,0x60060855
94603,3,0x00000006,0x600604ee
104833,3,0x000000d0,0x030bebb5
102648,3,0x00000040,0x050a0fff
105500,3,0x000000f0,0x0f010555
118798,3,0x00060000,0x0c44f00f
133433,3,0x70000000,0x88800808
133009,3,0x60000000,0xecc20c0c
110576,3,0x00009000,0x04044440
105854,3,0x00001000,0x0a0a3221
114213,3,0x0000f000,0x0b0b1667
