# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=03659038872e9344a5626f1c3bfe64055d7f864ea563c8da48a1d12325aedcb4
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=7077888
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=54
# unique_v=453
# threads=8
r,u,v,numerator,denominator
3,0x00c00000,0x0333040d,8192,131072
3,0x00900000,0x9aa30b0a,8192,131072
3,0x60000000,0x6cca0c0c,16384,131072
3,0x00000080,0x000b0222,-4096,131072
3,0x00900000,0x07770507,16384,131072
3,0xc0000000,0x6cca0b0b,0,131072
3,0x00000006,0x80080188,16384,131072
3,0x0000f000,0x0e0ebcc7,-4096,131072
3,0x00005000,0x0f0f7ff8,-3072,131072
3,0x00009000,0x0c0c3eed,3072,131072
3,0x10000000,0x877f0c0c,16384,131072
3,0x00000002,0x70070eff,0,131072
3,0x00009000,0x0d0d4115,4096,131072
3,0x00000006,0x600601aa,0,131072
3,0x00060000,0x0a668008,20480,131072
3,0x00000002,0x40040244,0,131072
3,0x00000006,0x50050a88,0,131072
3,0x00000006,0x30030522,-32768,131072
3,0x70000000,0xcee20707,0,131072
3,0x00009000,0x0a0a3221,10240,131072
3,0xe0000000,0xd9940909,-8192,131072
3,0x0000000b,0xe00e0a66,0,131072
3,0x0000000f,0x10010099,0,131072
3,0xb0000000,0xbaa10a0a,8192,131072
3,0x00060000,0x08cc4004,8192,131072
3,0x0000000b,0xc00c00ee,0,131072
3,0x60000000,0x37740808,-8192,131072
3,0x0000000a,0x50050e44,0,131072
3,0x0000000b,0x60060d99,0,131072
3,0x0000000b,0x50050366,-16384,131072
3,0x00000006,0xc00c09ee,0,131072
3,0x70000000,0x72250202,-16384,131072
3,0x000000d0,0x06084cc8,-2304,131072
3,0x00000007,0x70070dff,32768,131072
3,0x10000000,0xddd00909,-32768,131072
3,0x0000000f,0x20020122,16384,131072
3,0x00000002,0x500507ee,16384,131072
3,0x00d00000,0x09990409,-32768,131072
3,0x60000000,0xddd00909,-32768,131072
3,0x0000000f,0x60060499,0,131072
3,0x00900000,0x1bba0403,0,131072
3,0x40000000,0x99900d0d,-8192,131072
3,0x00000002,0x10010055,0,131072
3,0xa0000000,0xddd00909,-32768,131072
3,0x0000000d,0xb00b01bb,-16384,131072
3,0x0000000b,0x200208ff,32768,131072
3,0x30000000,0xddd00909,-32768,131072
3,0x00009000,0x02029dd4,-3072,131072
3,0x0000000a,0x800805ff,0,131072
3,0x00090000,0x0daa9009,8192,131072
3,0xc0000000,0xccc00d0d,-16384,131072
3,0x00001000,0x0f0f2aa8,-7168,131072
3,0x00005000,0x05058880,-6144,131072
3,0x0000000f,0x50050499,0,131072
3,0x00001000,0x06067661,5120,131072
3,0x00060000,0x02ee2002,4096,131072
3,0x0000f000,0x0c0cc66a,4096,131072
3,0xd0000000,0xd9940909,-8192,131072
3,0x00090000,0x01aac00c,-12288,131072
3,0x00000006,0x60060add,0,131072
3,0x00001000,0x01015663,3072,131072
3,0xf0000000,0x7ff80707,-16384,131072
3,0x00000006,0x30030baa,0,131072
3,0x00004000,0x0b0bbbb0,5120,131072
3,0x0000b000,0x01015114,3072,131072
3,0x00000080,0x0407922b,-2112,131072
3,0x0000000a,0x600601ff,0,131072
3,0x60000000,0xfcc30707,8192,131072
3,0x10000000,0x688e0808,16384,131072
3,0x70000000,0x933a0606,-16384,131072
3,0x00090000,0x0433e00e,0,131072
3,0x00000002,0x30030355,0,131072
3,0x60000000,0xeee00c0c,8192,131072
3,0x0000000d,0x500509cc,16384,131072
3,0x00000007,0x90090c99,-8192,131072
3,0xe0000000,0xbbb00b0b,-8192,131072
3,0x10000000,0x17760404,-8192,131072
3,0x0000000f,0xe00e0733,0,131072
3,0x00090000,0x04886006,-16384,131072
3,0x0000f000,0x01011ffe,4096,131072
3,0x00009000,0x01011110,-5120,131072
3,0x70000000,0xa8820707,8192,131072
3,0x0000000f,0x80080466,0,131072
3,0x0000000b,0xa00a00ff,-16384,131072
3,0x00800000,0x0bbb0d0b,-8192,131072
3,0xc0000000,0xabb10505,8192,131072
3,0x60000000,0xbbb00b0b,-8192,131072
3,0x00000002,0x700702cc,0,131072
3,0x0000000b,0xa00a0c66,16384,131072
3,0x0000f000,0x0f0ff11e,3072,131072
3,0x00900000,0x9aa30d0a,-32768,131072
3,0x0000f000,0x06061ffe,-4096,131072
3,0x60000000,0x23310e0e,8192,131072
3,0x00000006,0x100100aa,0,131072
3,0xc0000000,0x99900d0d,-8192,131072
3,0x000000c0,0x0509edd3,2304,131072
3,0x0000000e,0x90090099,0,131072
3,0x80000000,0xddd00909,-32768,131072
3,0x60000000,0x8ee60b0b,0,131072
3,0x00004040,0x0800a00a,-12288,131072
3,0x0000000f,0x40040edd,0,131072
3,0x0000000d,0x80080c44,0,131072
3,0xc0000000,0x5cc90b0b,-8192,131072
3,0x00800000,0x0ccc000b,16384,131072
3,0x00800000,0x0aaa0002,-32768,131072
3,0x10000000,0x7ff80707,-16384,131072
3,0x00005000,0x0d0d5dd8,-5120,131072
3,0xb0000000,0x66600f0f,-8192,131072
3,0x00004040,0x0a008008,-12288,131072
3,0x30000000,0x99900d0d,-8192,131072
3,0x0000000d,0x100100ff,0,131072
3,0x00090000,0x0cdd4004,12288,131072
3,0x00c00000,0xb55e0105,8192,131072
3,0x10000000,0x33300a0a,24576,131072
3,0x00100000,0x2eec0004,0,131072
3,0x00090000,0x05eec00c,-6144,131072
3,0x0000000f,0x90090a44,0,131072
3,0x0000000b,0x80080988,-8192,131072
3,0x70000000,0xc66a0707,0,131072
3,0x00000002,0x10010bee,0,131072
3,0x00000007,0xb00b0b55,0,131072
3,0x00006000,0x0d0d9990,3072,131072
3,0x0000000f,0xb00b07cc,16384,131072
3,0x0000000a,0xc00c0466,0,131072
3,0x00800000,0x01110005,-8192,131072
3,0x00d00000,0x6ff90c0f,0,131072
3,0x00000007,0x50050455,0,131072
3,0x00090000,0x05333003,-6144,131072
3,0x00009000,0x06069990,3072,131072
3,0x00009000,0x0404bbb0,4096,131072
3,0x00090000,0x07bb8008,-4096,131072
3,0x60000000,0xd9940909,-8192,131072
3,0xf0000000,0x6aac0606,0,131072
3,0x0000000d,0x300305ff,0,131072
3,0x00c00000,0xe997010d,-8192,131072
3,0x00000006,0xc00c0755,0,131072
3,0x0000000a,0xa00a0144,0,131072
3,0x00000006,0x30030ecc,32768,131072
3,0x00004040,0x08002002,12288,131072
3,0x00000006,0x100109cc,0,131072
3,0x000000d0,0x080f0222,-3328,131072
3,0x0000000a,0x10010611,0,131072
3,0xc0000000,0x56630101,8192,131072
3,0x0000000a,0x10010833,16384,131072
3,0x00060000,0x05cc2002,4096,131072
3,0x0000000b,0x100106bb,0,131072
3,0xf0000000,0xe22c0a0a,8192,131072
3,0x00000007,0xb00b0b77,8192,131072
3,0x00000007,0x80080acc,0,131072
3,0x00005000,0x0f0ff887,-11264,131072
3,0x00000006,0x90090099,0,131072
3,0x00000002,0x50050fee,0,131072
3,0x000000e0,0x0f0ebee5,2816,131072
3,0x00000006,0xe00e08cc,0,131072
3,0x00000050,0x080eaee4,-2304,131072
3,0x0000000d,0x70070933,-8192,131072
3,0x000000c0,0x0c050999,-2304,131072
3,0x0000000b,0xc00c0c44,0,131072
3,0x00090000,0x03ffb00b,12288,131072
3,0x00000002,0xe00e0cdd,-8192,131072
3,0x00900000,0x2aa8070f,-8192,131072
3,0x00000006,0x60060511,0,131072
3,0x000000e0,0x04058dd5,2560,131072
3,0x00060000,0x00aa9009,4096,131072
3,0x0000000a,0xc00c0255,16384,131072
3,0x00000010,0x00020333,-2816,131072
3,0x0000000f,0xf00f0144,0,131072
3,0x000000f0,0x00070777,-4096,131072
3,0xe0000000,0x55500505,-32768,131072
3,0x0000000d,0x70070bcc,0,131072
3,0xf0000000,0x688e0c0c,0,131072
3,0x00900000,0x7225050a,16384,131072
3,0x70000000,0x91180909,8192,131072
3,0x0000000a,0xd00d0aee,0,131072
3,0x00000007,0xb00b0233,-8192,131072
3,0x0000000d,0x90090799,-8192,131072
3,0x70000000,0x8aa20808,-16384,131072
3,0x0000000b,0xb00b0322,-8192,131072
3,0x0000000a,0x900903aa,0,131072
3,0x00000007,0x40040166,0,131072
3,0x00000002,0x50050266,0,131072
3,0x60000000,0x944d0606,0,131072
3,0x10000000,0x788f0808,-16384,131072
3,0x0000000a,0x80080255,-16384,131072
3,0x00001000,0x0d0d9990,-5120,131072
3,0x70000000,0xecc20707,0,131072
3,0x0000000a,0xc00c08bb,0,131072
3,0xf0000000,0x51140e0e,0,131072
3,0x00000080,0x01020222,2304,131072
3,0x60000000,0x9dd40909,-8192,131072
3,0x00c00000,0x855d0401,0,131072
3,0xf0000000,0x8ff70a0a,8192,131072
3,0x00000006,0x200202ee,0,131072
3,0x60000000,0x77700c0c,8192,131072
3,0x10000000,0x55500505,-32768,131072
3,0x00100000,0x0bbb000a,-8192,131072
3,0x00800000,0xfcc30408,16384,131072
3,0x00060000,0x0088e00e,0,131072
3,0x60000000,0xaff50202,16384,131072
3,0x0000000f,0x30030799,0,131072
3,0x70000000,0x66600f0f,-8192,131072
3,0x00000010,0x0604e668,3072,131072
3,0xb0000000,0x1ddc0505,16384,131072
3,0x00000040,0x0f084cc8,-2560,131072
3,0x00000007,0x90090877,0,131072
3,0x10000000,0x4ffb0101,8192,131072
3,0x00030000,0x0499d00d,28672,131072
3,0x00000007,0x60060fbb,0,131072
3,0x70000000,0x55500505,-32768,131072
3,0x70000000,0x2cce0f0f,-8192,131072
3,0x0000000f,0xc00c02aa,32768,131072
3,0x60000000,0xbbb00202,24576,131072
3,0x70000000,0x866e0b0b,0,131072
3,0x0000a000,0x01015114,10240,131072
3,0x00000040,0x0608488c,3584,131072
3,0x0000000b,0xb00b0add,-8192,131072
3,0x0000000b,0x900906cc,8192,131072
3,0x0000c000,0x0b0bbbb0,-6144,131072
3,0xf0000000,0xe11f0101,16384,131072
3,0x60000000,0x67710606,0,131072
3,0x00001000,0x01015114,-3072,131072
3,0x00005000,0x06068aa2,4096,131072
3,0x00000050,0x000f0222,-2816,131072
3,0x00004040,0x0a001001,4096,131072
3,0x0000000b,0x10010c77,-8192,131072
3,0x00000080,0x0d095dd8,-2688,131072
3,0x00900000,0x12230407,8192,131072
3,0x0000b000,0x0d0dddd0,8192,131072
3,0x000000c0,0x08010ddd,2304,131072
3,0x000000d0,0x0d075ffa,2240,131072
3,0x00060000,0x0288d00d,0,131072
3,0x000000f0,0x03050555,-2560,131072
3,0xb0000000,0xeee00707,-16384,131072
3,0x00090000,0x07111001,6144,131072
3,0x000000e0,0x0b050333,3072,131072
3,0xb0000000,0xc33f0202,8192,131072
3,0x00090000,0x0baa6006,-4096,131072
3,0x00090000,0x05ff5005,-2048,131072
3,0x000000c0,0x010de997,2304,131072
3,0x00000006,0xd00d0ecc,0,131072
3,0x00009000,0x01015114,5120,131072
3,0x00000002,0x700703dd,8192,131072
3,0x00090000,0x0affe00e,2048,131072
3,0x00000007,0x70070877,8192,131072
3,0x10000000,0xfff00202,-8192,131072
3,0x0000000d,0x60060fcc,0,131072
3,0x70000000,0xfff00e0e,16384,131072
3,0xa0000000,0x55500505,-32768,131072
3,0x00000002,0x10010fee,32768,131072
3,0x0000f000,0x0101ccc0,-4096,131072
3,0x000000c0,0x0a0b8ee6,2816,131072
3,0x0000f000,0x0606b11a,3072,131072
3,0x00000010,0x010a0222,2304,131072
3,0xb0000000,0xd9940909,-8192,131072
3,0xb0000000,0xc8840c0c,0,131072
3,0x00d00000,0x02220d0f,24576,131072
3,0x00060000,0x0f226006,-8192,131072
3,0x0000000a,0xe00e0add,0,131072
3,0xd0000000,0x55500505,-32768,131072
3,0x00000007,0xe00e0bcc,-8192,131072
3,0x0000000d,0xb00b0a77,0,131072
3,0x0000f000,0x0b0bb229,8192,131072
3,0x00060000,0x08cce00e,-24576,131072
3,0xb0000000,0x599c0606,0,131072
3,0x00001000,0x0b0bbbb0,-7168,131072
3,0x00000002,0x10010422,0,131072
3,0x00060000,0x01dd8008,8192,131072
3,0x000000f0,0x0f060999,-2560,131072
3,0xc0000000,0x52270a0a,-8192,131072
3,0x00000050,0x030e2113,2112,131072
3,0x000f0000,0x0499d00d,28672,131072
3,0x00c00000,0xc5590401,8192,131072
