# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=544069a8e215e415b5f5cbe324ddcac60a6106196c75c0a62f9da08ada9ce5bd
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=1048576
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=8
# unique_v=167
# threads=8
r,u,v,numerator,denominator
3,0x5b879dc8,0x0278f4ea,64,131072
3,0x5b879dc8,0x35ac6962,-32,131072
3,0x5b879dc8,0x59e85fa5,288,131072
3,0x5b879dc8,0x575e3d2d,512,131072
3,0x5b879dc8,0x17887ba6,96,131072
3,0x5b879dc8,0x7fe8e6ec,32,131072
3,0x5b879dc8,0x53a8ee03,96,131072
3,0x5b879dc8,0xc27b5583,-64,131072
3,0x5b879dc8,0xdcc9a791,-224,131072
3,0x5b879dc8,0x940cefff,320,131072
3,0x5b879dc8,0xc2fec480,256,131072
3,0x5b879dc8,0x66a61e9f,-640,131072
3,0x5b879dc8,0x1747f568,-256,131072
3,0x5b879dc8,0x3353e829,-480,131072
3,0x5b879dc8,0x5d1e757e,704,131072
3,0x5b879dc8,0x717bb694,-224,131072
3,0x5b879dc8,0xee90f2e3,192,131072
3,0x5b879dc8,0x0e353f3d,512,131072
3,0x5b879dc8,0x2564ee69,832,131072
3,0x5b879dc8,0x0a656d8f,480,131072
3,0x5b879dc8,0x634dbc3e,352,131072
3,0x5b879dc8,0x1c475142,448,131072
3,0x5b879dc8,0x2519aed0,-352,131072
3,0x5b879dc8,0x5c9d74d2,-448,131072
3,0x5b879dc8,0x2bdc7ada,-128,131072
3,0x5b879dc8,0xed8f11be,-896,131072
3,0x5b879dc8,0x8d3767b6,-320,131072
3,0x5b879dc8,0x73fa5070,160,131072
3,0x5b879dc8,0x4e37a2a8,-64,131072
3,0x5b879dc8,0x01065840,0,131072
3,0x5b879dc8,0x626c575d,-384,131072
3,0x5b879dc8,0xccaf7793,320,131072
3,0x5b879dc8,0x56002ae7,-192,131072
3,0x5b879dc8,0xf8ef8f64,-64,131072
3,0x5b879dc8,0xb83ce675,-1184,131072
3,0x5b879dc8,0x327b3faf,320,131072
3,0x5b879dc8,0xede6eef2,0,131072
3,0x5b879dc8,0x280b86f9,32,131072
3,0x5b879dc8,0xa66001e7,128,131072
3,0x5b879dc8,0x18de2961,256,131072
3,0x5b879dc8,0x3fb7763a,288,131072
3,0x5b879dc8,0x5b55de76,-64,131072
3,0x5b879dc8,0xeaf50b79,-160,131072
3,0x5b879dc8,0x279b2331,-608,131072
3,0x5b879dc8,0xee802b2b,256,131072
3,0x5b879dc8,0xaa8a04fe,32,131072
3,0x5b879dc8,0x15079880,64,131072
3,0x5b879dc8,0xfebbfb78,-224,131072
3,0x5b879dc8,0x60a1af8b,-128,131072
3,0x5b879dc8,0x721eab7a,-160,131072
3,0x5b879dc8,0xc0565671,544,131072
3,0x5b879dc8,0xa010d3b7,-320,131072
3,0x5b879dc8,0x35c96161,-448,131072
3,0x5b879dc8,0xa79f53b2,-96,131072
3,0x5b879dc8,0xd44b37aa,0,131072
3,0x5b879dc8,0x50cca13a,-32,131072
3,0x5b879dc8,0x5747c7af,-64,131072
3,0x5b879dc8,0xc193323c,-320,131072
3,0x5b879dc8,0x8d9b58c8,-224,131072
3,0x5b879dc8,0x24f8e388,-64,131072
3,0x5b879dc8,0x577a87e7,192,131072
3,0x5b879dc8,0x31b1a611,-640,131072
3,0x5b879dc8,0x2820957d,-288,131072
3,0x5b879dc8,0x9ad1911d,-448,131072
3,0x5b879dc8,0x04f07bec,256,131072
3,0x5b879dc8,0x2a820965,352,131072
3,0x5b879dc8,0x89fd169d,-448,131072
3,0x5b879dc8,0xf7831bee,256,131072
3,0x5b879dc8,0x2f2d7ecd,640,131072
3,0x5b879dc8,0x97df3d46,-224,131072
3,0x5b879dc8,0xc7f4dacc,-224,131072
3,0x5b879dc8,0x18a76d93,576,131072
3,0x5b879dc8,0xe4824d1b,-128,131072
3,0x5b879dc8,0x73657e07,608,131072
3,0x5b879dc8,0x382160d0,0,131072
