row_id,r,u,v
222,3,0xc1df181a,0x3353e829
436,3,0xb303e129,0x279b2331
491,3,0xa97b13c0,0x0e353f3d
449,3,0x405c4b15,0x940cefff
197,3,0x3b60c54a,0x5372de18
202,3,0x3b60c54a,0x89fd169d
397,3,0xb303e129,0x2519aed0
399,3,0xb303e129,0xfaba2194
389,3,0xb303e129,0x5d1e757e
452,3,0x405c4b15,0x1747f568
173,3,0x3b60c54a,0x752df562
385,3,0xb303e129,0xc2fec480
293,3,0xc1df181a,0xefff44e6
131,3,0x3b60c54a,0x2519aed0
319,3,0xfdfdc993,0x1c475142
79,3,0x5b879dc8,0x5b1ae411
72,3,0x5b879dc8,0x18a76d93
61,3,0x5b879dc8,0x577a87e7
406,3,0xb303e129,0xede6eef2
71,3,0x5b879dc8,0xc7f4dacc
318,3,0xfdfdc993,0x634dbc3e
503,3,0xa97b13c0,0x699753a7
335,3,0xfdfdc993,0xe3c03201
5,3,0x5b879dc8,0x17887ba6
338,3,0xfdfdc993,0x73fa5070
205,3,0x3b60c54a,0xd6ff45c2
346,3,0xfdfdc993,0x24f8e388
74,3,0x5b879dc8,0x73657e07
12,3,0x5b879dc8,0x66a61e9f
65,3,0x5b879dc8,0x04f07bec
262,3,0xc1df181a,0x97df3d46
259,3,0xc1df181a,0xfebbfb78
291,3,0xc1df181a,0x48d9470a
142,3,0x3b60c54a,0xf8ef8f64
62,3,0x5b879dc8,0x31b1a611
98,3,0x5b879dc8,0x7e438dd2
417,3,0xb303e129,0x5aba94df
247,3,0xc1df181a,0xa66001e7
60,3,0x5b879dc8,0x24f8e388
97,3,0x5b879dc8,0x6efd5662
459,3,0x405c4b15,0xaa8a04fe
376,3,0xb303e129,0x35ac6962
70,3,0x5b879dc8,0x97df3d46
490,3,0xa97b13c0,0x248420ce
219,3,0xc1df181a,0xc2fec480
434,3,0xb303e129,0xeaf50b79
109,3,0x3b60c54a,0x0278f4ea
323,3,0xfdfdc993,0xed8f11be
90,3,0x5b879dc8,0x0c249c04
124,3,0x3b60c54a,0x717bb694
204,3,0x3b60c54a,0x75f1db4b
31,3,0x5b879dc8,0x626c575d
279,3,0xc1df181a,0xf43dfe66
200,3,0x3b60c54a,0x2a820965
45,3,0x5b879dc8,0xee802b2b
477,3,0xa97b13c0,0x35ac6962
33,3,0x5b879dc8,0x56002ae7
114,3,0x3b60c54a,0x7fe8e6ec
366,3,0xfdfdc993,0x8a92f01d
461,3,0x405c4b15,0xcc76ee34
339,3,0xfdfdc993,0x0c249c04
466,3,0x405c4b15,0xfebbfb78
386,3,0xb303e129,0x66a61e9f
440,3,0x405c4b15,0x0278f4ea
203,3,0x3b60c54a,0x6c768936
215,3,0xc1df181a,0x53a8ee03
429,3,0xb303e129,0x3f872691
146,3,0x3b60c54a,0x280b86f9
43,3,0x5b879dc8,0xeaf50b79
75,3,0x5b879dc8,0x382160d0
2,3,0x5b879dc8,0x35ac6962
161,3,0x3b60c54a,0x35c96161
245,3,0xc1df181a,0xede6eef2
384,3,0xb303e129,0x940cefff
93,3,0x5b879dc8,0x8ec5c110
11,3,0x5b879dc8,0xc2fec480
371,3,0xfdfdc993,0xb304d99f
168,3,0x3b60c54a,0x24f8e388
184,3,0x3b60c54a,0x638a3709
174,3,0x3b60c54a,0x3d8dba6f
453,3,0x405c4b15,0x3353e829
59,3,0x5b879dc8,0x8d9b58c8
310,3,0xfdfdc993,0x1747f568
482,3,0xa97b13c0,0x53a8ee03
69,3,0x5b879dc8,0x2f2d7ecd
394,3,0xb303e129,0x0a656d8f
281,3,0xc1df181a,0x7c8f99d9
295,3,0xc1df181a,0x5747c7af
228,3,0xc1df181a,0x0a656d8f
125,3,0x3b60c54a,0xee90f2e3
277,3,0xc1df181a,0x538e34ad
213,3,0xc1df181a,0x17887ba6
493,3,0xa97b13c0,0x90ed2ba0
147,3,0x3b60c54a,0xa66001e7
327,3,0xfdfdc993,0x58c93c74
330,3,0xfdfdc993,0x5c48ef96
365,3,0xfdfdc993,0x327b3faf
88,3,0x5b879dc8,0x0a9739c1
306,3,0xfdfdc993,0xdcc9a791
180,3,0x3b60c54a,0x31b1a611
175,3,0x3b60c54a,0xfaba2194
510,3,0x85d13520,0x67ad9143
347,3,0xfdfdc993,0x26011690
360,3,0xfdfdc993,0x56002ae7
254,3,0xc1df181a,0xaa8a04fe
483,3,0xa97b13c0,0xc27b5583
169,3,0x3b60c54a,0x577a87e7
208,3,0x3b60c54a,0x3932f3ab
118,3,0x3b60c54a,0x940cefff
220,3,0xc1df181a,0x66a61e9f
249,3,0xc1df181a,0x3fb7763a
381,3,0xb303e129,0x53a8ee03
269,3,0xc1df181a,0x900e56f1
372,3,0xfdfdc993,0xf742fca0
243,3,0xc1df181a,0xb83ce675
273,3,0xc1df181a,0x277d5fe4
396,3,0xb303e129,0x1c475142
127,3,0x3b60c54a,0x2564ee69
170,3,0x3b60c54a,0xad7b5c46
252,3,0xc1df181a,0x279b2331
260,3,0xc1df181a,0x2f2d7ecd
336,3,0xfdfdc993,0x8d9b58c8
304,3,0xfdfdc993,0x53a8ee03
359,3,0xfdfdc993,0x257ebf2b
22,3,0x5b879dc8,0x1c475142
235,3,0xc1df181a,0x8d3767b6
234,3,0xc1df181a,0xed8f11be
332,3,0xfdfdc993,0x587cc6be
355,3,0xfdfdc993,0x2f24a634
373,3,0xfdfdc993,0x752df562
487,3,0xa97b13c0,0xc1cf45a8
496,3,0xa97b13c0,0xdcc9a791
464,3,0x405c4b15,0x7da88fdd
132,3,0x3b60c54a,0x5c9d74d2
210,3,0xc1df181a,0x35ac6962
474,3,0x405c4b15,0x863de7c7
298,3,0xfdfdc993,0x0278f4ea
137,3,0x3b60c54a,0x4e37a2a8
292,3,0xc1df181a,0x50cca13a
268,3,0xc1df181a,0xa444c59b
418,3,0xb303e129,0xacb2326a
328,3,0xfdfdc993,0x0c4bd576
294,3,0xc1df181a,0x1a9a100e
158,3,0x3b60c54a,0x721eab7a
