# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=4489dacf5e62629d6f8ea5ed37dc569f74db6dfa32e9ad32aa33aec60076def6
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=512
# unique_v=512
# threads=8
r,u,v,numerator,denominator
3,0x06de6de1,0x528e8c1e,-1152,131072
3,0xf26c4afa,0x0ae1f83a,-512,131072
3,0xe7e604e4,0x2d37ae83,96,131072
3,0x97f99f52,0xf17fac67,576,131072
3,0x202d9c95,0x52fa47b4,-704,131072
3,0x83d6ab7a,0xff010eab,1376,131072
3,0xf8b86d02,0xe87c22f9,-320,131072
3,0x3f954ade,0x3b988fb9,-448,131072
3,0x1a00ba22,0x37f7d907,-416,131072
3,0xaeb9dce6,0xbf939dc7,-448,131072
3,0x3c7ba85f,0x2c6c09fd,-64,131072
3,0xefd8deae,0xfe3a21ec,576,131072
3,0x23d6a580,0xe19963d1,-640,131072
3,0x3c266561,0x0f6de8aa,0,131072
3,0x9e1c9719,0x7b0b8119,192,131072
3,0x36d55548,0x26730571,64,131072
3,0xef1d05cd,0x7954a9b2,128,131072
3,0xf8706d32,0x6c0c6b7d,352,131072
3,0x839f781f,0x24c90cec,160,131072
3,0x92c9ed07,0x02662ca6,256,131072
3,0xaf37c5cf,0x32968553,800,131072
3,0x223c0891,0x84960963,-256,131072
3,0x663ced0b,0xf4ffa69f,-64,131072
3,0x94fc7c26,0xfdd6e9be,0,131072
3,0x83da9716,0x7284328a,-256,131072
3,0xdfe26d04,0x233efa33,64,131072
3,0x25b5e13d,0x0443a206,0,131072
3,0xb1ff5116,0xb099be51,-160,131072
3,0xf68deded,0x92471059,-384,131072
3,0x77f1ad6c,0x705ae2a7,-544,131072
3,0x594b5e29,0x7dcd780b,-320,131072
3,0x6f1a930f,0x77d3617a,-384,131072
3,0xf080680c,0xafb62a92,480,131072
3,0x3f1d9f4b,0x5f9d913d,-448,131072
3,0x96e6e43f,0x6964942a,-32,131072
