# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=7b010c6ce9434e64234bd1fb13eaaace1e7814e11670d6ea7271d90194eeb2b0
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=20971520
# v_parity_evaluations=61865984
# logical_query_updates=67108864
# unique_u=20
# unique_v=59
# threads=8
r,u,v,numerator,denominator
3,0x00000003,0xd00d0499,0,1048576
3,0x00000005,0x20020277,0,1048576
3,0x00000005,0x50050233,0,1048576
3,0x00000005,0x50050799,131072,1048576
3,0x00000005,0x60060b33,0,1048576
3,0x00000005,0xd00d0399,131072,1048576
3,0x00000005,0xe00e0177,0,1048576
3,0x00000005,0xe00e0a99,-131072,1048576
3,0x00000005,0xf00f0322,-65536,1048576
3,0x00000006,0xd00d0499,0,1048576
3,0x0000000b,0x10010622,-131072,1048576
3,0x0000000b,0x500501ff,131072,1048576
3,0x0000000b,0x70070177,0,1048576
3,0x0000000b,0x700709dd,0,1048576
3,0x0000000b,0x800806dd,-65536,1048576
3,0x0000000b,0xb00b01bb,0,1048576
3,0x0000000b,0xd00d0499,0,1048576
3,0x0000000b,0xf00f0e77,0,1048576
3,0x0000000d,0x10010dbb,0,1048576
3,0x0000000d,0x50050d77,65536,1048576
3,0x0000000d,0x60060e22,0,1048576
3,0x0000000d,0x800806aa,0,1048576
3,0x0000000d,0xc00c0d66,-65536,1048576
3,0x0000000d,0xe00e0d99,0,1048576
3,0x0000000d,0xf00f0a33,0,1048576
3,0x0000000d,0xf00f0c33,131072,1048576
3,0x00000010,0x00040eee,-32768,1048576
3,0x00000010,0x0c071aab,-17920,1048576
3,0x00000090,0x0301855d,17408,1048576
3,0x00000090,0x05077770,21504,1048576
3,0x00000090,0x090a5227,-17408,1048576
3,0x00000090,0x0d0a922b,31744,1048576
3,0x000000d0,0x040f1aab,19968,1048576
3,0x000000d0,0x05070222,-34816,1048576
3,0x00002020,0x0a00c00c,65536,1048576
3,0x00002020,0x0d006006,49152,1048576
3,0x00007000,0x05051110,-24576,1048576
3,0x0000d000,0x05055ffa,-32768,1048576
3,0x0000d000,0x05058880,32768,1048576
3,0x0000d000,0x0d0dcbb7,32768,1048576
3,0x0000d000,0x0e0e8880,32768,1048576
3,0x0000f000,0x05051110,40960,1048576
3,0x00020000,0x02448008,24576,1048576
3,0x00020000,0x03447007,-32768,1048576
3,0x00020000,0x0566f00f,-24576,1048576
3,0x00020000,0x05eec00c,-40960,1048576
3,0x00020000,0x06ccc00c,-24576,1048576
3,0x00020000,0x0755f00f,-32768,1048576
3,0x00020000,0x08dd4004,32768,1048576
3,0x00020000,0x0f11e00e,-24576,1048576
3,0x000c0000,0x0144e00e,-24576,1048576
3,0x000c0000,0x06559009,-32768,1048576
3,0x000c0000,0x0833a00a,40960,1048576
3,0x000c0000,0x08dd7007,-24576,1048576
3,0x00c00000,0x799e070e,65536,1048576
3,0x00c00000,0x81190001,0,1048576
3,0x00c00000,0x944d0104,0,1048576
3,0x00c00000,0xf11e0c01,65536,1048576
3,0x00f00000,0x51140b05,-65536,1048576
3,0x00f00000,0xa11b0a01,65536,1048576
3,0x30000000,0x9dd40909,-65536,1048576
3,0x40000000,0xd9940909,-65536,1048576
3,0xa0000000,0x9dd40909,-65536,1048576
3,0xd0000000,0xd9940909,-65536,1048576
