# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=4652ed73da5efe45598109867f908180507573a29f44c0c1856c9e3fab557fb2
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=8388608
# v_parity_evaluations=22020096
# logical_query_updates=67108864
# unique_u=8
# unique_v=21
# threads=8
r,u,v,numerator,denominator
3,0xdaf83243,0x78ec02b2,-640,1048576
3,0xdaf83243,0x19785757,-1024,1048576
3,0xdaf83243,0x79c7298d,-512,1048576
3,0xdaf83243,0xee8757a3,-128,1048576
3,0xdaf83243,0xa140755c,448,1048576
3,0xdaf83243,0xafbda252,512,1048576
3,0xdaf83243,0xf9dc7dc1,1216,1048576
3,0xdaf83243,0x2e48e46b,384,1048576
3,0xdaf83243,0xfeed44a5,-1408,1048576
3,0xdaf83243,0xb271dc66,640,1048576
3,0xdaf83243,0x4080d754,-2432,1048576
3,0xdaf83243,0x516d13fd,1280,1048576
3,0xdaf83243,0x8944e36d,128,1048576
3,0xa7570e24,0x78ec02b2,512,1048576
3,0xa7570e24,0x19785757,384,1048576
3,0xa7570e24,0x79c7298d,2176,1048576
3,0xa7570e24,0xee8757a3,-2944,1048576
3,0xa7570e24,0xa140755c,832,1048576
3,0xa7570e24,0xafbda252,-640,1048576
3,0xa7570e24,0xf9dc7dc1,576,1048576
3,0xa7570e24,0x2e48e46b,-1344,1048576
3,0xa7570e24,0xe9c9b8de,-2368,1048576
3,0xa7570e24,0x89744f65,-192,1048576
3,0xa7570e24,0xc2aab527,-1664,1048576
3,0xa7570e24,0x0ff8b768,448,1048576
3,0xaf898328,0x78ec02b2,128,1048576
3,0xaf898328,0x19785757,-768,1048576
3,0xaf898328,0x79c7298d,192,1048576
3,0xaf898328,0xee8757a3,-2304,1048576
3,0xaf898328,0xa140755c,-448,1048576
3,0xaf898328,0x00102a42,384,1048576
3,0xaf898328,0xfeed44a5,0,1048576
3,0xaf898328,0xf467393b,-1472,1048576
3,0xaf898328,0x153d4350,0,1048576
3,0xaf898328,0x9ddec4b0,-192,1048576
3,0xaf898328,0xafbda252,640,1048576
3,0x7e122408,0x78ec02b2,-640,1048576
3,0x7e122408,0x19785757,-128,1048576
3,0x7e122408,0x79c7298d,384,1048576
3,0x7e122408,0xf9dc7dc1,64,1048576
3,0x7e122408,0x2e48e46b,-576,1048576
3,0x7e122408,0xb271dc66,384,1048576
3,0x7e122408,0x4080d754,-384,1048576
3,0x7e122408,0x516d13fd,-2752,1048576
3,0x7e122408,0x8944e36d,0,1048576
3,0xd927dd0b,0x78ec02b2,-128,1048576
3,0xd927dd0b,0x19785757,192,1048576
3,0xd927dd0b,0x79c7298d,-832,1048576
3,0xd927dd0b,0xee8757a3,448,1048576
3,0xd927dd0b,0xe9c9b8de,2752,1048576
3,0xd927dd0b,0xa140755c,-128,1048576
3,0xd927dd0b,0x89744f65,512,1048576
3,0xd927dd0b,0xc2aab527,384,1048576
3,0xd1522722,0x78ec02b2,-448,1048576
3,0xd1522722,0x19785757,-512,1048576
3,0xd1522722,0x0ff8b768,-256,1048576
3,0xd1522722,0x00102a42,768,1048576
3,0xd1522722,0xfeed44a5,2304,1048576
3,0x620ac309,0x78ec02b2,1344,1048576
3,0x620ac309,0xf467393b,-832,1048576
3,0x620ac309,0x153d4350,640,1048576
3,0x620ac309,0x9ddec4b0,-448,1048576
3,0x96ebe300,0x78ec02b2,-2560,1048576
3,0x96ebe300,0xafbda252,-1152,1048576
