# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=1e48df96783a0023aa3464155924200186eb44ae35de1c0b335b2ab21477c252
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=1048576
# plaintext_count=1048576
# permutation_evaluations=1048576
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=64
# unique_v=64
# threads=8
r,u,v,numerator,denominator
3,0xfc4bd080,0xcb5ef8c2,256,1048576
3,0xbed0d10d,0xf9041f58,512,1048576
3,0xf56d9a5b,0xc68ab00b,-256,1048576
3,0x05dd3eae,0x3e71a10b,384,1048576
3,0xee42fa04,0x88262899,-896,1048576
3,0xfc716ed1,0x0e5f5631,576,1048576
3,0x341434d3,0x185e51d9,-320,1048576
3,0x6abb8606,0xee4e4b63,-640,1048576
3,0x3ab436d2,0x6d63b246,0,1048576
3,0xafdf4f82,0x82fe7eed,640,1048576
3,0x5ffa9d35,0xd8fc26b8,-64,1048576
3,0x0c0ef333,0x6206914c,-896,1048576
3,0xe502b0c3,0xf574f563,-128,1048576
3,0x0c0dfb2d,0x1efc8564,1472,1048576
3,0x9b798b14,0x5f2fd604,-640,1048576
3,0xafa7cf8b,0xe78926a2,768,1048576
3,0x3bcecdf9,0x7607cbb7,-192,1048576
3,0x118c088e,0x39736d1f,-384,1048576
3,0x9951cb20,0x3f98451c,256,1048576
3,0x44edafa4,0x973e42e4,128,1048576
3,0x62cc7dea,0xd6dd872e,1280,1048576
3,0xd58336ce,0xbf53d4b4,-512,1048576
3,0x2de0c92c,0xa977a541,-512,1048576
3,0x3741d563,0x3db929d3,1664,1048576
3,0xb2dd33ff,0xfaa66622,1408,1048576
3,0xa06f3f39,0x0a718279,0,1048576
3,0xd1789532,0xcbf27c0a,128,1048576
3,0xb3a17663,0x31b2ee6e,-4096,1048576
3,0xb4e76549,0xd3568f10,-384,1048576
3,0xa80450d5,0xd35eb718,-128,1048576
3,0xe89f1a54,0xec2c9441,-768,1048576
3,0x337d35fe,0xbd29c319,-512,1048576
3,0x5fe7be5e,0x6fd15735,-256,1048576
3,0xefad0f81,0x931ee3bd,-1280,1048576
3,0xc62ec377,0xb4d25001,-512,1048576
3,0x38405445,0x9b6d0b22,2944,1048576
3,0xe90bedb0,0xd2cbd827,896,1048576
3,0x7bddd847,0x40946a1f,-896,1048576
3,0x0c4cbbe0,0x4d8245f4,-640,1048576
3,0x715406bc,0xbdd8b02e,-896,1048576
3,0xd64891e4,0xd4f16b67,-832,1048576
3,0x7aee0cc6,0x7c598475,-128,1048576
3,0x0245347d,0x1062f0cc,-832,1048576
3,0xe3a46a17,0x28b12758,-1024,1048576
3,0x67cddbee,0xdf591c32,128,1048576
3,0x4508bfe1,0x472f1540,0,1048576
3,0xf7779e34,0x0a2dfb78,1152,1048576
3,0x34cf3d83,0x06e5b904,1280,1048576
3,0xcad1b68a,0xdecac3e3,-1792,1048576
3,0x118be4a5,0x11c9db42,-640,1048576
3,0x58e2877d,0xb5a42078,-256,1048576
3,0xf2de536a,0x7a0c95ec,-64,1048576
3,0xf377511b,0x20aa6e83,-320,1048576
3,0x87ca75b7,0xb7c95821,-512,1048576
3,0x46687a26,0xff336ef6,64,1048576
3,0xa5bb98e0,0x0e22f75f,384,1048576
3,0xf6be12a9,0x444de9df,896,1048576
3,0x7829024a,0x8c1b0eb2,1920,1048576
3,0xbfcd3232,0xd0e917ee,1024,1048576
3,0x90510dd9,0x211fb996,-128,1048576
3,0x53145044,0x7ada40e7,0,1048576
3,0x0d3eda1a,0xffeebe9e,192,1048576
3,0x1c1b29bb,0x9a91d880,960,1048576
3,0x78dc3c27,0x0a3538c5,384,1048576
