# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=bb0a12c862ad2484ec963dabd7d4ef97e001efe1924c6836bd0dc55f5717fe6e
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=155476
# range_end=257655
# plaintext_count=102179
# permutation_evaluations=102179
# u_parity_evaluations=4700234
# v_parity_evaluations=4802413
# logical_query_updates=6539456
# unique_u=46
# unique_v=47
# threads=8
r,u,v,numerator,denominator
1,0x00000040,0x00000707,51093,102179
1,0x06000000,0x00000bbb,-102179,102179
1,0x02000000,0x00000111,102179,102179
1,0x0c000000,0x00000666,-102179,102179
1,0x00000040,0x00000f0f,51083,102179
1,0x06000000,0x00000aaa,-102179,102179
1,0x02000000,0x00000555,-102179,102179
1,0x0c000000,0x00000444,-102179,102179
1,0x00000040,0x00000202,51107,102179
1,0x06000000,0x00000222,102179,102179
1,0x02000000,0x00000ddd,102179,102179
1,0x00000040,0x00000a0a,-51075,102179
1,0x06000000,0x00000333,102179,102179
1,0x02000000,0x00000999,-102179,102179
1,0x0000e000,0x00000400,-45621,102179
1,0x00d00000,0x08080000,-102179,102179
1,0x09000000,0x00000ccc,102179,102179
1,0x07000000,0x00000ccc,102179,102179
1,0x0000e000,0x00000600,-52683,102179
1,0x00d00000,0x0c0c0000,102179,102179
1,0x09000000,0x00000888,-102179,102179
1,0x07000000,0x00000bbb,-102179,102179
1,0x00000800,0x04440000,50979,102179
1,0x0000000e,0x40040000,-51089,102179
1,0x0000000b,0xd00d0000,51087,102179
1,0x00000b00,0x0ddd0000,50979,102179
1,0x00000800,0x0eee0000,51253,102179
1,0x0000000e,0x60060000,-51089,102179
1,0x0000000b,0x90090000,-51089,102179
1,0x00000b00,0x09990000,-50979,102179
1,0x0000c000,0x00000400,-53027,102179
1,0x50000000,0x08000000,-102179,102179
1,0x00000008,0x40040000,51091,102179
1,0x00000300,0x0ccc0000,50979,102179
1,0x00008000,0x00000400,53027,102179
1,0x90000000,0x08000000,-102179,102179
1,0x00000700,0x0ccc0000,51421,102179
1,0xd0000000,0x08000000,-102179,102179
1,0x0000000a,0x40040000,-51087,102179
1,0x00000900,0x0ccc0000,50979,102179
1,0x0000a000,0x00000400,-52683,102179
1,0x10000000,0x08000000,-102179,102179
1,0x0000000c,0x40040000,-51091,102179
1,0x00000d00,0x0ccc0000,-50979,102179
1,0x0000000f,0x50050000,51091,102179
1,0x000000b0,0x00000909,-51069,102179
1,0x00010000,0x00007007,-102179,102179
1,0x00006000,0x00000b00,-45621,102179
1,0x00000400,0x0aaa0000,-51253,102179
1,0x00800000,0x04040000,-102179,102179
1,0x00050000,0x00008008,-102179,102179
1,0x000c0000,0x00004004,102179,102179
1,0x00000020,0x00000505,-51069,102179
1,0x00000007,0xc00c0000,51087,102179
1,0x0000d000,0x00000c00,-53027,102179
1,0x00040000,0x00002002,102179,102179
1,0x00400000,0x0f0f0000,102179,102179
1,0x00000200,0x09990000,-51253,102179
1,0x0a000000,0x00000eee,102179,102179
1,0x00500000,0x08080000,-102179,102179
1,0x03000000,0x00000333,102179,102179
1,0x00000010,0x00000808,51107,102179
1,0x00000005,0xf00f0000,51091,102179
1,0x20000000,0x09000000,-102179,102179
