# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=f8bb7508a1d5a389ebe888775b3873ed891761cee20f8f2b84ebf3db75ef9a81
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=100840
# range_end=131072
# plaintext_count=30232
# permutation_evaluations=30232
# u_parity_evaluations=15478784
# v_parity_evaluations=15478784
# logical_query_updates=15478784
# unique_u=122
# unique_v=426
# threads=8
r,u,v,numerator,denominator
2,0x20905000,0x0555599c,-30232,30232
2,0x00600004,0x0500c995,0,30232
2,0x1000a000,0x0aaa0999,18920,30232
2,0x700000d0,0x955c0ddd,-1640,30232
2,0x00507000,0x0ddd4ffb,30232,30232
2,0x00009080,0x73340000,-5528,30232
2,0x00047000,0x9dd40100,7544,30232
2,0x200040e0,0xcdd10888,4104,30232
2,0xb000e000,0x0bbb0aaa,10728,30232
2,0xa0006000,0x09990aaa,22040,30232
2,0x00003010,0xb77c0000,-6296,30232
2,0x20905000,0x05554115,-30232,30232
2,0x00600004,0x0500799e,0,30232
2,0x1000a000,0x03330ccc,5656,30232
2,0x700000d0,0x5dd80ddd,-4488,30232
2,0x00507000,0x0dddabb1,-30232,30232
2,0x00009080,0x3aa90000,-2040,30232
2,0x00047000,0x1ddc0900,7528,30232
2,0x200040e0,0x23310888,-7704,30232
2,0xb000e000,0x03330aaa,-22040,30232
2,0xa0006000,0x0eee0aaa,-10728,30232
2,0x00003010,0x1bba0000,-3480,30232
2,0x20905000,0x05559ee7,30232,30232
2,0x00600004,0x05007dda,0,30232
2,0x1000a000,0x02220ddd,13848,30232
2,0x700000d0,0x34470ddd,-8552,30232
2,0x00507000,0x0ddd5ffa,30232,30232
2,0x00009080,0x9ff60000,-4088,30232
2,0x00047000,0xddd00e00,7576,30232
2,0x200040e0,0x1ffe0888,1016,30232
2,0xb000e000,0x07770eee,13848,30232
2,0xa0006000,0x09990111,22040,30232
2,0x00003010,0x18890000,4712,30232
2,0x20905000,0x0555dcc1,-30232,30232
2,0x00600004,0x0100add7,22674,30232
2,0x1000a000,0x02220999,-13848,30232
2,0x700000d0,0xdbb60ddd,2424,30232
2,0x00507000,0x0ddd1eef,-30232,30232
2,0x00009080,0xdaa70000,1384,30232
2,0x00047000,0xedd30f00,7544,30232
2,0x200040e0,0xb44f0888,5112,30232
2,0xb000e000,0x0fff0eee,13848,30232
2,0xa0006000,0x0eee0222,-10728,30232
2,0x00003010,0xe8860000,8216,30232
2,0x20905000,0x05554eea,30232,30232
2,0x00600004,0x0100299b,22674,30232
2,0x1000a000,0x0aaa0ddd,-18920,30232
2,0x700000d0,0x31120ddd,1688,30232
2,0x00507000,0x0ddd3112,30232,30232
2,0x00009080,0x72250000,2664,30232
2,0x00047000,0x1ddc0600,-15128,30232
2,0x200040e0,0xa11b0888,-8216,30232
2,0xb000e000,0x03330eee,22040,30232
2,0xa0006000,0x01110aaa,-10728,30232
2,0x00003010,0x977e0000,1384,30232
2,0x20905000,0x05554551,30232,30232
2,0x00600004,0x0100edd3,-22674,30232
2,0x1000a000,0x0ccc0ccc,5656,30232
2,0x700000d0,0x56630ddd,-2440,30232
2,0x00507000,0x0ddd7443,30232,30232
2,0x00009080,0x6ee80000,-5512,30232
