# schema=way1-exact-reduced-v2
# implementation=grouped_u
# query_sha256=f8bb7508a1d5a389ebe888775b3873ed891761cee20f8f2b84ebf3db75ef9a81
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=15990784
# v_parity_evaluations=67108864
# logical_query_updates=67108864
r,u,v,numerator,denominator
2,0x20905000,0x0555599c,-98304,131072
2,0x00600004,0x0500c995,0,131072
2,0x1000a000,0x0aaa0999,65536,131072
2,0x700000d0,0x955c0ddd,-16384,131072
2,0x00507000,0x0ddd4ffb,98304,131072
2,0x00009080,0x73340000,-16384,131072
2,0x00047000,0x9dd40100,0,131072
2,0x200040e0,0xcdd10888,16384,131072
2,0xb000e000,0x0bbb0aaa,65536,131072
2,0xa0006000,0x09990aaa,98304,131072
2,0x00003010,0xb77c0000,-24576,131072
2,0x20905000,0x05554115,-98304,131072
2,0x00600004,0x0500799e,0,131072
2,0x1000a000,0x03330ccc,32768,131072
2,0x700000d0,0x5dd80ddd,-16384,131072
2,0x00507000,0x0dddabb1,-98304,131072
2,0x00009080,0x3aa90000,-12288,131072
2,0x00047000,0x1ddc0900,0,131072
2,0x200040e0,0x23310888,-32768,131072
2,0xb000e000,0x03330aaa,-65536,131072
2,0xa0006000,0x0eee0aaa,-32768,131072
2,0x00003010,0x1bba0000,-20480,131072
2,0x20905000,0x05559ee7,98304,131072
2,0x00600004,0x05007dda,0,131072
2,0x1000a000,0x02220ddd,65536,131072
2,0x700000d0,0x34470ddd,-16384,131072
2,0x00507000,0x0ddd5ffa,98304,131072
2,0x00009080,0x9ff60000,-12288,131072
2,0x00047000,0xddd00e00,0,131072
2,0x200040e0,0x1ffe0888,12288,131072
2,0xb000e000,0x07770eee,65536,131072
2,0xa0006000,0x09990111,98304,131072
2,0x00003010,0x18890000,16384,131072
2,0x20905000,0x0555dcc1,-98304,131072
2,0x00600004,0x0100add7,98304,131072
2,0x1000a000,0x02220999,-65536,131072
2,0x700000d0,0xdbb60ddd,12288,131072
2,0x00507000,0x0ddd1eef,-98304,131072
2,0x00009080,0xdaa70000,12288,131072
2,0x00047000,0xedd30f00,0,131072
2,0x200040e0,0xb44f0888,12288,131072
2,0xb000e000,0x0fff0eee,65536,131072
2,0xa0006000,0x0eee0222,-32768,131072
2,0x00003010,0xe8860000,24576,131072
2,0x20905000,0x05554eea,98304,131072
2,0x00600004,0x0100299b,98304,131072
2,0x1000a000,0x0aaa0ddd,-65536,131072
2,0x700000d0,0x31120ddd,12288,131072
2,0x00507000,0x0ddd3112,98304,131072
2,0x00009080,0x72250000,-12288,131072
2,0x00047000,0x1ddc0600,-24576,131072
2,0x200040e0,0xa11b0888,-24576,131072
2,0xb000e000,0x03330eee,65536,131072
