# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=f8bb7508a1d5a389ebe888775b3873ed891761cee20f8f2b84ebf3db75ef9a81
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=112022
# range_end=119024
# plaintext_count=7002
# permutation_evaluations=7002
# u_parity_evaluations=854244
# v_parity_evaluations=3585024
# logical_query_updates=3585024
# unique_u=122
# unique_v=426
# threads=8
r,u,v,numerator,denominator
2,0x20905000,0x0555599c,-7002,7002
2,0x00600004,0x0500c995,0,7002
2,0x1000a000,0x0aaa0999,-1190,7002
2,0x700000d0,0x955c0ddd,-1754,7002
2,0x00507000,0x0ddd4ffb,7002,7002
2,0x00009080,0x73340000,-2138,7002
2,0x00047000,0x9dd40100,1734,7002
2,0x200040e0,0xcdd10888,1370,7002
2,0xb000e000,0x0bbb0aaa,-1190,7002
2,0xa0006000,0x09990aaa,7002,7002
2,0x00003010,0xb77c0000,-698,7002
2,0x20905000,0x05554115,-7002,7002
2,0x00600004,0x0500799e,0,7002
2,0x1000a000,0x03330ccc,-1190,7002
2,0x700000d0,0x5dd80ddd,-90,7002
2,0x00507000,0x0dddabb1,-7002,7002
2,0x00009080,0x3aa90000,314,7002
2,0x00047000,0x1ddc0900,1754,7002
2,0x200040e0,0x23310888,-122,7002
2,0xb000e000,0x03330aaa,-6522,7002
2,0xa0006000,0x0eee0aaa,-1670,7002
2,0x00003010,0x1bba0000,-2682,7002
2,0x20905000,0x05559ee7,7002,7002
2,0x00600004,0x05007dda,0,7002
2,0x1000a000,0x02220ddd,6522,7002
2,0x700000d0,0x34470ddd,-3802,7002
2,0x00507000,0x0ddd5ffa,7002,7002
2,0x00009080,0x9ff60000,-2362,7002
2,0x00047000,0xddd00e00,1734,7002
2,0x200040e0,0x1ffe0888,-678,7002
2,0xb000e000,0x07770eee,1670,7002
2,0xa0006000,0x09990111,7002,7002
2,0x00003010,0x18890000,2778,7002
