# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=f8bb7508a1d5a389ebe888775b3873ed891761cee20f8f2b84ebf3db75ef9a81
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=100656
# range_end=124779
# plaintext_count=24123
# permutation_evaluations=24123
# u_parity_evaluations=2943006
# v_parity_evaluations=10276398
# logical_query_updates=12350976
# unique_u=122
# unique_v=426
# threads=8
r,u,v,numerator,denominator
2,0x20905000,0x0555599c,-24123,24123
2,0x00600004,0x0500c995,1,24123
2,0x1000a000,0x0aaa0999,12443,24123
2,0x700000d0,0x955c0ddd,-613,24123
2,0x00507000,0x0ddd4ffb,24123,24123
2,0x00009080,0x73340000,-4581,24123
2,0x00047000,0x9dd40100,6085,24123
2,0x200040e0,0xcdd10888,2939,24123
2,0xb000e000,0x0bbb0aaa,4251,24123
2,0xa0006000,0x09990aaa,15931,24123
2,0x00003010,0xb77c0000,-3835,24123
2,0x20905000,0x05554115,-24123,24123
2,0x00600004,0x0500799e,-1,24123
2,0x1000a000,0x03330ccc,12133,24123
2,0x700000d0,0x5dd80ddd,-3973,24123
2,0x00507000,0x0dddabb1,-24123,24123
2,0x00009080,0x3aa90000,-2597,24123
2,0x00047000,0x1ddc0900,6043,24123
2,0x200040e0,0x23310888,-4741,24123
2,0xb000e000,0x03330aaa,-15931,24123
2,0xa0006000,0x0eee0aaa,-8645,24123
2,0x00003010,0x1bba0000,-3493,24123
2,0x20905000,0x05559ee7,24123,24123
2,0x00600004,0x05007dda,1,24123
2,0x1000a000,0x02220ddd,7739,24123
2,0x700000d0,0x34470ddd,-7035,24123
2,0x00507000,0x0ddd5ffa,24123,24123
2,0x00009080,0x9ff60000,-3643,24123
2,0x00047000,0xddd00e00,6053,24123
2,0x200040e0,0x1ffe0888,443,24123
2,0xb000e000,0x07770eee,15931,24123
2,0xa0006000,0x09990111,15931,24123
2,0x00003010,0x18890000,4699,24123
2,0x20905000,0x0555dcc1,-24123,24123
2,0x00600004,0x0100add7,18091,24123
2,0x1000a000,0x02220999,-7739,24123
2,0x700000d0,0xdbb60ddd,1947,24123
2,0x00507000,0x0ddd1eef,-24123,24123
2,0x00009080,0xdaa70000,1435,24123
2,0x00047000,0xedd30f00,5979,24123
2,0x200040e0,0xb44f0888,5669,24123
2,0xb000e000,0x0fff0eee,12133,24123
2,0xa0006000,0x0eee0222,-8645,24123
2,0x00003010,0xe8860000,6075,24123
2,0x20905000,0x05554eea,24123,24123
2,0x00600004,0x0100299b,18091,24123
2,0x1000a000,0x0aaa0ddd,-12443,24123
2,0x700000d0,0x31120ddd,2075,24123
2,0x00507000,0x0ddd3112,24123,24123
2,0x00009080,0x72250000,1605,24123
2,0x00047000,0x1ddc0600,-12101,24123
2,0x200040e0,0xa11b0888,-8229,24123
2,0xb000e000,0x03330eee,15931,24123
2,0xa0006000,0x01110aaa,-4251,24123
2,0x00003010,0x977e0000,1467,24123
2,0x20905000,0x05554551,24123,24123
2,0x00600004,0x0100edd3,-18091,24123
2,0x1000a000,0x0ccc0ccc,7739,24123
2,0x700000d0,0x56630ddd,-3035,24123
2,0x00507000,0x0ddd7443,24123,24123
2,0x00009080,0x6ee80000,-4101,24123
2,0x00047000,0xddd00100,6021,24123
2,0x200040e0,0xa44e0888,4101,24123
2,0xb000e000,0x03330666,15931,24123
2,0xa0006000,0x06660222,-12443,24123
2,0x00003010,0xb66d0000,-4901,24123
2,0x20905000,0x05552331,24123,24123
2,0x00600004,0x01008991,-18091,24123
2,0x1000a000,0x0aaa0555,-12443,24123
2,0x700000d0,0x32210ddd,-4069,24123
2,0x00507000,0x0ddde11f,24123,24123
2,0x00009080,0x966f0000,4549,24123
2,0x00047000,0xedd30500,-6085,24123
2,0x200040e0,0xf33c0888,-2587,24123
2,0xb000e000,0x07770aaa,-15931,24123
2,0xa0006000,0x09990eee,-15931,24123
2,0x00003010,0xdff20000,3941,24123
2,0x20905000,0x0555a339,-24123,24123
2,0x00600004,0x05000ddd,-1,24123
2,0x1000a000,0x06660444,7739,24123
2,0x700000d0,0x91180ddd,1435,24123
2,0x00507000,0x0ddd5114,-24123,24123
2,0x00009080,0xfcc30000,-4293,24123
2,0x00047000,0x9dd40500,-6107,24123
2,0x200040e0,0xbcc70888,4539,24123
2,0xb000e000,0x0bbb0eee,-4251,24123
2,0xa0006000,0x01110222,-4251,24123
2,0x00003010,0x499d0000,-2459,24123
2,0x20905000,0x05551554,-24123,24123
2,0x00600004,0x0500f996,1,24123
2,0x1000a000,0x0aaa0ccc,-12443,24123
2,0x700000d0,0xfee10ddd,2555,24123
2,0x00507000,0x0dddb55e,24123,24123
2,0x00009080,0xc8840000,-5147,24123
2,0x00047000,0x9dd40b00,-12059,24123
2,0x200040e0,0x8cc40888,2085,24123
2,0xb000e000,0x07770666,15931,24123
2,0xa0006000,0x09990666,-15931,24123
2,0x00003010,0xe9970000,-3931,24123
2,0x20905000,0x05556cca,24123,24123
2,0x00600004,0x0500399a,1,24123
2,0x1000a000,0x0aaa0666,-12443,24123
2,0x700000d0,0x71160ddd,-2469,24123
2,0x00507000,0x0ddd4eea,24123,24123
2,0x00009080,0xf44b0000,3749,24123
2,0x00047000,0x4dd90400,-37,24123
2,0x200040e0,0xb00b0888,-475,24123
2,0xb000e000,0x0bbb0666,-4251,24123
2,0xa0006000,0x0ccc0aaa,3941,24123
2,0x00003010,0x9bb20000,-2651,24123
2,0x20905000,0x05555114,-24123,24123
2,0x00600004,0x0d00833b,1,24123
2,0x1000a000,0x09990ccc,-4251,24123
2,0x700000d0,0xdff20ddd,3995,24123
2,0x00507000,0x0ddd8880,-24123,24123
