# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=5b19da744dc79bde4b3c93806d1ef0e686f6fa1dfe07340454965de4c8bece00
# program_sha256=293cebcd6caf6c7f16ed884339dfcee707e5d4dbdd03129fa3539c589a416970
# range_start=0
# range_end=131072
# plaintext_count=131072
# permutation_evaluations=131072
# u_parity_evaluations=67108864
# v_parity_evaluations=67108864
# logical_query_updates=67108864
# unique_u=8
# unique_v=167
# threads=8
r,u,v,numerator,denominator
3,0x25f0c584,0xb2a32963,736,131072
3,0x32c0641d,0x51ceacf3,-160,131072
3,0x8f2ecae1,0xfcc6daf5,288,131072
3,0xade9b4e0,0x01722e1e,-96,131072
3,0xbabb33e3,0x679bec19,-448,131072
3,0xbabb33e3,0x5bb0b2ff,-832,131072
3,0xbabb33e3,0x6ac1fd5d,-224,131072
3,0x32c0641d,0xb2a32963,-160,131072
3,0x32c0641d,0x795341a2,160,131072
3,0xade9b4e0,0xb45e8ded,128,131072
3,0x25f0c584,0x6fccbf88,-128,131072
3,0x8f2ecae1,0x6bea2b3a,-544,131072
3,0xade9b4e0,0x80c61e87,384,131072
3,0xbabb33e3,0x2ea3674e,160,131072
3,0x25f0c584,0x8aaf26d1,-96,131072
3,0x25f0c584,0xfcc6daf5,-128,131072
3,0xade9b4e0,0xfc6b87f0,-128,131072
3,0x01db7a2b,0x8267f7e1,-128,131072
3,0x32c0641d,0x92088483,-128,131072
3,0x669e4dbf,0xf414309d,192,131072
3,0xbabb33e3,0xa0a3a7a0,-224,131072
3,0x8f2ecae1,0x682182b3,-352,131072
3,0x669e4dbf,0xad76b9cc,-480,131072
3,0x32c0641d,0xf414309d,160,131072
3,0xade9b4e0,0x46cb3586,288,131072
3,0x669e4dbf,0xb45e8ded,224,131072
3,0xade9b4e0,0xa36fc5ac,-512,131072
3,0x32c0641d,0xd0542d4f,96,131072
3,0x25f0c584,0x8fa0d7a7,-64,131072
3,0x01db7a2b,0x85e1172d,-192,131072
3,0x8f2ecae1,0xfc2a458f,32,131072
3,0x32c0641d,0x6d957c23,480,131072
3,0xade9b4e0,0x98d4182f,160,131072
3,0x25f0c584,0x7da36075,576,131072
3,0x32c0641d,0xdad2ac29,-64,131072
3,0xade9b4e0,0x38ca6118,128,131072
3,0xade9b4e0,0x3581df33,0,131072
3,0x8f2ecae1,0x29b1b908,-640,131072
3,0xade9b4e0,0xfc2a458f,-448,131072
3,0xbabb33e3,0x0e95a270,-416,131072
3,0x8f2ecae1,0x3581df33,352,131072
3,0x8f2ecae1,0x6b556f1d,-256,131072
3,0xbabb33e3,0x2fb2100e,512,131072
3,0xbabb33e3,0x1eb10f06,128,131072
3,0x32c0641d,0x464c484f,-416,131072
3,0x8f2ecae1,0xe4b60034,0,131072
3,0xade9b4e0,0xddab1bbb,-192,131072
