# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=5b19da744dc79bde4b3c93806d1ef0e686f6fa1dfe07340454965de4c8bece00
# program_sha256=a9994bf381cd700ff9f4491bc1d548e29b7801930573f7a7f2b9cff524c96943
# range_start=29081
# range_end=43486
# plaintext_count=14405
# permutation_evaluations=14405
# u_parity_evaluations=115240
# v_parity_evaluations=7375360
# logical_query_updates=7375360
# unique_u=8
# unique_v=167
# threads=8
r,u,v,numerator,denominator
3,0x25f0c584,0xb2a32963,-31,14405
3,0x32c0641d,0x51ceacf3,-43,14405
3,0x8f2ecae1,0xfcc6daf5,105,14405
3,0xade9b4e0,0x01722e1e,-51,14405
3,0xbabb33e3,0x679bec19,-135,14405
3,0xbabb33e3,0x5bb0b2ff,-67,14405
3,0xbabb33e3,0x6ac1fd5d,-283,14405
3,0x32c0641d,0xb2a32963,21,14405
3,0x32c0641d,0x795341a2,117,14405
3,0xade9b4e0,0xb45e8ded,31,14405
3,0x25f0c584,0x6fccbf88,-87,14405
3,0x8f2ecae1,0x6bea2b3a,279,14405
3,0xade9b4e0,0x80c61e87,109,14405
3,0xbabb33e3,0x2ea3674e,19,14405
3,0x25f0c584,0x8aaf26d1,-173,14405
3,0x25f0c584,0xfcc6daf5,-163,14405
3,0xade9b4e0,0xfc6b87f0,-409,14405
3,0x01db7a2b,0x8267f7e1,-205,14405
3,0x32c0641d,0x92088483,199,14405
3,0x669e4dbf,0xf414309d,-63,14405
3,0xbabb33e3,0xa0a3a7a0,69,14405
3,0x8f2ecae1,0x682182b3,97,14405
3,0x669e4dbf,0xad76b9cc,-33,14405
3,0x32c0641d,0xf414309d,7,14405
3,0xade9b4e0,0x46cb3586,51,14405
3,0x669e4dbf,0xb45e8ded,45,14405
3,0xade9b4e0,0xa36fc5ac,21,14405
3,0x32c0641d,0xd0542d4f,109,14405
3,0x25f0c584,0x8fa0d7a7,-55,14405
3,0x01db7a2b,0x85e1172d,-5,14405
3,0x8f2ecae1,0xfc2a458f,-161,14405
3,0x32c0641d,0x6d957c23,11,14405
3,0xade9b4e0,0x98d4182f,-11,14405
3,0x25f0c584,0x7da36075,45,14405
3,0x32c0641d,0xdad2ac29,-79,14405
3,0xade9b4e0,0x38ca6118,-31,14405
3,0xade9b4e0,0x3581df33,-129,14405
3,0x8f2ecae1,0x29b1b908,-95,14405
3,0xade9b4e0,0xfc2a458f,-49,14405
3,0xbabb33e3,0x0e95a270,37,14405
3,0x8f2ecae1,0x3581df33,-41,14405
3,0x8f2ecae1,0x6b556f1d,63,14405
