# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=5b19da744dc79bde4b3c93806d1ef0e686f6fa1dfe07340454965de4c8bece00
# program_sha256=36acfe61f25ad7b2fed0e82373c42775ce1c63ea00cc39be47aa9a65cf820dca
# range_start=92489
# range_end=126045
# plaintext_count=33556
# permutation_evaluations=33556
# u_parity_evaluations=268448
# v_parity_evaluations=5603852
# logical_query_updates=17180672
# unique_u=8
# unique_v=167
# threads=8
r,u,v,numerator,denominator
3,0x25f0c584,0xb2a32963,270,33556
3,0x32c0641d,0x51ceacf3,-332,33556
3,0x8f2ecae1,0xfcc6daf5,196,33556
3,0xade9b4e0,0x01722e1e,140,33556
3,0xbabb33e3,0x679bec19,64,33556
3,0xbabb33e3,0x5bb0b2ff,-114,33556
3,0xbabb33e3,0x6ac1fd5d,-334,33556
3,0x32c0641d,0xb2a32963,-84,33556
3,0x32c0641d,0x795341a2,-146,33556
3,0xade9b4e0,0xb45e8ded,-142,33556
3,0x25f0c584,0x6fccbf88,74,33556
3,0x8f2ecae1,0x6bea2b3a,-4,33556
3,0xade9b4e0,0x80c61e87,48,33556
3,0xbabb33e3,0x2ea3674e,20,33556
3,0x25f0c584,0x8aaf26d1,-150,33556
3,0x25f0c584,0xfcc6daf5,82,33556
3,0xade9b4e0,0xfc6b87f0,-178,33556
3,0x01db7a2b,0x8267f7e1,26,33556
3,0x32c0641d,0x92088483,-118,33556
3,0x669e4dbf,0xf414309d,-18,33556
3,0xbabb33e3,0xa0a3a7a0,156,33556
3,0x8f2ecae1,0x682182b3,-194,33556
3,0x669e4dbf,0xad76b9cc,-76,33556
3,0x32c0641d,0xf414309d,116,33556
3,0xade9b4e0,0x46cb3586,150,33556
3,0x669e4dbf,0xb45e8ded,-106,33556
3,0xade9b4e0,0xa36fc5ac,-2,33556
3,0x32c0641d,0xd0542d4f,-212,33556
3,0x25f0c584,0x8fa0d7a7,32,33556
3,0x01db7a2b,0x85e1172d,-46,33556
3,0x8f2ecae1,0xfc2a458f,-212,33556
3,0x32c0641d,0x6d957c23,22,33556
3,0xade9b4e0,0x98d4182f,-130,33556
3,0x25f0c584,0x7da36075,332,33556
3,0x32c0641d,0xdad2ac29,122,33556
3,0xade9b4e0,0x38ca6118,156,33556
3,0xade9b4e0,0x3581df33,50,33556
3,0x8f2ecae1,0x29b1b908,-164,33556
3,0xade9b4e0,0xfc2a458f,-186,33556
3,0xbabb33e3,0x0e95a270,-244,33556
3,0x8f2ecae1,0x3581df33,272,33556
3,0x8f2ecae1,0x6b556f1d,24,33556
3,0xbabb33e3,0x2fb2100e,214,33556
3,0xbabb33e3,0x1eb10f06,96,33556
3,0x32c0641d,0x464c484f,-54,33556
3,0x8f2ecae1,0xe4b60034,-298,33556
3,0xade9b4e0,0xddab1bbb,-142,33556
3,0x25f0c584,0x1ceb5c0f,-2,33556
3,0x8f2ecae1,0xe564b06c,20,33556
3,0x32c0641d,0xbc909452,-4,33556
3,0xbabb33e3,0x98d4182f,116,33556
3,0xade9b4e0,0x8998f3be,204,33556
3,0x669e4dbf,0x1eb10f06,222,33556
3,0x669e4dbf,0x20049c16,104,33556
3,0x8f2ecae1,0x46347e29,-364,33556
3,0xbabb33e3,0x2b736b89,148,33556
3,0xbabb33e3,0x4d5cf120,60,33556
3,0xade9b4e0,0x1eb10f06,-2,33556
3,0x32c0641d,0xd5ba5d17,422,33556
3,0x8f2ecae1,0xf414309d,116,33556
3,0x8f2ecae1,0xbf040c64,2,33556
3,0x8f2ecae1,0x2ea3674e,-124,33556
3,0x01db7a2b,0xb21532b2,4,33556
3,0x32c0641d,0x59a7785c,-104,33556
3,0x669e4dbf,0x6d957c23,-280,33556
3,0x669e4dbf,0x4cb175a2,-92,33556
3,0xade9b4e0,0x1a5ae8a3,140,33556
3,0xade9b4e0,0xdad2ac29,192,33556
3,0x32c0641d,0x04aab030,-38,33556
3,0xade9b4e0,0xf5ae665d,82,33556
3,0xade9b4e0,0xfcc6daf5,202,33556
3,0xbabb33e3,0x9781fb46,-180,33556
3,0xbabb33e3,0xed0b3305,-78,33556
3,0xbabb33e3,0x67aba996,-46,33556
3,0x8f2ecae1,0xd0542d4f,-28,33556
3,0x8f2ecae1,0x3f6731af,246,33556
3,0x01db7a2b,0x93dbda7b,174,33556
3,0x8f2ecae1,0xcc4dbd59,272,33556
3,0x669e4dbf,0x8edf2451,100,33556
3,0x01db7a2b,0xed0b3305,-256,33556
3,0xade9b4e0,0x92088483,68,33556
3,0xbabb33e3,0xddab1bbb,-84,33556
3,0xade9b4e0,0x9487dd7f,174,33556
3,0x669e4dbf,0x2b736b89,194,33556
3,0xbabb33e3,0xa06025fe,38,33556
3,0xade9b4e0,0x0e95a270,-282,33556
3,0x25f0c584,0x8998f3be,-96,33556
3,0x32c0641d,0x20049c16,-142,33556
3,0xade9b4e0,0xdf4e5f18,288,33556
3,0x32c0641d,0x049c2005,-130,33556
3,0x8f2ecae1,0x1ceb5c0f,68,33556
3,0x669e4dbf,0x0a353f46,240,33556
3,0x01db7a2b,0x1e5deeab,164,33556
3,0x01db7a2b,0xe76b795a,-16,33556
