# schema=way1-exact-shard-v2
# implementation=grouped_uv
# query_sha256=bb0a12c862ad2484ec963dabd7d4ef97e001efe1924c6836bd0dc55f5717fe6e
# program_sha256=150158b0935ade9ace5fedf4de4be245cca6cbd6f6c591a08122a2e61b66cafe
# range_start=0
# range_end=16384
# plaintext_count=16384
# permutation_evaluations=16384
# u_parity_evaluations=753664
# v_parity_evaluations=770048
# logical_query_updates=1048576
# unique_u=46
# unique_v=47
# threads=1
r,u,v,numerator,denominator
1,0x00000040,0x00000707,8192,16384
1,0x06000000,0x00000bbb,-16384,16384
1,0x02000000,0x00000111,16384,16384
1,0x0c000000,0x00000666,-16384,16384
1,0x00000040,0x00000f0f,8192,16384
1,0x06000000,0x00000aaa,-16384,16384
1,0x02000000,0x00000555,-16384,16384
1,0x0c000000,0x00000444,-16384,16384
1,0x00000040,0x00000202,8192,16384
1,0x06000000,0x00000222,16384,16384
1,0x02000000,0x00000ddd,16384,16384
1,0x00000040,0x00000a0a,-8192,16384
1,0x06000000,0x00000333,16384,16384
1,0x02000000,0x00000999,-16384,16384
1,0x0000e000,0x00000400,-16384,16384
1,0x00d00000,0x08080000,-16384,16384
1,0x09000000,0x00000ccc,16384,16384
1,0x07000000,0x00000ccc,16384,16384
1,0x0000e000,0x00000600,-8192,16384
1,0x00d00000,0x0c0c0000,16384,16384
1,0x09000000,0x00000888,-16384,16384
1,0x07000000,0x00000bbb,-16384,16384
1,0x00000800,0x04440000,8192,16384
1,0x0000000e,0x40040000,-8192,16384
1,0x0000000b,0xd00d0000,8192,16384
1,0x00000b00,0x0ddd0000,8192,16384
1,0x00000800,0x0eee0000,8192,16384
1,0x0000000e,0x60060000,-8192,16384
1,0x0000000b,0x90090000,-8192,16384
1,0x00000b00,0x09990000,-8192,16384
1,0x0000c000,0x00000400,0,16384
1,0x50000000,0x08000000,-16384,16384
1,0x00000008,0x40040000,8192,16384
1,0x00000300,0x0ccc0000,8192,16384
1,0x00008000,0x00000400,0,16384
1,0x90000000,0x08000000,-16384,16384
1,0x00000700,0x0ccc0000,8192,16384
1,0xd0000000,0x08000000,-16384,16384
1,0x0000000a,0x40040000,-8192,16384
1,0x00000900,0x0ccc0000,8192,16384
1,0x0000a000,0x00000400,-16384,16384
1,0x10000000,0x08000000,-16384,16384
1,0x0000000c,0x40040000,-8192,16384
1,0x00000d00,0x0ccc0000,-8192,16384
1,0x0000000f,0x50050000,8192,16384
1,0x000000b0,0x00000909,-8192,16384
1,0x00010000,0x00007007,-16384,16384
1,0x00006000,0x00000b00,-16384,16384
1,0x00000400,0x0aaa0000,-8192,16384
1,0x00800000,0x04040000,-16384,16384
1,0x00050000,0x00008008,-16384,16384
1,0x000c0000,0x00004004,-16384,16384
1,0x00000020,0x00000505,-8192,16384
1,0x00000007,0xc00c0000,8192,16384
1,0x0000d000,0x00000c00,0,16384
1,0x00040000,0x00002002,16384,16384
1,0x00400000,0x0f0f0000,16384,16384
1,0x00000200,0x09990000,-8192,16384
1,0x0a000000,0x00000eee,16384,16384
1,0x00500000,0x08080000,-16384,16384
1,0x03000000,0x00000333,16384,16384
1,0x00000010,0x00000808,8192,16384
1,0x00000005,0xf00f0000,8192,16384
1,0x20000000,0x09000000,-16384,16384
