# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=c8bcfc0d6bc52a8f0a8396ce8e0959d59be5de561a20dd81d326318884f4c969
# program_sha256=26d62d6d97217327b9adf8ce7351e30a216843d56f01c644821b5a56b3fbbcbb
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=262144
# v_parity_evaluations=262144
# logical_query_updates=262144
# unique_u=20
# unique_v=60
# threads=1
r,u,v,numerator,denominator
2,0xc0009000,0x02220333,4096,4096
2,0x60000030,0x88800999,0,4096
2,0x00092000,0xd8850100,-1024,4096
2,0x600000e0,0x8ff70999,0,4096
2,0xc0009000,0x02220fff,-4096,4096
2,0x60000030,0xb3380999,0,4096
2,0x00092000,0x98810d00,2048,4096
2,0x600000e0,0xf22d0999,1024,4096
2,0xc0009000,0x0aaa0777,-4096,4096
2,0x60000030,0x933a0999,1024,4096
2,0x00092000,0x18890d00,-1024,4096
2,0x600000e0,0x3bb80999,1024,4096
2,0xc0009000,0x0ccc0fff,4096,4096
2,0x60000030,0x6ff90999,0,4096
2,0x00092000,0x18890400,-2048,4096
2,0x600000e0,0x3ccf0999,-1024,4096
2,0xc0009000,0x0eee0fff,4096,4096
2,0x60000030,0xeff10999,0,4096
2,0x00092000,0xc8840c00,0,4096
2,0x600000e0,0x7aad0999,1024,4096
2,0xc0009000,0x03330777,-4096,4096
2,0x60000030,0x66600999,0,4096
2,0x00092000,0x488c0f00,0,4096
2,0x600000e0,0x33300999,1024,4096
2,0xc0009000,0x0bbb0333,4096,4096
2,0x60000030,0xf6690999,-1024,4096
2,0x00092000,0x488c0900,-2048,4096
2,0x600000e0,0x72250999,1024,4096
2,0xc0009000,0x02220bbb,4096,4096
2,0x60000030,0x8cc40999,0,4096
2,0x00092000,0x688e0400,0,4096
2,0x600000e0,0xfaa50999,1024,4096
2,0xf0000900,0x0606699f,-2048,4096
2,0x2a000090,0x23310f8f,-1024,4096
2,0x00303000,0x04447661,-4096,4096
2,0x00e00000,0x00002775,-4096,4096
2,0xf0000900,0x04041889,0,4096
2,0x2a000090,0xabb10f8f,1024,4096
2,0x00303000,0x04446771,-4096,4096
2,0x00e00000,0x00008880,-4096,4096
2,0xf0000900,0x04049881,0,4096
2,0x2a000090,0x66600282,0,4096
2,0x00303000,0x04446660,-4096,4096
2,0x00e00000,0x0000fff0,-4096,4096
2,0xf0000900,0x0404588d,0,4096
2,0x2a000090,0x32210f8f,0,4096
2,0x00303000,0x0ccc6660,-4096,4096
2,0x00e00000,0x00002bb9,4096,4096
2,0x20300009,0x06000ccc,-2048,4096
2,0x0000a400,0x07275114,0,4096
2,0x0b00f000,0x81190808,4096,4096
2,0x00080050,0x6ee80700,2048,4096
2,0x20300009,0x04000eee,1024,4096
2,0x0000a400,0x07271554,0,4096
2,0x0b00f000,0xc11d0c0c,4096,4096
2,0x00080050,0x6ee80f00,0,4096
2,0x10800000,0x0000b00b,-4096,4096
2,0x00003090,0xb8830000,1024,4096
2,0x02000020,0x00000505,-1024,4096
2,0x070000d0,0x00000b0b,-1024,4096
2,0x40800000,0x0000b00b,-4096,4096
2,0x0000c0f0,0xb8830000,0,4096
2,0x05000090,0x00000505,-1024,4096
2,0x030000e0,0x00000b0b,-1024,4096
