# schema=way1-exact-shard-v2
# implementation=grouped_u
# query_sha256=e24e15b6443b192db4665fc4b8dd5cba17aa01293a92d1ec5ca7ec9cdce4f258
# program_sha256=c4b44f072d564dcc51b33a253a57e88c22f96291d3dabe8f807385451931a184
# range_start=0
# range_end=4096
# plaintext_count=4096
# permutation_evaluations=4096
# u_parity_evaluations=81920
# v_parity_evaluations=262144
# logical_query_updates=262144
# unique_u=20
# unique_v=59
# threads=1
r,u,v,numerator,denominator
3,0x0000000b,0x30030c22,256,4096
3,0x60000000,0xc8840707,1024,4096
3,0x00070000,0x0dbb8008,-256,4096
3,0x0000000f,0x500500bb,0,4096
3,0x0000000b,0xd00d0544,0,4096
3,0x60000000,0x9dd40d0d,-2048,4096
3,0x00070000,0x07eed00d,512,4096
3,0x0000000f,0xf00f0788,-512,4096
3,0x0000000b,0xd00d0077,0,4096
3,0x60000000,0xcbb70b0b,0,4096
3,0x00070000,0x04cc3003,0,4096
3,0x0000000f,0x70070422,-256,4096
3,0x0000000b,0xd00d0622,-768,4096
3,0x60000000,0x27750a0a,-1024,4096
3,0x00070000,0x0eaa4004,0,4096
3,0x0000000f,0x30030e44,0,4096
3,0x0000000b,0xa00a0e55,0,4096
3,0x60000000,0xc33f0303,-1024,4096
3,0x00070000,0x0855d00d,256,4096
3,0x0000000f,0x70070199,0,4096
3,0x0000000b,0x700705dd,-256,4096
3,0x60000000,0xc33f0707,-1024,4096
3,0x00070000,0x0dffa00a,-512,4096
3,0x0000000f,0xd00d01cc,-512,4096
3,0x0000000b,0x10010011,0,4096
3,0x60000000,0x6cca0b0b,0,4096
3,0x00070000,0x0133b00b,512,4096
3,0x0000000f,0x80080844,0,4096
3,0x0000000b,0x10010acc,-768,4096
3,0x60000000,0xbcc70c0c,-1024,4096
3,0x00070000,0x09ff9009,512,4096
3,0x0000000f,0x60060122,768,4096
3,0x00c00000,0x699f080d,1024,4096
3,0x00007000,0x0b0b3665,0,4096
3,0xc0000000,0xa2280909,1024,4096
3,0x00002000,0x05057ee9,-256,4096
3,0x00c00000,0x09990e03,-1024,4096
3,0x00007000,0x0f0fbcc7,0,4096
3,0xc0000000,0xa55f0202,-2048,4096
3,0x00002000,0x0e0e3eed,-512,4096
3,0x00c00000,0x8dd50e0b,-1024,4096
3,0x00007000,0x07076cca,0,4096
3,0xc0000000,0x1ccd0606,1024,4096
3,0x00002000,0x01014dd9,256,4096
3,0x00c00000,0x0333060a,0,4096
3,0x00007000,0x0b0ba882,-256,4096
3,0xc0000000,0x31120c0c,0,4096
3,0x00002000,0x0707b44f,-256,4096
3,0x00d00000,0xfff0070f,-2048,4096
3,0x00800000,0x0aaa050a,1024,4096
3,0x000000d0,0x080a5227,-160,4096
3,0x00000040,0x020d0fff,-64,4096
3,0x00d00000,0x52270a02,0,4096
3,0x00800000,0x1ffe090a,-1024,4096
3,0x000000d0,0x0a090ddd,128,4096
3,0x00000040,0x04084aae,192,4096
3,0x0000a000,0x0b0bbbb0,-256,4096
3,0xf0000000,0xd9940d0d,-1024,4096
3,0xa0000000,0x9dd40d0d,-2048,4096
3,0x00030000,0x02446006,-256,4096
3,0x00006000,0x0b0bbbb0,-256,4096
3,0x70000000,0xd9940d0d,-1024,4096
3,0x30000000,0x9dd40d0d,-2048,4096
3,0x00050000,0x02446006,-256,4096
