# schema=way1-exact-shard-v2
# implementation=current
# query_sha256=c8bcfc0d6bc52a8f0a8396ce8e0959d59be5de561a20dd81d326318884f4c969
# program_sha256=7d43c1a0ac5825d1b40758514051b1026ac7079e51895d2ab140e39eabd5a694
# range_start=0
# range_end=65536
# plaintext_count=65536
# permutation_evaluations=65536
# u_parity_evaluations=4194304
# v_parity_evaluations=4194304
# logical_query_updates=4194304
# unique_u=20
# unique_v=60
# threads=1
r,u,v,numerator,denominator
2,0xc0009000,0x02220333,-16384,65536
2,0x60000030,0x88800999,-8192,65536
2,0x00092000,0xd8850100,-16384,65536
2,0x600000e0,0x8ff70999,8192,65536
2,0xc0009000,0x02220fff,16384,65536
2,0x60000030,0xb3380999,8192,65536
2,0x00092000,0x98810d00,32768,65536
2,0x600000e0,0xf22d0999,-8192,65536
2,0xc0009000,0x0aaa0777,16384,65536
2,0x60000030,0x933a0999,6144,65536
2,0x00092000,0x18890d00,-16384,65536
2,0x600000e0,0x3bb80999,12288,65536
2,0xc0009000,0x0ccc0fff,16384,65536
2,0x60000030,0x6ff90999,6144,65536
2,0x00092000,0x18890400,-32768,65536
2,0x600000e0,0x3ccf0999,-8192,65536
2,0xc0009000,0x0eee0fff,32768,65536
2,0x60000030,0xeff10999,6144,65536
2,0x00092000,0xc8840c00,0,65536
2,0x600000e0,0x7aad0999,12288,65536
2,0xc0009000,0x03330777,-16384,65536
2,0x60000030,0x66600999,12288,65536
2,0x00092000,0x488c0f00,0,65536
2,0x600000e0,0x33300999,-12288,65536
2,0xc0009000,0x0bbb0333,16384,65536
2,0x60000030,0xf6690999,6144,65536
2,0x00092000,0x488c0900,-32768,65536
2,0x600000e0,0x72250999,-12288,65536
2,0xc0009000,0x02220bbb,-16384,65536
2,0x60000030,0x8cc40999,-8192,65536
2,0x00092000,0x688e0400,0,65536
2,0x600000e0,0xfaa50999,8192,65536
2,0xf0000900,0x0606699f,-32768,65536
2,0x2a000090,0x23310f8f,0,65536
2,0x00303000,0x04447661,-32768,65536
2,0x00e00000,0x00002775,-65536,65536
2,0xf0000900,0x04041889,0,65536
2,0x2a000090,0xabb10f8f,0,65536
2,0x00303000,0x04446771,-32768,65536
2,0x00e00000,0x00008880,-65536,65536
2,0xf0000900,0x04049881,0,65536
2,0x2a000090,0x66600282,-16384,65536
2,0x00303000,0x04446660,-32768,65536
2,0x00e00000,0x0000fff0,-65536,65536
2,0xf0000900,0x0404588d,0,65536
2,0x2a000090,0x32210f8f,0,65536
2,0x00303000,0x0ccc6660,32768,65536
2,0x00e00000,0x00002bb9,65536,65536
2,0x20300009,0x06000ccc,-32768,65536
2,0x0000a400,0x07275114,0,65536
2,0x0b00f000,0x81190808,16384,65536
2,0x00080050,0x6ee80700,6144,65536
2,0x20300009,0x04000eee,16384,65536
2,0x0000a400,0x07271554,0,65536
2,0x0b00f000,0xc11d0c0c,16384,65536
2,0x00080050,0x6ee80f00,6144,65536
2,0x10800000,0x0000b00b,-65536,65536
2,0x00003090,0xb8830000,8192,65536
2,0x02000020,0x00000505,-16384,65536
2,0x070000d0,0x00000b0b,-16384,65536
2,0x40800000,0x0000b00b,-65536,65536
2,0x0000c0f0,0xb8830000,-6144,65536
2,0x05000090,0x00000505,-16384,65536
2,0x030000e0,0x00000b0b,-16384,65536
