r,u,v
1,0x00000001,0x70070000
1,0x00000001,0x80080000
1,0x00000002,0x10010000
1,0x00000002,0x50050000
1,0x00000002,0x90090000
1,0x00000002,0xd00d0000
1,0x00000003,0x30030000
1,0x00000003,0xc00c0000
1,0x00000004,0x20020000
1,0x00000004,0x70070000
1,0x00000004,0xa00a0000
1,0x00000004,0xf00f0000
1,0x00000005,0x80080000
1,0x00000005,0xf00f0000
1,0x00000006,0x20020000
1,0x00000006,0x30030000
1,0x00000006,0xa00a0000
1,0x00000006,0xb00b0000
1,0x00000007,0xb00b0000
1,0x00000007,0xc00c0000
1,0x00000008,0x40040000
1,0x00000008,0xe00e0000
1,0x00000009,0x80080000
1,0x00000009,0xc00c0000
1,0x0000000a,0x40040000
1,0x0000000a,0xe00e0000
1,0x0000000b,0x90090000
1,0x0000000b,0xd00d0000
1,0x0000000c,0x40040000
1,0x0000000c,0x60060000
1,0x0000000d,0x80080000
1,0x0000000d,0xc00c0000
1,0x0000000e,0x40040000
1,0x0000000e,0x60060000
1,0x0000000f,0x10010000
1,0x0000000f,0x50050000
1,0x00000010,0x00000707
1,0x00000010,0x00000808
1,0x00000020,0x00000101
1,0x00000020,0x00000505
1,0x00000020,0x00000909
1,0x00000020,0x00000d0d
1,0x00000030,0x00000303
1,0x00000030,0x00000c0c
1,0x00000040,0x00000202
1,0x00000040,0x00000707
1,0x00000040,0x00000a0a
1,0x00000040,0x00000f0f
1,0x00000050,0x00000808
1,0x00000050,0x00000f0f
1,0x00000060,0x00000202
1,0x00000060,0x00000303
1,0x00000060,0x00000a0a
1,0x00000060,0x00000b0b
1,0x00000070,0x00000b0b
1,0x00000070,0x00000c0c
1,0x00000080,0x00000404
1,0x00000080,0x00000e0e
1,0x00000090,0x00000808
1,0x00000090,0x00000c0c
1,0x000000a0,0x00000404
1,0x000000a0,0x00000e0e
1,0x000000b0,0x00000909
1,0x000000b0,0x00000d0d
1,0x000000c0,0x00000404
1,0x000000c0,0x00000606
1,0x000000d0,0x00000808
1,0x000000d0,0x00000c0c
1,0x000000e0,0x00000404
1,0x000000e0,0x00000606
1,0x000000f0,0x00000101
1,0x000000f0,0x00000505
1,0x00000100,0x07770000
1,0x00000100,0x08880000
1,0x00000200,0x01110000
1,0x00000200,0x05550000
1,0x00000200,0x09990000
1,0x00000200,0x0ddd0000
1,0x00000300,0x03330000
1,0x00000300,0x0ccc0000
1,0x00000400,0x02220000
1,0x00000400,0x07770000
1,0x00000400,0x0aaa0000
1,0x00000400,0x0fff0000
1,0x00000500,0x08880000
1,0x00000500,0x0fff0000
1,0x00000600,0x02220000
1,0x00000600,0x03330000
1,0x00000600,0x0aaa0000
1,0x00000600,0x0bbb0000
1,0x00000700,0x0bbb0000
1,0x00000700,0x0ccc0000
1,0x00000800,0x04440000
