r,u
1,0x00000001
1,0x00000002
1,0x00000003
1,0x00000004
1,0x00000005
1,0x00000006
1,0x00000007
1,0x00000008
1,0x00000009
1,0x0000000a
1,0x0000000b
1,0x0000000c
1,0x0000000d
1,0x0000000e
1,0x0000000f
1,0x00000010
1,0x00000020
1,0x00000030
1,0x00000040
1,0x00000050
1,0x00000060
1,0x00000070
1,0x00000080
1,0x00000090
1,0x000000a0
1,0x000000b0
1,0x000000c0
1,0x000000d0
1,0x000000e0
1,0x000000f0
1,0x00000100
1,0x00000200
1,0x00000300
1,0x00000400
1,0x00000500
1,0x00000600
1,0x00000700
1,0x00000800
1,0x00000900
1,0x00000a00
1,0x00000b00
1,0x00000c00
1,0x00000d00
1,0x00000e00
1,0x00000f00
1,0x00001000
1,0x00002000
1,0x00003000
1,0x00004000
1,0x00005000
1,0x00006000
1,0x00007000
1,0x00008000
1,0x00009000
1,0x0000a000
1,0x0000b000
1,0x0000c000
1,0x0000d000
1,0x0000e000
1,0x0000f000
1,0x00010000
1,0x00020000
1,0x00030000
1,0x00040000
1,0x00050000
1,0x00060000
1,0x00070000
1,0x00080000
1,0x00090000
1,0x000a0000
1,0x000b0000
1,0x000c0000
1,0x000d0000
1,0x000e0000
1,0x000f0000
1,0x00100000
1,0x00200000
1,0x00300000
1,0x00400000
1,0x00500000
1,0x00600000
1,0x00700000
1,0x00800000
1,0x00900000
1,0x00a00000
1,0x00b00000
1,0x00c00000
1,0x00d00000
1,0x00e00000
1,0x00f00000
1,0x01000000
1,0x02000000
1,0x03000000
1,0x04000000
1,0x05000000
1,0x06000000
1,0x07000000
1,0x08000000
1,0x09000000
1,0x0a000000
1,0x0b000000
1,0x0c000000
1,0x0d000000
1,0x0e000000
1,0x0f000000
1,0x10000000
1,0x20000000
1,0x30000000
1,0x40000000
1,0x50000000
1,0x60000000
1,0x70000000
1,0x80000000
1,0x90000000
1,0xa0000000
1,0xb0000000
1,0xc0000000
1,0xd0000000
1,0xe0000000
1,0xf0000000
2,0x00000001
2,0x00000002
2,0x00000003
2,0x00000004
2,0x00000005
2,0x00000006
2,0x00000007
2,0x00000008
2,0x00000009
2,0x0000000a
2,0x0000000b
2,0x0000000c
2,0x0000000d
2,0x0000000e
2,0x0000000f
2,0x00000010
2,0x00000020
2,0x00000030
2,0x00000040
2,0x00000050
2,0x00000060
2,0x00000070
2,0x00000080
2,0x00000090
2,0x000000a0
2,0x000000b0
2,0x000000c0
2,0x000000d0
2,0x000000e0
2,0x000000f0
2,0x00000100
2,0x00000200
2,0x00000300
2,0x00000400
2,0x00000500
2,0x00000600
2,0x00000700
2,0x00000800
2,0x00000900
2,0x00000a00
2,0x00000b00
2,0x00000c00
2,0x00000d00
2,0x00000e00
2,0x00000f00
2,0x00001000
2,0x00001001
2,0x00001002
2,0x00001003
2,0x00001004
2,0x00001005
2,0x00001006
2,0x00001007
2,0x00001008
2,0x00001009
2,0x0000100a
2,0x0000100b
2,0x0000100c
2,0x0000100d
2,0x0000100e
2,0x0000100f
2,0x00001010
2,0x00001020
2,0x00001030
2,0x00001040
2,0x00001050
2,0x00001060
2,0x00001070
2,0x00001080
2,0x00001090
2,0x000010a0
2,0x000010b0
2,0x000010c0
2,0x000010d0
2,0x000010e0
2,0x000010f0
2,0x00001200
2,0x00001400
2,0x00001600
2,0x00002000
2,0x00002001
2,0x00002002
2,0x00002003
2,0x00002004
2,0x00002005
2,0x00002006
2,0x00002007
2,0x00002008
2,0x00002009
2,0x0000200a
2,0x0000200b
2,0x0000200c
2,0x0000200d
2,0x0000200e
2,0x0000200f
2,0x00002010
2,0x00002020
2,0x00002030
2,0x00002040
2,0x00002050
2,0x00002060
2,0x00002070
2,0x00002080
2,0x00002090
2,0x000020a0
2,0x000020b0
2,0x000020c0
2,0x000020d0
2,0x000020e0
2,0x000020f0
2,0x00002100
2,0x00002200
2,0x00002300
2,0x00002400
2,0x00002500
2,0x00002600
2,0x00002700
2,0x00002800
2,0x00002900
2,0x00002a00
2,0x00002b00
2,0x00002c00
2,0x00002d00
2,0x00002e00
2,0x00002f00
2,0x00003000
2,0x00003001
2,0x00003002
2,0x00003003
2,0x00003004
2,0x00003005
2,0x00003006
2,0x00003007
2,0x00003008
2,0x00003009
2,0x0000300a
2,0x0000300b
2,0x0000300c
2,0x0000300d
2,0x0000300e
2,0x0000300f
2,0x00003010
2,0x00003020
2,0x00003030
2,0x00003040
2,0x00003050
2,0x00003060
2,0x00003070
2,0x00003080
2,0x00003090
2,0x000030a0
2,0x000030b0
2,0x000030c0
2,0x000030d0
2,0x000030e0
2,0x000030f0
2,0x00003200
2,0x00003400
2,0x00003600
2,0x00004000
2,0x00004001
2,0x00004002
2,0x00004003
2,0x00004004
2,0x00004005
2,0x00004006
2,0x00004007
2,0x00004008
2,0x00004009
2,0x0000400a
2,0x0000400b
2,0x0000400c
2,0x0000400d
2,0x0000400e
2,0x0000400f
2,0x00004010
2,0x00004020
2,0x00004030
2,0x00004040
2,0x00004050
2,0x00004060
2,0x00004070
2,0x00004080
2,0x00004090
2,0x000040a0
2,0x000040b0
2,0x000040c0
2,0x000040d0
2,0x000040e0
2,0x000040f0
2,0x00004100
2,0x00004200
2,0x00004300
2,0x00004400
2,0x00004500
2,0x00004600
2,0x00004700
2,0x00004800
2,0x00004900
2,0x00004a00
2,0x00004b00
2,0x00004c00
2,0x00004d00
2,0x00004e00
2,0x00005000
2,0x00005001
2,0x00005002
2,0x00005003
2,0x00005004
2,0x00005005
2,0x00005006
2,0x00005007
2,0x00005008
2,0x00005009
2,0x0000500a
2,0x0000500b
2,0x0000500c
2,0x0000500d
2,0x0000500e
2,0x0000500f
2,0x00005010
2,0x00005020
2,0x00005030
2,0x00005040
2,0x00005050
2,0x00005060
2,0x00005070
2,0x00005080
2,0x00005090
2,0x000050a0
2,0x000050b0
2,0x000050c0
2,0x000050d0
2,0x000050e0
2,0x000050f0
2,0x00005100
2,0x00005200
2,0x00005300
2,0x00005400
