r,u,v,VE,proxy_score,beam,trans,branch,mode,expanded_states,generated_transitions,final_beam_size,certified_no_truncation
3,0x00002020,0x04004004,-0.125,3,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0b00b00b,-0.125,3,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0e00e00e,-0.125,3,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x01009009,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0100d00d,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x02002002,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x03003003,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x05009009,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0500d00d,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x06006006,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x07007007,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x08008008,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0800c00c,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x09001001,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x09005005,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0a00a00a,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0a00c00c,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0b00c00c,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0c008008,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0c00a00a,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0c00b00b,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0c00c00c,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0d001001,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0d005005,0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0f00f00f,-0.0625,2,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0100e00e,-0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x02003003,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x03002002,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0300e00e,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0500b00b,-0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0600d00d,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x06024226,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0900b00b,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0b005005,-0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0b009009,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0d006006,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0e001001,-0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0e003003,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0e00f00f,-0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0e0a4aae,0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0f00e00e,-0.046875,1.58496250072115618147406,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0402eaa4,0.041015625,1.39231742277876028874434,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0c0ae22c,0.041015625,1.39231742277876028874434,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x08007007,0.03125,1,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0800a00a,0.03125,1,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0800b00b,-0.03125,1,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0800e00e,-0.03125,1,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x0800f00f,0.03125,1,200000,100000,16,aggregate,121,514744,41566,1
3,0x00002020,0x09004004,-0.03125,1,200000,100000,16,aggregate,121,514744,41566,1
