r,u,v,VE,proxy_score,beam,trans,branch,mode,expanded_states,generated_transitions,final_beam_size,certified_no_truncation
2,0x0000300f,0x04cc8008,0.125,1,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x0c448008,-0.125,1,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x01445005,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x05441001,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x09cc5005,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x0dcc1001,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x01cce00e,-0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x02ccd00d,-0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x0944e00e,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,101,73316,1670,1
2,0x0000300f,0x0a44d00d,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,101,73316,1670,1
2,0x000030f0,0x18890000,0.15625,1.32192809488736234780834,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x67710000,0.15625,1.32192809488736234780834,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0xd00d0000,-0.15625,1.32192809488736234780834,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x22200000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x2cce0000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x4bbf0000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x5bbe0000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x5ffa0000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x75520000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x822a0000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x844c0000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x855d0000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x866e0000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x8aa20000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x8cc40000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x8dd50000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x8ee60000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x9bb20000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x9ff60000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0xa44e0000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0xc77b0000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0xd33e0000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0xe00e0000,0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0xfaa50000,-0.125,1,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x11100000,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x15540000,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x19980000,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,7310,173,1
2,0x000030f0,0x1ddc0000,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,101,7310,173,1
