r,u,v,VE,proxy_score,beam,trans,branch,mode,expanded_states,generated_transitions,final_beam_size,certified_no_truncation
2,0xf0005e00,0x06563ccf,-0.08203125,0.392317422778760288961178,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0e5ebcc7,-0.08203125,0.392317422778760288961178,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x02522ddf,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0252add7,0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x07572cce,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x07577dda,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0757acc6,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0757fdd2,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0a5a2ddf,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0a5aadd7,0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0f5f2cce,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0f5f7dda,0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0f5facc6,-0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0f5ffdd2,0.076171875,0.285402218862248341791493,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0656bcc7,0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0d5d855d,-0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0e5e3ccf,0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x02527dda,-0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0252fdd2,-0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x06562cce,0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0656acc6,0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x07572ddf,-0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x07573ccf,0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0757add7,0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0757bcc7,-0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
2,0xf0005e00,0x0a5a7dda,-0.064453125,0.0443941193584534376202766,1000000,100000,16,aggregate,1001,5858984,17360,1
