r,u,v,VE,proxy_score,beam,trans,branch,mode,expanded_states,generated_transitions,final_beam_size,certified_no_truncation
2,0x80d00600,0x03038dd5,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,401,223292,2446,1
2,0x80d00900,0x04040222,0.125,1,1000000,100000,16,aggregate,1001,566384,2309,1
2,0x80d00900,0x04040aaa,-0.125,1,1000000,100000,16,aggregate,1001,566384,2309,1
2,0x80d00900,0x03030222,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,566384,2309,1
2,0x80d00900,0x03030aaa,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,566384,2309,1
2,0x80d00900,0x0404a11b,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,566384,2309,1
2,0x80d00a00,0x02026553,-0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,638708,2720,1
2,0x80d00a00,0x07076553,-0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,638708,2720,1
2,0x80d00a00,0x0707a11b,0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,638708,2720,1
2,0x80d00c00,0x02026553,-0.109375,0.807354922057604107487119,1000000,100000,16,aggregate,1001,607040,2602,1
2,0x80d00c00,0x0a0ae779,0.109375,0.807354922057604107487119,1000000,100000,16,aggregate,1001,607040,2602,1
2,0x80d00c00,0x02021ffe,0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,607040,2602,1
2,0x80d00c00,0x0202bcc7,-0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,607040,2602,1
2,0x80d00c00,0x0a0a3665,0.0703125,0.169925001442312362948117,1000000,100000,16,aggregate,1001,607040,2602,1
2,0x80d03000,0x04444551,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x0ccc4551,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x04441554,-0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x04443447,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x04446553,-0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x0444d558,-0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x0ccc1554,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x0ccc3447,-0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x0ccc6553,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d03000,0x0cccd558,0.078125,0.321928094887362347808341,1000000,100000,16,aggregate,1001,652376,1830,1
2,0x80d05000,0x05554551,-0.140625,1.16992500144231236294812,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05551554,0.1171875,0.906890595608518529282399,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05553447,-0.1171875,0.906890595608518529282399,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05556553,0.1171875,0.906890595608518529282399,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x0555d558,0.1171875,0.906890595608518529282399,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05551776,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05554226,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05554440,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05554662,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05554773,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05554aae,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05554cc8,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05554eea,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05555336,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05555ffa,0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05556ee8,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05557552,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x0555933a,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
2,0x80d05000,0x05559ff6,-0.09375,0.584962500721156181474059,1000000,100000,16,aggregate,1001,652376,1464,1
